bill_number,bill_id,title
HB0001,659335,"As introduced, reduces the state sales and use tax rate on tangible personal property from seven percent to 6.75 percent. - Amends TCA Title 67, Chapter 6."
HB0002,660117,"As introduced, requires that an ultrasound be performed prior to an abortion, with an exception for medical emergencies. - Amends TCA Title 39, Chapter 15; Title 63, Chapter 6; Title 63, Chapter 9 and Title 68, Chapter 11."
HB0003,660321,"As introduced, establishes standards review and development committees and advisory teams comprised of Tennessee teachers, higher education faculty members, and parents to propose world-class, highly rigorous K-12 English language arts and mathematics standards for use in public schools. - Amends TCA Title 49, Chapter 1, Part 2; Title 49, Chapter 1, Part 3 and Title 49, Chapter 1, Part 6."
HB0004,661813,"As introduced, extends the date of the repeal of the Virtual Schools Act from June 30, 2015, to June 30, 2019. - Amends TCA Title 49, Chapter 16, Part 2."
HB0005,661835,"As introduced, permits a retired high school teacher whose license has lapsed to teach one year without loss of retirement benefits if no qualified teacher can be found and certain other requirements are met. - Amends TCA Section 8-36-821; Title 49, Chapter 5 and Title 49, Chapter 1."
HB0006,661791,"As enacted, requires fiscal capacity for BEP purposes of each LEA to be set annually by May 1 before the next school year begins; prohibits any change in any LEA's fiscal capacity after it is set. - Amends TCA Title 49, Chapter 3, Part 3."
HB0007,662525,"As introduced, authorizes any member or committee of the general assembly to request the production of all supporting documentation used in determining the fiscal effect of a bill, resolution, or amendment; authorizes any member or committee of the general assembly to request that the director of the fiscal review committee, or the director's designee, be present at any meeting to provide an explanation of a fiscal note. - Amends TCA Title 3, Chapter 2 and Title 3, Chapter 7."
HB0008,665619,"As introduced, creates a Class A misdemeanor, subject only to fine, for any person permitting a train to obstruct certain public roads for longer than 10 minutes; provided, there is no violation for certain events that render the train incapable of operation; grants immunity to members of a train crew, yard crew, or engine crew for complying with the orders of certain individuals. - Amends TCA Title 7; Title 29; Title 39; Title 55 and Title 65."
HB0009,665607,"As introduced, increases from 30 days to 90 days the period of time during which a member is prohibited from using state funds to pay for mass mailings prior to any election in which the member's name appears on the ballot. - Amends TCA Section 3-1-120."
HB0010,665631,"As enacted, requires a student, during the student's high school career, to take a United States civics test. - Amends TCA Title 49, Chapter 1; Title 49, Chapter 2 and Title 49, Chapter 6."
HB0011,666508,"As introduced, shortens the timeframe by one year for the implementation of certain provisions governing the sale of wine in retail food stores. - Amends TCA Title 57 and Chapter 554 of the Public Acts of 2014."
HB0012,668668,"As introduced, prohibits a commissioner or deputy commissioner who administers contracts of a department from accepting employment with a private business that contracts with the department for 12 months after the commissioner's or deputy commissioner's departure from public office. - Amends TCA Title 4; Title 8; Title 12, Chapter 3; Title 12, Chapter 4 and Title 50."
HB0013,673646,"As introduced, prohibits the department of human services from seeking, applying for, accepting, or renewing a waiver from the work requirements of the food stamp (SNAP) program under federal law. - Amends TCA Title 71, Chapter 5, Part 3."
HB0014,673482,"As introduced, requires a third party to be present when a representative of the department interviews a child at the child’s school; requires the third party to be a school resource officer, school counselor, school nurse, or other faculty member; if no faculty member is available, requires the representative of the department to make a video recording of the interview. - Amends TCA Title 37."
HB0015,673808,"As introduced, requires the department to notify and cooperate with the law enforcement agency in the jurisdiction where the conduct occurred if it is reasonably foreseeable that conduct under investigation by the department will likely result in criminal prosecution. - Amends TCA Title 37, Chapter 5, Part 5."
HB0016,675078,"As introduced, deletes authorization for hospitals that are otherwise subject to the open meetings and records laws to have closed meetings and confidential records concerning marketing strategies and strategic plans. - Amends TCA Section 68-11-238."
HB0017,675868,"As enacted, authorizes the City of Columbia to levy a privilege tax upon the privilege of occupancy by a two-thirds vote of its governing body. - Amends TCA Section 67-4-1425."
HB0018,675185,"As enacted, prohibits health insurance entities from charging a covered person a greater copayment or coinsurance amount for services rendered during an office visit to a physician assistant who is contracted as a primary care practitioner by that health insurer than those charged for such services rendered during an office visit to a physician. - Amends TCA Title 56, Chapter 7."
HB0019,675607,"As enacted, specifies that utility workers and meter readers are exempt from wearing seat belts while emerging from and reentering a vehicle at frequent intervals, and while the vehicle is operated at less than 40 mph. - Amends TCA Section 55-9-603."
HB0020,675767,"As enacted, expands presumptive disability in acquiring certain infectious diseases in the line of duty by emergency rescue workers to include the hepatitis C virus. - Amends TCA Section 7-51-209."
HB0021,675130,"As introduced, authorizes the issuance of a new specialty earmarked license plate for Historic Collierville. - Amends TCA Title 55, Chapter 4."
HB0022,676211,"As introduced, prohibits employers from asking applicants for employment about expunged offenses; prevents higher education institutions from asking applicants for admission about expunged offenses; establishes civil penalties for private employers violating act's provisions. - Amends TCA Title 40, Chapter 32; Title 49, Chapter 7 and Title 50."
HB0023,676436,"As enacted, authorizes the state board of education to make policies concerning the revocation of licenses and certificates for misconduct. - Amends TCA Section 49-1-302."
HB0024,675930,"As enacted, enacts the ""Go Build Tennessee Act."" - Amends TCA Title 4 and Title 62, Chapter 6."
HB0025,676489,"As enacted, adds dry needling to scope of practice of a physical therapist. - Amends TCA Title 63, Chapter 13."
HB0026,676154,"As introduced, names a bridge on State Route 191 in Benton County in memory of the late Donald Lynn Gilliam."
HB0027,676098,"As introduced, changes from January 1, 2017, to July 1, 2015, the effective date for the redefining of beer from not more than five percent alcohol to not more than eight percent alcohol. - Amends TCA Section 57-3-101; Section 57-5-101 and Chapter 861 of the Public Acts of 2014."
HB0028,676042,"As introduced, names a segment of State Route 104 in Dyer County as the ""Harold Holt Highway."""
HB0029,676269,"As enacted, permits a landlord to provide three days’ notice as sufficient notice of termination of tenancy for eviction of certain residential tenants if the tenants engage in certain violent activities; exempts residential tenants who are mentally or physically disabled. - Amends TCA Title 29 and Title 66."
HB0030,678341,"As introduced, names a bridge on State Route 36 in the City of Kingsport in memory of Michael K. Locke."
HB0031,678538,"As enacted, deletes the Intractable Pain Act. - Amends TCA Title 39; Title 53; Title 63 and Title 68."
HB0032,678917,"As enacted, enacts the ""Sudden Cardiac Arrest Prevention Act."" - Amends TCA Title 68."
HB0033,678946,"As enacted, enacts the ""Mabry Kate Webb Act,"" which requires that all infants born in this state be tested for specific genetic, metabolic, or other heritable conditions beginning six months under certain circumstances. - Amends TCA Title 68, Chapter 5."
HB0034,678665,"As enacted, designates portion of Powell Drive in Knox County as a scenic highway. - Amends TCA Title 54, Chapter 17."
HB0035,678977,"As introduced, permits an LEA that offers a voluntary prekindergarten program to elect to offer the program either in the school year or in the summer. - Amends TCA Title 49."
HB0036,678509,"As enacted, allows LEAs to opt out of including the student's TCAP scores in the student's final grades if the LEA doesn't receive the scores at least five instructional days before the end of the school year. - Amends TCA Title 49, Chapter 1; Title 49, Chapter 2 and Title 49, Chapter 6."
HB0037,678794,"As introduced, clarifies that the use of prone restraint is prohibited in regard to students receiving special education services; defines prone restraint. - Amends TCA Section 49-10-1305."
HB0038,678602,"As introduced, deletes the requirement that the executive director of the real estate commission pass the broker's examination. - Amends TCA Title 62, Chapter 13."
HB0039,680318,"As enacted, prohibits the retail sale of products containing dextromethorphan to persons who are less than 18 years of age; prohibits the purchase of products containing dextromethorphan by persons who are less than 18 years of age. - Amends TCA Title 39 and Title 53."
HB0040,680017,"As enacted, requires that the family life curriculum, to the extent that the topic and the manner of communication is age-appropriate, inform students, in all LEAs, concerning the process of adoption and its benefits. - Amends TCA Title 49, Chapter 6, Part 13."
HB0041,680104,"As enacted, revises provisions governing 12-hour hold period for persons charged with domestic violence or elder abuse offense; makes hold period mandatory unless the magistrate or other official duly authorized to release the offender finds that the offender is not a threat to the alleged victim. - Amends TCA Title 40, Chapter 11, Part 1."
HB0042,680147,"As enacted, requires that a person convicted of vehicular assault or vehicular homicide serve a mandatory minimum sentence before being eligible for probation. - Amends TCA Title 39, Chapter 13, Part 2; Title 39, Chapter 13, Part 1 and Title 40, Chapter 35, Part 3."
HB0043,680532,"As enacted, requires a person who was involved in or caused a snow skiing accident to remain at the scene of the accident and provide the person's name and contact information, unless the person leaves for the sole purpose of securing aid for someone who was injured in the accident. - Amends TCA Title 68, Chapter 114."
HB0044,680361,"As introduced, elevates the offense of hit and run with a motor vehicle from a Class A misdemeanor to a Class E felony where the driver knew or should have known that the serious bodily injury resulted from the accident; allows the jury to infer that the driver knew or should have known death or bodily injury resulted from the accident if the person involved was a pedestrian or cyclist or other vulnerable user of the highway. - Amends TCA Title 55, Chapter 10, Part 1."
HB0045,679890,"As enacted, enacts the ""Ben Woodruff and Mike Locke Act,"" which requires a person who commits aggravated vehicular homicide on or after July 1, 2015, to serve 60 percent of the sentence imposed before becoming release eligible; provided, however, that the person must serve at least 45 percent of the sentence imposed after sentence-reduction credits are applied. - Amends TCA Title 40, Chapter 35, Part 5."
HB0046,680406,"As introduced, subject to local approval, amends the charter to remove certain budget requirements deemed by the legislative body to be obsolete, inconsistent with state law, or burdensome. - Amends Chapter 84 of the Private Acts of 1945; as amended."
HB0047,679975,"As enacted, authorizes the city of Minor Hill in Giles County to hold a referendum to authorize the sale of alcoholic beverages at retail and a referendum to authorize the sale of alcoholic beverages for consumption on the premises. - Amends TCA Title 57."
HB0048,680059,"As enacted, for tax years beginning January 1, 2015, increases the income exemption level for the Hall income tax to be $37,000 for single filers and $68,000 for joint filers. - Amends TCA Title 67, Chapter 2."
HB0049,679849,"As introduced, names a new bridge on State Route 107 in the Town of Erwin in memory of Pat E. Brown."
HB0050,680276,"As introduced, prohibits the Tennessee real estate commission from requiring that a real estate broker continuing education course be longer than one hour. - Amends TCA Title 62, Chapter 13."
HB0051,680840,"As enacted, exempts certain drop-in centers providing short-term care from the child care agency licensure requirements of the department of human services by removing the requirement that such a center be operated by a not-for-profit corporation in order to be exempt. - Amends TCA Title 71."
HB0052,681169,"As enacted, allows court clerk, subject to approval of the judge, to accept a lump-sum partial payment in full settlement for all court costs, fees, and litigation taxes owed; provided, that the amount has been in default for at least five years and the amount settled upon is 50 percent or more of the combined outstanding balance. - Amends TCA Title 40, Chapter 24, Part 1."
HB0053,681003,"As introduced, exempts from sales tax, registration fee, and motor vehicle privilege tax, any motor vehicle sold to a veteran or service member who has a service-connected disability and who is eligible for a United States department of veterans affairs automobile grant under the Disabled Veterans' and Servicemen's Automobile Assistance Act of 1970. - Amends TCA Section 5-8-102; Title 55, Chapter 4 and Title 67, Chapter 6."
HB0054,681086,"As introduced, reduces the sales tax rate on food from five percent to four and one-half percent. - Amends TCA Title 67, Chapter 6."
HB0055,680921,"As enacted, creates a new circuit court judge position in the 19th judicial district, with the position to be filled by appointment of the governor. - Amends TCA Title 16, Chapter 2."
HB0056,681767,"As introduced, requires a managed care organization that participates in the TennCare program to allow certain dentists to participate as a provider in the TennCare program. - Amends TCA Title 56; Title 63, Chapter 5 and Title 71, Chapter 5."
HB0057,681829,"As enacted, enacts the ""Racial Profiling Prevention Act."" - Amends TCA Title 4; Title 38, Chapter 1 and Section 49-7-118."
HB0058,681704,"As introduced, changes the minimum age for taking an examination for a podiatrist license from 18 to 24. - Amends TCA Title 63."
HB0059,681862,"As introduced, revises procedures governing economic development agreements that authorize payments in lieu of taxes to be made by a private entity. - Amends TCA Title 4; Title 5; Title 6; Title 7; Title 9 and Title 67."
HB0060,681713,"As introduced, creates a study committee to make recommendations on the transition from traditional textbooks to free, online textbooks and course materials by the public higher education institutions. - Amends TCA Title 49, Chapter 7, Part 1."
HB0061,682079,"As introduced, prohibits the state from operating a health insurance exchange, pursuant to the Patient Protection and Affordable Care Act; the prohibition is contingent on a certain disposition of King v. Burwell by the U.S. supreme court. - Amends TCA Title 4 and Title 71, Chapter 5."
HB0062,682187,"As introduced, extends from 10 days to 30 days the amount of time that a real estate broker, affiliate broker, time-share salesperson, or acquisition agent has to respond to a complaint of professional misconduct. - Amends TCA Title 62."
HB0063,681856,"As enacted, revises provisions governing the authority of the commissioner of agriculture in regard to persons who have violated the Tennessee Application of Pesticides Act of 1978 or the Tennessee Insecticide, Fungicide and Rodenticide Act. - Amends TCA Section 62-21-119."
HB0064,682112,"As enacted, authorizes the department to create a safety reporting system where the department's employees may report information regarding the safety of those served by the department and the safety of the department's employees. - Amends TCA Section 37-5-106."
HB0065,681428,"As enacted, requires the department to disclose certain information about children adopted from the department's guardianship to the adoptive family; requires the department to promulgate rules to govern the operation of a foster parent advocacy program. - Amends TCA Title 36, Chapter 1, Part 1 and Section 37-2-415."
HB0066,681960,"As enacted, consolidates annual reports on foster children and child care agencies into a comprehensive annual report made by the department; removes reporting requirement concerning shifting responsibility for foster children who move from one placement to another within the county probation department or children's services department. - Amends TCA Section 37-2-205; Section 37-2-411 and Section 37-5-519."
HB0067,681481,"As enacted, authorizes the commissioner of commerce and insurance to set by rule the amount of the annual manufacturer, retailer, and installer license fees; makes other various changes to the regulation of manufactured homes. - Amends TCA Title 68, Chapter 126, Part 2 and Title 68, Chapter 126, Part 4."
HB0068,681721,"As enacted, expands types of activities the state board for licensing contractors may penalize; increases the amount of civil penalties that may be levied against contractors; changes evidentiary requirements for obtaining a court order to enforce the board's penalties. - Amends TCA Title 62, Chapter 6."
HB0069,681918,"As enacted, makes various changes to the manner in which the state fire marshal and the commissioner of commerce and insurance assess civil penalties against violators of state law, and rules promulgated pursuant to such law, regarding fire protection sprinkler systems, fire extinguishers and related equipment, and liquefied petroleum gas. - Amends TCA Title 62, Chapter 32, Part 1; Title 62, Chapter 32, Part 2 and Title 68, Chapter 135, Part 1."
HB0070,681469,"As enacted, makes various revisions regarding captive insurance companies. - Amends TCA Title 56."
HB0071,682271,"As enacted, authorizes the state board of examiners for architects and engineers to deny certain certificates of registration to persons with felony convictions; removes certain board notifications to governmental entities when revoking or suspending certificates of registration; revises other various provisions governing certain regulatory boards. - Amends TCA Title 62."
HB0072,681384,"As enacted, revises various provisions relating to tax reporting by insurance companies. - Amends TCA Title 56."
HB0073,681672,"As enacted, transfers certain regulatory responsibilities for health clubs, beauty pageants, bonds posted by credit services businesses, and debt-management services to the division of regulatory boards in the department of commerce and insurance; revises other provisions related to such activities, including provisions governing registration and renewal fees. - Amends TCA Title 47."
HB0074,681895,"As enacted, authorizes, upon proper showing by the department that a prisoner was released in error, the sentencing judge or the judge in the county from which the individual was released to issue a warrant for the retaking of the prisoner; authorizes law enforcement officers and certain employees of the department to act on the warrant. - Amends TCA Section 41-1-117."
HB0075,681699,"As enacted, extends the tax on intermediate care facilities; changes references from ""intermediate care facility for the mentally retarded (ICF/MR)"" to ""intermediate care facility for individuals with intellectual disabilities (ICF/IID)"". - Amends TCA Section 68-11-830."
HB0076,681379,"As enacted, authorizes, rather than requires, tax credits and other economic incentives based on employment to include individuals having a co-employment relationship with a professional employer organization and a client. - Amends TCA Section 62-43-105."
HB0077,681662,"As enacted, changes references in the code from vocational education to career and technical education; changes references in the code from the board for vocational education to the board for career and technical education. - Amends TCA Section 37-2-417; Title 49, Chapter 1; Title 49, Chapter 11; Title 49, Chapter 12; Title 49, Chapter 3; Title 49, Chapter 5; Title 49, Chapter 50; Title 49, Chapter 6 and Section 62-4-122."
HB0078,681639,"As enacted, deletes the current schedule for the Tennessee comprehensive assessment program that requires testing to occur during a two-week window by the first Monday on or after April 22; authorizes the commissioner of education to establish a schedule for the Tennessee comprehensive assessment program. - Amends TCA Section 49-6-6002."
HB0079,681733,"As introduced, establishes provisions to govern initial enrollment of students within charter schools authorized by the achievement school district. - Amends TCA Title 49, Chapter 13."
HB0080,681601,"As enacted, changes requirements for use of lead free hardware with respect to drinking water. - Amends TCA Title 68, Chapter 221, Part 7."
HB0081,682050,"As enacted, makes various changes to the regulation of petroleum underground storage tanks and waste; gives an owner or operator of an underground tank the option to request a refund of the annual fee or a waiver or reduction of the penalties in certain circumstances. - Amends TCA Title 68, Chapter 211, Part 1; Title 68, Chapter 212 and Title 68, Chapter 215, Part 1."
HB0082,681439,"As enacted, removes the commissioner of financial institutions' authority to use a multi-state automated licensing system as an agent for channeling information pursuant to the Flexible Credit Act; requires a flex loan licensee to consent to a criminal history records check and to provide fingerprints to the commissioner of financial institutions when the licensee is applying to renew the license, if so requested by the commissioner. - Amends TCA Title 45, Chapter 12."
HB0083,681989,"As enacted, revises the manner in which the commissioner of financial institutions assesses the annual supervision fee on credit unions and the manner in which the fees are used. - Amends TCA Title 45, Chapter 4."
HB0084,681510,"As enacted, authorizes public institutions of higher education to participate in, sponsor, conduct, or administer a cooperative purchasing agreement for the procurement of goods or services with one or more other states or local governments in accordance with an agreement entered into between the participants; revises the protest process for challenging a solicitation, award, or proposed award of a state contract; revises provisions governing authorized limitations of liability in certain state contracts. - Amends TCA Title 12, Chapter 2, Part 1; Title 12, Chapter 3, Part 5 and Title 12, Chapter 3, Part 7."
HB0085,682069,"As enacted, revises requirements governing a state agency, department, or institution of higher education of the state entering into a new lease as lessee. - Amends TCA Title 12, Chapter 2, Part 1."
HB0086,682003,"As enacted, clarifies and adds to present law licensure requirements for persons who provide warehousing or third-party logistics services with regard to controlled substances. - Amends TCA Title 53, Chapter 11, Part 3; Title 63, Chapter 10, Part 2 and Title 63, Chapter 10, Part 3."
HB0087,682182,"As enacted, upon request by the commissioner of health or commissioner's designee, requires that commissioner or designee be given certain access to medical records in order to facilitate investigations and inquiries when responding to an immediate threat to public health. - Amends TCA Title 63, Chapter 1, Part 1 and Title 68, Chapter 11, Part 3."
HB0088,682167,"As enacted, adds defined terms and rulemaking authority concerning the registry of persons who have abused, neglected, or misappropriated the property of vulnerable individuals; increases from 30 days to 60 days the time within which placement on the registry may be appealed based on administrative error. - Amends TCA Title 68, Chapter 11, Part 10."
