bill_id,date,action
163795,2009-03-13,Filed
163795,2009-03-19,"Read first time"
163795,2009-03-19,"Referred to Appropriations"
163796,2009-01-09,Filed
163796,2009-02-12,"Read first time"
163796,2009-02-12,"Referred to Ways & Means"
163797,2009-03-05,Filed
163797,2009-03-09,"Read first time"
163797,2009-03-09,"Referred to Public Education"
163797,2009-03-17,"Scheduled for public hearing on . . ."
163797,2009-03-17,"Considered in public hearing"
163797,2009-03-17,"Testimony taken/registration(s) recorded in committee"
163797,2009-03-17,"Left pending in committee"
163797,2009-04-21,"Considered in public hearing"
163797,2009-04-21,"Committee substitute considered in committee"
163797,2009-04-21,"Amendment(s) considered in committee"
163797,2009-04-21,"Reported favorably as substituted"
163797,2009-04-23,"Considered in formal meeting"
163797,2009-04-23,"Vote reconsidered in committee"
163797,2009-04-23,"Committee substitute considered in committee"
163797,2009-04-23,"Reported favorably as substituted"
163797,2009-04-27,"Comte report filed with Committee Coordinator"
163797,2009-04-27,"Committee report printed and distributed"
163797,2009-04-27,"Committee report sent to Calendars"
163797,2009-04-27,"Considered in Calendars"
163797,2009-04-29,"Placed on Major State Calendar"
163797,2009-04-29,"Read 2nd time"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment(s) offered"
163797,2009-04-29,"Amendment amended"
163797,2009-04-29,"Amendment adopted as amended"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,"Record vote"
163797,2009-04-29,"Statement(s) of vote recorded in Journal"
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,"Record vote"
163797,2009-04-29,"Statement(s) of vote recorded in Journal"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,"Amendment(s) offered"
163797,2009-04-29,"Amendment amended"
163797,2009-04-29,"Amendment adopted as amended"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Nonrecord vote recorded in Journal"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,"Amendment tabled"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,Amended
163797,2009-04-29,"Vote reconsidered"
163797,2009-04-29,"Amendment withdrawn"
163797,2009-04-29,Amended
163797,2009-04-29,"Vote reconsidered"
