bill_id,sponsor_id
559998,11019
559999,5966
559999,5967
559999,5969
559999,11345
559999,14040
560000,6032
560001,5849
560002,11352
560003,5879
560004,11016
560005,6018
560006,5947
560007,11352
560008,5879
560009,5935
560010,14238
560011,5879
560012,11019
560013,5903
560014,11014
560015,5954
560016,6026
560017,5903
560018,6013
560019,5943
560020,5858
560021,5879
560022,6004
560023,5855
560024,5903
560025,6029
560026,5849
560027,5967
560027,11016
560028,6032
560029,5879
560030,6031
560031,11356
560032,15353
560033,11019
560034,6027
560035,15077
560036,5987
560037,5863
560038,5855
560039,11019
560040,5855
560041,5879
560042,6017
560043,5879
560044,5895
560045,15629
560046,5929
560047,6017
560048,5921
560049,15409
560050,5879
560051,15076
560052,6029
560053,11016
560054,14041
560055,11349
560056,5855
560057,6025
560058,11352
560059,5879
560060,11019
560061,5949
560062,5855
560063,6027
560064,6015
560065,11352
560066,5903
560067,6021
560068,11016
560069,5858
560069,5900
560069,5957
560069,5961
560069,5969
560069,14043
560070,5986
560071,5849
560072,5966
560073,6030
560074,11352
560075,6014
560076,11352
560077,6017
560078,5954
560079,6017
560080,5849
560081,5943
560082,11352
560083,5879
560084,5863
560085,11352
560086,11019
560088,5849
560089,5895
560090,11019
560091,6004
560092,6021
560093,5954
560094,5903
560095,5857
560096,5877
560096,5927
560096,5954
560097,5925
560098,6007
560099,6029
560100,11010
560101,5933
560102,5879
560103,14046
560104,11352
560105,15426
560106,5849
560107,5879
560108,11352
560109,5914
560109,6010
560110,5849
560111,5879
560111,6007
560112,11011
560113,6017
560114,6019
560114,6031
560115,11021
560116,5879
560117,5855
560118,5900
560119,11016
560120,5931
560120,6025
560121,11352
560122,11352
560123,5855
560124,5855
560125,6017
560126,5877
560126,6022
560127,11343
560128,11352
560129,6025
560130,5879
560131,5879
560131,6007
560132,11349
560133,11349
560134,14040
560135,5932
560136,5964
560136,6013
560136,6031
560136,11020
560136,15077
560137,5849
560138,6027
560139,5851
560140,5962
560140,14044
560141,15077
560142,5895
560143,5879
560144,11019
560145,5861
560146,11352
560147,5851
560148,5855
560149,15077
560150,14236
560151,15077
560152,5849
560152,5852
560152,5853
560152,5855
560152,5857
560152,5858
560152,5861
560152,5862
560152,5863
560152,5870
560152,5875
560152,5877
560152,5878
560152,5879
560152,5880
560152,5882
560152,5884
560152,5888
560152,5891
560152,5893
560152,5895
560152,5899
560152,5904
560152,5909
560152,5913
560152,5914
560152,5920
560152,5921
560152,5927
560152,5929
560152,5931
560152,5932
560152,5933
560152,5934
560152,5935
560152,5938
560152,5939
560152,5943
560152,5945
560152,5949
560152,5952
560152,5954
560152,5955
560152,5956
560152,5957
560152,5959
560152,5961
560152,5962
560152,5966
560152,5967
560152,5969
560152,5971
560152,5972
560152,5975
560152,5976
560152,5977
560152,5979
560152,5981
560152,5983
560152,5987
560152,5989
560152,5991
560152,5992
560152,5997
560152,11010
560152,11011
560152,11012
560152,11013
560152,11014
560152,11016
560152,11017
560152,11018
560152,11019
560152,11338
560152,11339
560152,11340
560152,11342
560152,11343
560152,11345
560152,11346
560152,11349
560152,11352
560152,11355
560152,11356
560152,11597
560152,11598
560152,14039
560152,14040
560152,14041
560152,14042
560152,14043
560152,14044
560152,14045
560152,14046
560152,14236
560152,14237
560152,14238
560152,14568
560152,14569
560152,14783
560152,14784
560152,14785
560152,14786
560152,14990
560152,15076
560152,15300
560152,15351
560152,15352
560152,15353
560152,15354
560152,15355
560152,15356
560152,15357
560152,15358
560152,15408
560152,15409
560152,15425
560152,15426
560152,15628
560152,15630
560152,15686
560153,11014
560154,5920
560155,6007
560156,11011
560157,5903
560158,5903
560159,5909
560160,5895
560161,6021
560162,6013
560163,5909
560163,11338
560164,5855
560165,11340
560166,11352
560167,5849
560168,5964
560168,6004
560168,6017
560168,6031
560168,15077
560169,14237
560170,5884
560171,6027
560172,6021
560173,6007
560174,6018
560174,15077
560175,6021
560177,11356
560178,11340
560179,5914
560179,5935
560179,5964
560179,5986
560179,6013
560179,6017
560179,6018
560179,6021
560179,6031
560179,11020
560179,15077
560180,5849
560181,6017
560182,11015
560183,6017
560184,5855
560185,11011
560186,15686
560187,6018
560188,11340
560189,14041
560190,6007
560191,5964
560191,6021
560191,11020
560191,15077
560192,5903
560193,6025
560194,5996
560195,5921
560196,5938
560197,11021
560198,5858
560199,6007
560200,6027
560201,14045
560202,6029
560203,5909
560204,5954
560204,11021
560205,5971
560205,14046
560206,6029
560207,5863
560208,6029
560209,11352
560210,11015
560211,5949
560211,15077
560212,14046
560213,5954
560214,5909
560214,11019
560214,11338
560214,11345
560214,14783
560215,5849
560216,5879
560217,5877
560218,5877
560218,5908
560218,5967
560218,5969
560219,5849
560220,5849
560221,6027
560222,11352
560223,6021
560224,5879
560225,5952
560226,5920
560227,5976
560228,5981
560229,14046
560230,5852
