bill_id,date,action
562950,2013-07-30,Filed
562950,2013-07-30,"Read first time"
562950,2013-07-30,"Referred to Transportation Funding, Select"
562950,2013-08-01,"Scheduled for public hearing on . . ."
562950,2013-08-01,"Considered in public hearing"
562950,2013-08-01,"Committee substitute considered in committee"
562950,2013-08-01,"Testimony taken/registration(s) recorded in committee"
562950,2013-08-01,"Reported favorably as substituted"
562950,2013-08-02,"Comte report filed with Committee Coordinator"
562950,2013-08-02,"Committee report distributed"
562950,2013-08-02,"Committee report sent to Calendars"
562950,2013-08-04,"Considered in Calendars"
562950,2013-08-05,"Placed on Major State Calendar"
562950,2013-08-05,"Read 2nd time"
562950,2013-08-05,Amended
562950,2013-08-05,"Amendment(s) offered"
562950,2013-08-05,"Amendment to amendment tabled"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,"Amendment to amendment offered"
562950,2013-08-05,"Substitute amendment to amendment adopted"
562950,2013-08-05,"Amendment to amendment tabled"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,Amended
562950,2013-08-05,Amended
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Amendment(s) offered"
562950,2013-08-05,"Motion to table fails"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,"Amendment fails of adoption"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,Amended
562950,2013-08-05,"Amendment(s) offered"
562950,2013-08-05,"Amendment to amendment tabled"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,"Amendment tabled"
562950,2013-08-05,"Amendment(s) offered"
562950,2013-08-05,"Motion to table fails"
562950,2013-08-05,"Record vote"
562950,2013-08-05,"Statement(s) of vote recorded in Journal"
562950,2013-08-05,Amended
562950,2013-08-05,"Amendment withdrawn"
562950,2013-08-05,"Amendment withdrawn"
