bill_id,date,action
436092,2012-11-12,Filed
436092,2013-02-04,"Read first time"
436092,2013-02-04,"Referred to Homeland Security & Public Safety"
436092,2013-03-21,"Scheduled for public hearing on . . ."
436092,2013-03-21,"Considered in public hearing"
436092,2013-03-21,"Testimony taken/registration(s) recorded in committee"
436092,2013-03-21,"Left pending in committee"
436092,2013-03-28,"Considered in public hearing"
436092,2013-03-28,"Reported favorably w/o amendment(s)"
436092,2013-04-02,"Comte report filed with Committee Coordinator"
436092,2013-04-02,"Committee report distributed"
436092,2013-04-03,"Committee report sent to Calendars"
436092,2013-04-22,"Considered in Calendars"
436092,2013-04-30,"Placed on General State Calendar"
436092,2013-04-30,"Read 2nd time"
436092,2013-04-30,Amended
436092,2013-04-30,"Passed to engrossment as amended"
436092,2013-04-30,"Nonrecord vote recorded in Journal"
436092,2013-05-01,"Read 3rd time"
436092,2013-05-01,Passed
436092,2013-05-01,"Record vote"
436092,2013-05-01,"Statement(s) of vote recorded in Journal"
436092,2013-05-01,"Reported engrossed"
436092,2013-05-02,"Received from the House"
436092,2013-05-07,"Read first time"
436092,2013-05-07,"Referred to Criminal Justice"
436093,2012-11-12,Filed
436093,2013-02-04,"Read first time"
436093,2013-02-04,"Referred to Higher Education"
436093,2013-03-06,"Scheduled for public hearing on . . ."
436093,2013-03-06,"Considered in public hearing"
436093,2013-03-06,"Committee substitute considered in committee"
436093,2013-03-06,"Testimony taken/registration(s) recorded in committee"
436093,2013-03-06,"Left pending in committee"
436094,2012-11-12,Filed
436094,2013-02-04,"Read first time"
436094,2013-02-04,"Referred to Criminal Jurisprudence"
436094,2013-03-19,"Scheduled for public hearing on . . ."
436094,2013-03-19,"Considered in public hearing"
436094,2013-03-19,"Testimony taken/registration(s) recorded in committee"
436094,2013-03-19,"Left pending in committee"
436095,2012-11-12,Filed
436095,2013-02-04,"Read first time"
436095,2013-02-04,"Referred to Homeland Security & Public Safety"
436095,2013-03-07,"Scheduled for public hearing on . . ."
436095,2013-03-07,"Considered in public hearing"
436095,2013-03-07,"Committee substitute considered in committee"
436095,2013-03-07,"Testimony taken/registration(s) recorded in committee"
436095,2013-03-07,"Left pending in committee"
436095,2013-05-02,"Considered in public hearing"
436095,2013-05-02,"Committee substitute considered in committee"
436095,2013-05-02,"Reported favorably as substituted"
436095,2013-05-02,"Vote reconsidered in committee"
436095,2013-05-02,"Committee substitute considered in committee"
436095,2013-05-02,"Reported favorably as substituted"
436095,2013-05-06,"Comte report filed with Committee Coordinator"
436095,2013-05-06,"Committee report distributed"
436095,2013-05-07,"Committee report sent to Calendars"
436096,2012-11-12,Filed
436096,2013-02-04,"Read first time"
436096,2013-02-04,"Referred to Higher Education"
436096,2013-03-27,"Scheduled for public hearing on . . ."
436096,2013-03-27,"Considered in public hearing"
436096,2013-03-27,"Committee substitute considered in committee"
436096,2013-03-27,"Testimony taken/registration(s) recorded in committee"
436096,2013-03-27,"Left pending in committee"
436096,2013-04-18,"Considered in formal meeting"
436096,2013-04-18,"Committee substitute considered in committee"
436096,2013-04-18,"Reported favorably as substituted"
436096,2013-04-23,"Comte report filed with Committee Coordinator"
436096,2013-04-23,"Committee report distributed"
436096,2013-04-24,"Committee report sent to Calendars"
436096,2013-05-07,"Considered in Calendars"
436096,2013-05-09,"Placed on General State Calendar"
436096,2013-05-07,"Vote reconsidered in committee"
436096,2013-05-07,"Considered in Calendars"
436096,2013-05-09,"Placed on General State Calendar"
436097,2012-11-12,Filed
436097,2013-02-04,"Read first time"
436097,2013-02-04,"Referred to Economic & Small Business Development"
436097,2013-03-07,"Scheduled for public hearing on . . ."
436097,2013-03-07,"Considered in public hearing"
436097,2013-03-07,"Committee substitute considered in committee"
436097,2013-03-07,"Testimony taken/registration(s) recorded in committee"
436097,2013-03-07,"Left pending in committee"
436097,2013-03-21,"Considered in public hearing"
436097,2013-03-21,"Left pending in committee"
436097,2013-03-27,"Considered in public hearing"
436097,2013-03-27,"Committee substitute considered in committee"
436097,2013-03-27,"Reported favorably as substituted"
436097,2013-04-02,"Comte report filed with Committee Coordinator"
436097,2013-04-03,"Committee report distributed"
436097,2013-04-03,"Committee report sent to Calendars"
436097,2013-04-29,"Considered in Calendars"
436097,2013-05-01,"Considered in Calendars"
436097,2013-05-04,"Placed on General State Calendar"
436097,2013-05-06,"Read 2nd time"
436097,2013-05-06,Amended
436097,2013-05-06,"Passed to engrossment as amended"
436097,2013-05-06,"Nonrecord vote recorded in Journal"
436097,2013-05-07,"Read 3rd time"
436097,2013-05-07,Passed
436097,2013-05-07,"Record vote"
436097,2013-05-07,"Statement(s) of vote recorded in Journal"
436097,2013-05-07,"Reported engrossed"
436097,2013-05-08,"Received from the House"
436097,2013-05-09,"Read first time"
436097,2013-05-09,"Referred to Economic Development"
436097,2013-05-15,"Scheduled for public hearing on . . ."
436097,2013-05-15,"Considered in public hearing"
436097,2013-05-15,"Testimony taken in committee"
436097,2013-05-16,"Reported favorably w/o amendments"
436097,2013-05-16,"Recommended for local & uncontested calendar"
436097,2013-05-16,"Committee report printed and distributed"
436097,2013-05-21,"Placed on local & uncontested calendar"
436097,2013-05-22,"Placed on intent calendar"
436097,2013-05-22,"Laid before the Senate"
436097,2013-05-22,"Read 2nd time & passed to 3rd reading"
436097,2013-05-22,"Vote recorded in Journal"
436097,2013-05-22,"Three day rule suspended"
436097,2013-05-22,"Record vote"
436097,2013-05-22,"Read 3rd time"
436097,2013-05-22,Passed
436097,2013-05-22,"Record vote"
436097,2013-05-23,"Senate passage reported"
436097,2013-05-24,"Reported enrolled"
436097,2013-05-25,"Signed in the House"
436097,2013-05-26,"Signed in the Senate"
436097,2013-05-27,"Sent to the Governor"
436097,2013-06-14,"Signed by the Governor"
436097,2013-06-14,"Effective immediately"
436098,2012-11-12,Filed
436098,2013-02-04,"Read first time"
436098,2013-02-04,"Referred to Transportation"
436098,2013-02-26,"Scheduled for public hearing on . . ."
436098,2013-02-26,"No action taken in committee"
436099,2012-11-12,Filed
436099,2013-02-04,"Read first time"
436099,2013-02-04,"Referred to Higher Education"
436100,2012-11-12,Filed
436100,2013-02-04,"Read first time"
436100,2013-02-04,"Referred to Higher Education"
436100,2013-02-27,"Scheduled for public hearing on . . ."
436100,2013-02-27,"Considered in public hearing"
436100,2013-02-27,"Committee substitute considered in committee"
436100,2013-02-27,"Testimony taken/registration(s) recorded in committee"
436100,2013-02-27,"Left pending in committee"
436100,2013-03-13,"Considered in public hearing"
436100,2013-03-13,"Committee substitute considered in committee"
436100,2013-03-13,"Reported favorably as substituted"
436100,2013-03-18,"Comte report filed with Committee Coordinator"
436100,2013-03-18,"Committee report distributed"
436100,2013-03-19,"Committee report sent to Calendars"
436100,2013-04-10,"Considered in Calendars"
436100,2013-04-26,"Considered in Calendars"
436100,2013-05-01,"Placed on General State Calendar"
436100,2013-05-01,"Read 2nd time"
436100,2013-05-01,Amended
436100,2013-05-01,"Amendment withdrawn"
436100,2013-05-01,"Passed to engrossment as amended"
436100,2013-05-02,"Read 3rd time"
436100,2013-05-02,Passed
436100,2013-05-02,"Record vote"
436100,2013-05-02,"Reported engrossed"
436100,2013-05-03,"Received from the House"
436100,2013-05-06,"Read first time"
436100,2013-05-06,"Referred to Higher Education"
436100,2013-05-15,"Scheduled for public hearing on . . ."
436100,2013-05-15,"Considered in public hearing"
436100,2013-05-17,"Reported favorably as substituted"
436100,2013-05-17,"Committee report printed and distributed"
436100,2013-05-21,"Placed on intent calendar"
436100,2013-05-21,"Rules suspended-Regular order of business"
436100,2013-05-21,"Vote recorded in Journal"
436100,2013-05-21,"Read 2nd time"
436100,2013-05-21,"Amendment(s) offered"
436100,2013-05-21,Amended
436100,2013-05-21,"Vote recorded in Journal"
436100,2013-05-21,"Amendment(s) offered"
436100,2013-05-21,Amended
436100,2013-05-21,"Vote recorded in Journal"
436100,2013-05-21,"Passed to 3rd reading as amended"
436100,2013-05-21,"Vote recorded in Journal"
436100,2013-05-21,"Three day rule suspended"
436100,2013-05-21,"Record vote"
436100,2013-05-21,"Read 3rd time"
436100,2013-05-21,Passed
436100,2013-05-21,"Record vote"
436100,2013-05-21,"Senate passage as amended reported"
436100,2013-05-22,"Senate Amendments distributed"
436100,2013-05-22,"Senate Amendments Analysis distributed"
436100,2013-05-23,"House refuses to concur in Senate amendments"
436100,2013-05-23,"House requests conference committee"
436100,2013-05-23,"House appoints conferees"
436100,2013-05-23,"House refuses to concur-reported"
436100,2013-05-23,"House requests conference committee-reported"
436100,2013-05-23,"House appoints conferees-reported"
436100,2013-05-24,"Senate grants request for conference comm."
436100,2013-05-24,"Senate appoints conferees"
436100,2013-05-24,"Senate grants request for conf comm-reported"
436100,2013-05-24,"Senate appoints conferees-reported"
436100,2013-05-25,"Conference committee report filed"
436100,2013-05-25,"Conf. Comm. Report distributed"
436100,2013-05-26,"House adopts conference committee report"
436100,2013-05-26,"Record vote"
436100,2013-05-26,"House adopts conf. comm. report-reported"
436100,2013-05-27,"Rules suspended"
436100,2013-05-27,"Record vote"
436100,2013-05-27,"Senate adopts conference committee report"
436100,2013-05-27,"Record vote"
436100,2013-05-27,"Senate adopts conf. comm. report-reported"
436100,2013-05-27,"Reported enrolled"
436100,2013-05-27,"Signed in the House"
436100,2013-05-27,"Signed in the Senate"
436100,2013-05-28,"Sent to the Governor"
436100,2013-06-14,"Signed by the Governor"
436100,2013-06-14,"Effective immediately"
436101,2012-11-12,Filed
436101,2013-02-04,"Read first time"
436101,2013-02-04,"Referred to Higher Education"
436101,2013-02-27,"Scheduled for public hearing on . . ."
436101,2013-02-27,"Considered in public hearing"
436101,2013-02-27,"Committee substitute considered in committee"
436101,2013-02-27,"Testimony taken/registration(s) recorded in committee"
436101,2013-02-27,"Left pending in committee"
436101,2013-04-03,"Considered in public hearing"
436101,2013-04-03,"Committee substitute considered in committee"
436101,2013-04-03,"Reported favorably as substituted"
436101,2013-04-15,"Comte report filed with Committee Coordinator"
436101,2013-04-16,"Committee report distributed"
436101,2013-04-16,"Committee report sent to Calendars"
436101,2013-05-03,"Considered in Calendars"
436101,2013-05-06,"Placed on General State Calendar"
436101,2013-05-08,"Read 2nd time"
436101,2013-05-08,Amended
436101,2013-05-08,"Passed to engrossment as amended"
436101,2013-05-09,"Read 3rd time"
436101,2013-05-09,Amended
436101,2013-05-09,"Passed as amended"
436101,2013-05-09,"Record vote"
436101,2013-05-09,"Statement(s) of vote recorded in Journal"
436101,2013-05-09,"Reported engrossed"
436101,2013-05-10,"Received from the House"
436101,2013-05-10,"Read first time"
436101,2013-05-10,"Referred to Higher Education"
436102,2012-11-12,Filed
436102,2013-02-04,"Read first time"
436102,2013-02-04,"Referred to Higher Education"
436102,2013-03-13,"Scheduled for public hearing on . . ."
436102,2013-03-13,"Considered in public hearing"
436102,2013-03-13,"Testimony taken/registration(s) recorded in committee"
436102,2013-03-13,"Left pending in committee"
436102,2013-04-03,"Considered in public hearing"
436102,2013-04-03,"Committee substitute considered in committee"
436102,2013-04-03,"Reported favorably as substituted"
436102,2013-04-08,"Comte report filed with Committee Coordinator"
436102,2013-04-08,"Committee report distributed"
436102,2013-04-09,"Committee report sent to Calendars"
436102,2013-04-29,"Considered in Calendars"
436102,2013-05-03,"Placed on General State Calendar"
436102,2013-05-03,"Read 2nd time"
436102,2013-05-03,"Passed to engrossment"
436102,2013-05-04,"Read 3rd time"
436102,2013-05-04,Passed
436102,2013-05-04,"Record vote"
436102,2013-05-04,"Statement(s) of vote recorded in Journal"
436102,2013-05-05,"Reported engrossed"
436102,2013-05-06,"Received from the House"
436102,2013-05-07,"Read first time"
436102,2013-05-07,"Referred to Higher Education"
436102,2013-05-17,"Scheduled for public hearing on . . ."
436102,2013-05-17,"Considered in public hearing"
436102,2013-05-17,"Reported favorably as substituted"
436102,2013-05-17,"Recommended for local & uncontested calendar"
436102,2013-05-17,"Committee report printed and distributed"
436102,2013-05-21,"Placed on local & uncontested calendar"
436102,2013-05-22,"Placed on intent calendar"
436102,2013-05-22,"Laid before the Senate"
436102,2013-05-22,"Read 2nd time & passed to 3rd reading"
436102,2013-05-22,"Vote recorded in Journal"
436102,2013-05-22,"Three day rule suspended"
436102,2013-05-22,"Record vote"
436102,2013-05-22,"Read 3rd time"
436102,2013-05-22,Passed
436102,2013-05-22,"Record vote"
436102,2013-05-23,"Senate passage as amended reported"
436102,2013-05-23,"Senate Amendments distributed"
436102,2013-05-23,"Senate Amendments Analysis distributed"
436102,2013-05-24,"House concurs in Senate amendment(s)"
436102,2013-05-24,"Record vote"
436102,2013-05-24,"Text of Senate Amendment(s)"
436102,2013-05-24,"House concurs in Senate amendment(s)-reported"
436102,2013-05-25,"Reported enrolled"
436102,2013-05-26,"Signed in the House"
436102,2013-05-26,"Signed in the Senate"
436102,2013-05-27,"Sent to the Governor"
436102,2013-06-14,"Signed by the Governor"
436102,2013-06-14,"Effective immediately"
436103,2012-11-12,Filed
436103,2013-02-04,"Read first time"
436103,2013-02-04,"Referred to Criminal Jurisprudence"
436103,2013-03-12,"Scheduled for public hearing on . . ."
436103,2013-03-12,"Considered in public hearing"
436103,2013-03-12,"Testimony taken/registration(s) recorded in committee"
436103,2013-03-12,"Left pending in committee"
436103,2013-03-19,"Considered in public hearing"
436103,2013-03-19,"Reported favorably w/o amendment(s)"
