bill_id,roll_call_id,date,description,yea,nay,nv
436092,274294,2013-05-01,"HB 21Third Reading House",128,16,1
436097,276654,2013-05-07,"HB 26Third Reading House",121,12,2
436100,275217,2013-05-02,"HB 29Third Reading House",148,0,2
436100,284130,2013-05-26,"HB 29Third Reading House",147,0,1
436101,277503,2013-05-09,"HB 30Third Reading House",136,0,2
436102,275953,2013-05-04,"HB 31Third Reading House",135,0,2
436102,283679,2013-05-24,"HB 31Third Reading House",146,0,2
436104,267748,2013-04-18,"HB 33Third Reading House",143,0,2
436105,278317,2013-05-10,"HB 34Third Reading House",129,5,2
436106,262850,2013-04-11,"HB 35Third Reading House",141,3,2
436109,261829,2013-04-10,"HB 38Third Reading House",143,1,2
436109,283534,2013-05-24,"HB 38Third Reading House",115,25,2
436119,276040,2013-05-06,"HB 48Third Reading House",141,5,1
436123,273771,2013-04-30,"HB 52Third Reading House",137,7,1
436133,271764,2013-04-25,"HB 62Third Reading House",136,0,2
436134,266732,2013-04-17,"2nd Reading Amendment 1 by Perry",84,60,1
436134,266733,2013-04-17,"2nd Reading Amendment 4 by Dutton",74,68,2
436134,266734,2013-04-17,"2nd Reading Amendment 10 by Capriglione",101,39,2
436134,266735,2013-04-17,"2nd Reading Amendment 11 by Dutton",70,74,1
436134,266736,2013-04-17,"2nd Reading Amendment 11 by Dutton",69,74,1
436134,266737,2013-04-17,"HB 63Third Reading House",98,47,1
436134,267877,2013-04-18,"HB 63Third Reading House",97,45,1
436135,267612,2013-04-18,"HB 64Third Reading House",143,0,2
436146,277126,2013-05-08,"HB 75Third Reading House",33,97,4
436149,276072,2013-05-06,"HB 78Third Reading House",144,2,1
436157,263431,2013-04-10,"HB 86Third Reading House",129,16,2
436168,278326,2013-05-10,"HB 97Third Reading House",138,0,2
436168,283460,2013-05-24,"HB 97Third Reading House",146,0,1
436195,275271,2013-05-02,"HB 124Third Reading House",129,17,2
436198,274568,2013-05-01,"HB 127Third Reading House",102,41,1
436205,278274,2013-05-10,"HB 133Third Reading House",81,56,2
436209,275369,2013-05-02,"HB 137Third Reading House",139,6,2
436210,275352,2013-05-02,"HB 138Third Reading House",147,0,2
436211,272002,2013-04-25,"HB 139Third Reading House",136,0,2
436211,281176,2013-05-20,"HB 139Third Reading House",138,6,2
436216,255155,2013-03-27,"HB 144Third Reading House",148,0,1
436220,272066,2013-04-25,"2nd Reading Amendment 1 by Wu",82,50,2
436220,272067,2013-04-25,"2nd Reading Amendment 2 by Canales",83,50,2
436220,272068,2013-04-25,"2nd Reading Amendment 3 by Turner, Chris",81,48,2
436220,272069,2013-04-25,"2nd Reading Amendment 4 by Martinez Fischer",81,50,2
436220,272070,2013-04-25,"2nd Reading Amendment 5 by Moody",83,51,2
436220,272071,2013-04-25,"2nd Reading Amendment 7 by Wu",83,51,2
436220,272072,2013-04-25,"2nd Reading Amendment 8 by Rodriguez, Justin",83,51,2
436220,272073,2013-04-25,"2nd Reading Amendment 9 by Nevárez",84,49,3
436220,272074,2013-04-25,"HB 148Third Reading House",86,41,2
436220,283146,2013-05-23,"HB 148Third Reading House",132,11,2
436226,275081,2013-05-02,"HB 154Third Reading House",147,0,2
436239,276468,2013-05-07,"HB 167Third Reading House",138,5,2
436239,276798,2013-05-07,"HB 167Third Reading House",140,2,3
436242,276771,2013-05-07,"HB 170Third Reading House",138,5,2
436246,257542,2013-04-03,"HB 174Third Reading House",147,0,2
436267,277351,2013-05-08,"HB 194Third Reading House",96,38,3
436267,277863,2013-05-09,"HB 194Third Reading House",109,22,3
436267,284105,2013-05-26,"HB 194Third Reading House",137,8,2
436268,262800,2013-04-11,"HB 195Third Reading House",141,3,2
436268,283637,2013-05-24,"HB 195Third Reading House",144,0,3
436277,275709,2013-05-03,"HB 205Third Reading House",145,1,1
436288,276757,2013-05-07,"HJR 24Third Reading House",144,0,1
436319,280768,2013-05-20,"SB 31Third Reading House",147,0,2
436321,278118,2013-05-10,"SB 33Third Reading House",143,0,2
436322,281068,2013-05-20,"SB 34Third Reading House",144,0,2
436327,282200,2013-05-22,"SB 39Third Reading House",148,0,2
436332,282455,2013-05-22,"SB 44Third Reading House",148,0,2
436333,280475,2013-05-17,"SB 45Third Reading House",134,0,2
436337,280615,2013-05-17,"SB 49Third Reading House",134,0,2
436347,280854,2013-05-20,"SB 58Third Reading House",142,4,2
436347,284108,2013-05-26,"SB 58Third Reading House",138,6,2
436348,280464,2013-05-17,"SB 59Third Reading House",134,0,2
436348,280865,2013-05-20,"SB 59Third Reading House",146,0,2
436350,278352,2013-05-10,"SB 61Third Reading House",143,0,2
436351,281105,2013-05-20,"SB 62Third Reading House",147,0,2
436352,280406,2013-05-17,"SB 63Third Reading House",130,9,2
436353,279435,2013-05-15,"SB 64Third Reading House",113,32,2
436355,280832,2013-05-20,"SB 66Third Reading House",147,0,2
436356,282350,2013-05-22,"SB 67Third Reading House",148,0,2
436381,278147,2013-05-10,"SB 92Third Reading House",143,0,2
436383,278125,2013-05-10,"SB 94Third Reading House",143,0,2
436396,282373,2013-05-22,"3rd Reading Amendment 1 by Canales",46,95,2
436396,282374,2013-05-22,"SB 107Third Reading House",145,1,1
436398,279873,2013-05-16,"SB 109Third Reading House",142,0,2
436398,280207,2013-05-16,"SB 109Third Reading House",122,23,2
436400,278937,2013-05-14,"SB 111Third Reading House",143,0,2
436401,279968,2013-05-16,"SB 112Third Reading House",97,44,4
436408,280513,2013-05-17,"SB 119Third Reading House",134,0,2
436409,273667,2013-04-30,"SB 120Third Reading House",141,3,1
436411,280569,2013-05-17,"SB 122Third Reading House",134,0,2
436412,279983,2013-05-16,"SB 123Third Reading House",123,19,2
436413,280943,2013-05-20,"SB 124Third Reading House",145,0,1
436415,280597,2013-05-17,"SCR 1Third Reading House",134,0,2
437859,275931,2013-05-04,"HB 213Third Reading House",131,3,2
437873,278216,2013-05-10,"HB 217Third Reading House",95,44,2
437893,257690,2013-04-03,"HB 222Third Reading House",143,4,2
437938,283722,2013-05-24,"HB 232Third Reading House",140,4,3
437979,257712,2013-04-03,"HB 242Third Reading House",147,0,2
437982,257526,2013-04-03,"HB 243Third Reading House",147,0,2
438022,268692,2013-04-19,"3rd Reading Amendment 1 by Larson",136,0,1
438022,268693,2013-04-19,"HB 252Third Reading House",137,0,1
438022,280420,2013-05-17,"HB 252Third Reading House",140,0,3
438051,274475,2013-05-01,"HB 259Third Reading House",136,6,2
438116,275109,2013-05-02,"HB 274Third Reading House",147,0,2
438149,254427,2013-03-26,"HB 281Third Reading House",147,0,1
