sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
5848,"Alma Allen",Alma,A.,Allen,,,1,D,1,Rep,HD-131
5849,"Roberto Alonzo",Roberto,R.,Alonzo,,,1,D,1,Rep,HD-104
5850,"Carol Alvarado",Carol,,Alvarado,,,1,D,1,Rep,HD-145
5851,"Rafael Anchia",Rafael,,Anchia,,,1,D,1,Rep,HD-103
5852,"Charles Anderson",Charles,,Anderson,,Doc,2,R,1,Rep,HD-056
5853,"Jimmie Aycock",Jimmie,Don,Aycock,,,2,R,1,Rep,HD-054
5855,"Dwayne Bohac",Dwayne,,Bohac,,,2,R,1,Rep,HD-138
5857,"Dennis Bonnen",Dennis,H.,Bonnen,,,2,R,1,Rep,HD-025
5862,"Angie Button",Angie,Chen,Button,,,2,R,1,Rep,HD-112
5869,"Garnet Coleman",Garnet,,Coleman,,,1,D,1,Rep,HD-147
5870,"Byron Cook",Byron,Curtis,Cook,,,2,R,1,Rep,HD-008
5874,"Tom Craddick",Tom,,Craddick,,,2,R,1,Rep,HD-082
5875,"Charles Creighton",Charles,Brandon,Creighton,,,2,R,2,Sen,SD-004
5876,"Myra Crownover",Myra,,Crownover,,,2,R,1,Rep,HD-064
5877,"Drew Darby",Drew,,Darby,,,2,R,1,Rep,HD-072
5879,"Yvonne Davis",Yvonne,,Davis,,,1,D,1,Rep,HD-111
5880,"Joe Deshotel",Joe,,Deshotel,,,1,D,1,Rep,HD-022
5882,"Dawnna Dukes",Dawnna,,Dukes,,,1,D,1,Rep,HD-046
5884,"Harold Dutton",Harold,V.,Dutton,Jr.,,1,D,1,Rep,HD-142
5888,"Gary Elkins",Gary,W.,Elkins,,,2,R,1,Rep,HD-135
5891,"Joe Farias",Joe,,Farias,,,1,D,1,Rep,HD-118
5892,"Jessica Farrar",Jessica,Cristina,Farrar,,,1,D,1,Rep,HD-148
5893,"Allen Fletcher",Allen,,Fletcher,,,2,R,1,Rep,HD-130
5895,"Dan Flynn",Dan,,Flynn,,,2,R,1,Rep,HD-002
5899,"Charlie Geren",Charlie,,Geren,,,2,R,1,Rep,HD-099
5900,"Helen Giddings",Helen,,Giddings,,,1,D,1,Rep,HD-109
5903,"Ryan Guillen",Ryan,,Guillen,,,1,D,1,Rep,HD-031
5904,"Roland Gutierrez",Roland,,Gutierrez,,,1,D,1,Rep,HD-119
5906,"Kelly Hancock",Kelly,,Hancock,,,2,R,2,Sen,SD-009
5908,"Patricia Harless",Patricia,,Harless,,,2,R,1,Rep,HD-126
5912,"Ana Hernandez",Ana,,Hernandez,,,1,D,1,Rep,HD-143
5913,"Abel Herrero",Abel,,Herrero,,,1,D,1,Rep,HD-034
5920,"Donna Howard",Donna,,Howard,,,1,D,1,Rep,HD-048
