bill_id,date,action
194555,1/26/2009,Referred to the Committee on Appropriations and in addition to the Committee on the Budget for a period to be subsequently determined by the Speaker in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.
194555,1/26/2009,Referred to House Appropriations
194555,1/26/2009,Referred to House Budget
194555,1/26/2009,Rules Committee Resolution H. Res. 88 Reported to House. Rule provides for consideration of H.R. 1 with 3 hours and 30 minutes of general debate. All points of order against consideration of the bill except those arising under clause 9 or 10 of rule XXI are waived. After general debate the Committee shall rise without motion and no further consideration of the bill shall occur except pursuant to a subsequent order of the House.
194555,1/27/2009,Rule H. Res. 88 passed House.
194555,1/27/2009,QUESTION OF CONSIDERATION - Pending any declaration of the House into the Committee of the Whole pursuant to H. Res. 88 for consideration of H.R. 1--which contains an emergency designation for purposes of pay-as-you-go principles--the Chair announced that it must put the question of consideration of H.R. 1 under clause 10(c)(3)of rule 21.
194555,1/27/2009,On question of consideration of the bill Agreed to by recorded vote: 224 - 199 (Roll no. 38). (consideration: CR H556-557)
194555,1/27/2009,Considered under the provisions of rule H. Res. 88. (consideration: CR H557-583)
194555,1/27/2009,Rule provides for consideration of H.R. 1 with 3 hours and 30 minutes of general debate. All points of order against consideration of the bill except those arising under clause 9 or 10 of rule XXI are waived. After general debate the Committee shall rise without motion and no further consideration of the bill shall occur except pursuant to a subsequent order of the House.
194555,1/27/2009,House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 88 and Rule XVIII.
194555,1/27/2009,The Speaker designated the Honorable John F. Tierney to act as Chairman of the Committee.
194555,1/27/2009,GENERAL DEBATE - The Committee of the Whole proceeded with 3 hours and 30 minutes of general debate on H.R. 1.
194555,1/27/2009,Committee of the Whole House on the state of the Union rises leaving H.R. 1 as unfinished business.
