bill_number,bill_id,title
HB1,268754,Disaster Relief Appropriations Act 2013
HB2,244857,Repealing the Job-Killing Health Care Law Act
HB3,244858,No Taxpayer Funding for Abortion Act
HB4,244859,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011
HB5,244860,Protecting Access to Healthcare Act
HB7,385680,American Energy and Infrastructure Jobs Act of 2012
HB8,432181,American Taxpayer Relief Act of 2012
HB9,417133,Small Business Tax Cut Act
HB10,244861,Regulations From the Executive in Need of Scrutiny Act of 2011
HB11,267818,Build America Bonds to Create Jobs Now Act of 2011
HB12,341596,American Jobs Act of 2011
HB14,417631,MAP-21
HB15,432504,Middle Class Tax Cut Act
HB16,432503,Sensible Estate Tax Relief Act of 2012
HB21,216532,Reclaiming Individual Liberty Act
HB22,216533,Pipeline Safety and Community Empowerment Act of 2011
HB23,216534,Belated Thank You to the Merchant Mariners of World War II Act of 2011
HB24,216535,To redesignate the Department of the Navy as the Department of the Navy and Marine Corps.
HB25,216536,Fair Tax Act of 2011
HB26,216537,Veterans Mental Health Screening and Assessment Act
HB27,216538,Lumbee Recognition Act
HB28,216539,Veterans Outreach Improvement Act of 2011
HB29,216540,To provide for the withdrawal of the United States from the North American Free Trade Agreement.
HB30,216541,Taking Responsible Action for Community Safety Act
HB31,216542,Fannie Mae and Freddie Mac Accountability and Transparency for Taxpayers Act of 2011
HB32,216543,Homeless Children and Youth Act of 2011
HB33,216544,Church Plan Investment Clarification Act
HB34,216545,Family Self-Sufficiency Act of 2011
HB35,216546,Teacher Tax Reduction Act of 2011
HB36,216547,Eating Disorders Awareness Prevention and Education Act of 2011
HB37,216548,401Kids Family Savings Act of 2011
HB38,216549,To rescind funds appropriated to the Health Insurance Reform Implementation Fund under the Health Care and Education Reconciliation Act of 2010.
HB39,216550,Polar Bear Delisting Act
HB40,216551,Commission to Study Reparation Proposals for African-Americans Act
HB41,216552,Beauty Mountain and Agua Tibia Wilderness Act of 2011
HB42,216553,Health Care Incentive Act
HB43,216554,To amend the Immigration and Nationality Act to eliminate the diversity immigrant program and to re-allocate those visas to certain employment-based immigrants who obtain an advanced degree in the United States.
HB44,216555,Guam World War II Loyalty Recognition Act
HB45,216556,Criminal Alien Accountability Act
HB46,216557,Fallen Heroes Family Act of 2011
HB47,216558,CIA Act
HB48,216559,Federal Life Insurance Transparency Act
HB49,216560,American Energy Independence and Price Reduction Act
HB50,216561,Multinational Species Conservation Funds Reauthorization Act of 2011
HB51,216562,Heat Island and Smog Reduction Act of 2011
HB52,216563,Oil Pollution Environmental Review Act
HB53,216564,To amend the Internal Revenue Code of 1986 to deny a deduction for removal costs and damages for which taxpayers are liable under the Oil Pollution Act of 1990.
HB54,216565,Stand by your Oil Pollution Act
HB55,216566,Northern Virginia Metrorail Extension Act of 2011
HB56,216567,Gulf Coast Restoration Act
HB57,216568,Disaster Recovery Improvement Act
HB58,216569,Firearms Interstate Commerce Reform Act
HB59,216570,Sunset All Czars Act
HB60,216571,To repeal the expansion of information reporting requirements for payments of $600 or more to corporations and for other purposes.
HB61,216572,Coach Act of 2011
HB62,216573,International Tax Competitiveness Act of 2011
HB63,216574,Long-Term Care Insurance Reform Act of 2011
HB64,216575,To amend the Internal Revenue Code of 1986 to prevent corporations from exploiting tax treaties to evade taxation of United States income.
HB65,216576,Candy Tobacco Tax Parity Act of 2011
HB66,216577,Waste-to-Energy Technology Act of 2011
HB67,216578,To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 until February 29 2012.
HB68,216579,To amend the Communications Act of 1934 to prohibit Federal funding for the Corporation for Public Broadcasting after fiscal year 2013.
HB69,216580,To prohibit Federal funding of certain public radio programming to provide for the transfer of certain public radio funds to reduce the public debt and for other purposes.
HB70,216581,Disability Benefit Fairness Act of 2011
HB71,216582,FAMS Augmentation Act of 2011
HB72,216583,New Jobs for America Act of 2011
