sponsor_id,name
8950,"George Miller"
8952,"Charles Rangel"
8955,"Nydia Velazquez"
8956,"Henry Waxman"
8957,"Frank Pallone"
8959,"John Barrow"
8961,"Bruce Braley"
8962,"Lois Capps"
8963,"Kathy Castor"
8964,"Gerald Connolly"
8965,"Henry Cuellar"
8967,"Diana DeGette"
8968,"John Dingell"
8970,"Eliot Engel"
8971,"Anna Eshoo"
8972,"Bill Foster"
8973,"Gene Green"
8975,"Ruben Hinojosa"
8976,"Henry Johnson"
8979,"Ben Lujan"
8980,"Daniel Maffei"
8981,"Edward Markey"
8983,"Doris Matsui"
8985,"Jerry McNerney"
8986,"Christopher  Murphy"
8987,"Bill Pascrell"
8988,"Janice Schakowsky"
8989,"Brad Sherman"
8994,"Niki Tsongas"
8995,"Debbie Wasserman Schultz"
8997,"Peter Welch"
9000,"Robert Andrews"
9004,"Tammy Baldwin"
9005,"Xavier Becerra"
9009,"Timothy Bishop"
9010,"Earl Blumenauer"
9012,"Madeleine Bordallo"
9014,"Robert Brady"
9015,"Corrine Brown"
9016,"G. Butterfield"
9017,"Michael Capuano"
9019,"Andre Carson"
9020,"Donna Christensen"
9021,"Yvette Clarke"
9022,"Lacy Clay"
9023,"Emanuel Cleaver"
9024,"James Clyburn"
9025,"Steve Cohen"
9026,"John Conyers"
9027,"Jim Cooper"
9029,"Joe Courtney"
9030,"Elijah Cummings"
9032,"Danny Davis"
9033,"Susan Davis"
9034,"Peter DeFazio"
9035,"Rosa DeLauro"
9037,"Lloyd Doggett"
9038,"Michael Doyle"
9040,"Donna Edwards"
9041,"Keith Ellison"
9042,"Sam Farr"
9043,"Chaka Fattah"
9045,"Marcia Fudge"
9047,"Kirsten Gillibrand"
9049,"Alan Grayson"
9050,"Al Green"
9051,"Raul Grijalva"
9052,"Luis Gutierrez"
9056,"Alcee Hastings"
9057,"Martin Heinrich"
9058,"Brian Higgins"
9059,"James Himes"
9061,"Mazie Hirono"
9063,"Rush Holt"
9064,"Michael Honda"
9065,"Steny Hoyer"
9066,"Steve Israel"
9068,"Sheila Jackson-Lee"
9069,"Eddie Johnson"
9070,"Marcy Kaptur"
9073,"Ron Kind"
9075,"James Langevin"
9076,"Rick Larsen"
9077,"John Larson"
9078,"Barbara Lee"
9079,"Sander Levin"
9080,"John Lewis"
9081,"Daniel Lipinski"
9082,"David Loebsack"
9083,"Zoe Lofgren"
9084,"Nita Lowey"
9085,"Stephen Lynch"
9086,"Carolyn Maloney"
9088,"Carolyn McCarthy"
9089,"Betty McCollum"
9090,"Jim McDermott"
9092,"Michael Michaud"
9095,"Gwen Moore"
9096,"James Moran"
9099,"Jerrold Nadler"
9100,"Eleanor Norton"
9104,"Ed Pastor"
9107,"Gary Peters"
9108,"Pedro Pierluisi"
9109,"Chellie Pingree"
