sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
8952,Charles Rangel,Charles,B.,Rangel,,,1,D,1,Rep,HD-NY-13
8955,Nydia Velazquez,Nydia,M.,Velazquez,,,1,D,1,Rep,HD-NY-7
8957,Frank Pallone,Frank,,Pallone,Jr.,,1,D,1,Rep,HD-NJ-6
8962,Lois Capps,Lois,,Capps,,,1,D,1,Rep,HD-CA-24
8963,Kathy Castor,Kathy,,Castor,,,1,D,1,Rep,HD-FL-14
8964,Gerald Connolly,Gerald,E.,Connolly,,Gerry,1,D,1,Rep,HD-VA-11
8965,Henry Cuellar,Henry,,Cuellar,,,1,D,1,Rep,HD-TX-28
8967,Diana DeGette,Diana,,DeGette,,,1,D,1,Rep,HD-CO-1
8970,Eliot Engel,Eliot,L.,Engel,,,1,D,1,Rep,HD-NY-16
8971,Anna Eshoo,Anna,G.,Eshoo,,,1,D,1,Rep,HD-CA-18
8972,Bill Foster,Bill,,Foster,,,1,D,1,Rep,HD-IL-11
8973,Gene Green,Gene,,Green,,,1,D,1,Rep,HD-TX-29
8975,Ruben Hinojosa,Ruben,,Hinojosa,,,1,D,1,Rep,HD-TX-15
8976,Henry Johnson,Henry,C.,Johnson,Jr.,Hank,1,D,1,Rep,HD-GA-4
8979,Ben Lujan,Ben,Ray,Lujan,,,1,D,1,Rep,HD-NM-3
8981,Edward Markey,Edward,J.,Markey,,,1,D,2,Sen,HD-MA-5
8983,Doris Matsui,Doris,O.,Matsui,,,1,D,1,Rep,HD-CA-6
8985,Jerry McNerney,Jerry,,McNerney,,,1,D,1,Rep,HD-CA-9
8986,Christopher  Murphy,Christopher,S.,Murphy,,,1,D,2,Sen,HD-CT-5
8987,Bill Pascrell,Bill,,Pascrell,Jr.,,1,D,1,Rep,HD-NJ-9
8988,Janice Schakowsky,Janice,D.,Schakowsky,,,1,D,1,Rep,HD-IL-9
8989,Brad Sherman,Brad,,Sherman,,,1,D,1,Rep,HD-CA-30
8994,Niki Tsongas,Niki,,Tsongas,,,1,D,1,Rep,HD-MA-3
8995,Debbie Wasserman Schultz,Debbie,,Wasserman Schultz,,,1,D,1,Rep,HD-FL-23
8997,Peter Welch,Peter,,Welch,,,1,D,1,Rep,HD-VT
9004,Tammy Baldwin,Tammy,,Baldwin,,,1,D,2,Sen,HD-WI-2
9005,Xavier Becerra,Xavier,,Becerra,,,1,D,1,Rep,HD-CA-34
9010,Earl Blumenauer,Earl,,Blumenauer,,,1,D,1,Rep,HD-OR-3
9012,Madeleine Bordallo,Madeleine,Z.,Bordallo,,,1,D,1,Rep,HD-GU
9014,Robert Brady,Robert,A.,Brady,,,1,D,1,Rep,HD-PA-1
9015,Corrine Brown,Corrine,,Brown,,,1,D,1,Rep,HD-FL-5
9016,G. Butterfield,G.,K.,Butterfield,,,1,D,1,Rep,HD-NC-1
9017,Michael Capuano,Michael,E.,Capuano,,,1,D,1,Rep,HD-MA-7
9019,Andre Carson,Andre,,Carson,,,1,D,1,Rep,HD-IN-7
9021,Yvette Clarke,Yvette,D.,Clarke,,,1,D,1,Rep,HD-NY-9
9022,Lacy Clay,Lacy,,Clay,,,1,D,1,Rep,HD-MO-1
9023,Emanuel Cleaver,Emanuel,,Cleaver,,,1,D,1,Rep,HD-MO-5
9024,James Clyburn,James,E.,Clyburn,,,1,D,1,Rep,HD-SC-6
9025,Steve Cohen,Steve,,Cohen,,,1,D,1,Rep,HD-TN-9
9026,John Conyers,John,,Conyers,Jr.,,1,D,1,Rep,HD-MI-13
9027,Jim Cooper,Jim,,Cooper,,,1,D,1,Rep,HD-TN-5
9029,Joe Courtney,Joe,,Courtney,,,1,D,1,Rep,HD-CT-2
9030,Elijah Cummings,Elijah,E.,Cummings,,,1,D,1,Rep,HD-MD-7
9032,Danny Davis,Danny,K.,Davis,,,1,D,1,Rep,HD-IL-7
9033,Susan Davis,Susan,A.,Davis,,,1,D,1,Rep,HD-CA-53
9034,Peter DeFazio,Peter,A.,DeFazio,,,1,D,1,Rep,HD-OR-4
9035,Rosa DeLauro,Rosa,L.,DeLauro,,,1,D,1,Rep,HD-CT-3
9037,Lloyd Doggett,Lloyd,,Doggett,,,1,D,1,Rep,HD-TX-35
9038,Michael Doyle,Michael,F.,Doyle,,,1,D,1,Rep,HD-PA-14
9040,Donna Edwards,Donna,F.,Edwards,,,1,D,1,Rep,HD-MD-4
9041,Keith Ellison,Keith,,Ellison,,,1,D,1,Rep,HD-MN-5
9042,Sam Farr,Sam,,Farr,,,1,D,1,Rep,HD-CA-20
