bill_id,date,action
415733,2010-11-17,"Bill Numbered but not Distributed in LRGC"
415733,2010-11-17,"Numbered Bill Made Available for Public Distributi in LRGC"
415733,2010-11-17,"LFA/ bill sent to agencies for fiscal input in LRGC"
415733,2010-11-17,"LFA/ fiscal note sent to sponsor in LRGC"
415733,2010-11-17,"LFA/ fiscal note publicly available in LRGC"
415733,2010-11-17,"Senate/ received bill from Legislative Research in SINTRO"
415733,2010-11-17,"Senate/ to Printing with fiscal note in SINTRO"
415733,2010-11-17,"Senate/ 1st reading (Introduced) in SSTRUL"
415733,2010-11-17,"Senate/ lifted from Rules in S2ND"
415733,2010-11-17,"Senate/ 2nd & 3rd readings/ suspension in S2ND"
415733,2010-11-17,"Senate/ passed 2nd & 3rd readings/ suspension in HCLERK"
415733,2010-11-17,"Senate/ to House in HCLERK"
415733,2010-11-17,"House/ 1st reading (Introduced) in HSTRUL"
415733,2010-11-17,"House/ lifted from Rules in HSTRUL"
415733,2010-11-17,"House/ 2nd reading/ suspension in H3RDSB"
415733,2010-11-17,"House/ 3rd reading in H3RDSB"
415733,2010-11-17,"House/ floor amendment in H3RDSB"
415733,2010-11-17,"House/ passed 3rd reading in SSEC"
415733,2010-11-17,"House/ to Senate in SSEC"
415733,2010-11-17,"Senate/ received from House in SSEC"
415733,2010-11-17,"Senate/ placed on Concurrence Calendar in SCURCAL"
415733,2010-11-17,"Senate/ concurs with House amendment in HSPKR"
415733,2010-11-17,"Senate/ to House in HSPKR"
415733,2010-11-17,"Senate/ received from House in SPRES"
415733,2010-11-17,"Senate/ signed by President/ sent for enrolling in LRGCEN"
415733,2010-11-17,"House/ received from Senate in HSPKR"
415733,2010-11-17,"House/ signed by Speaker/ returned to Senate in SPRES"
415733,2010-11-17,"Draft of Enrolled Bill Prepared in LRGCEN"
415733,2010-11-17,"Bill Received from Senate for Enrolling in LRGCEN"
415733,2010-11-17,"Enrolled Bill Returned to House or Senate in SSEC"
415733,2010-11-18,"Senate/ enrolled bill to Printing in SSEC"
415733,2010-11-18,"Senate/ received enrolled bill from Printing in SSEC"
415733,2010-11-18,"Senate/ to Governor in EGOV"
415776,2010-11-17,"Bill Numbered but not Distributed in LRGC"
415776,2010-11-17,"Numbered Bill Made Available for Public Distributi in LRGC"
415776,2010-11-17,"LFA/ bill sent to agencies for fiscal input in LRGC"
415776,2010-11-17,"House/ received bill from Legislative Research in HINTRO"
415776,2010-11-17,"LFA/ fiscal note sent to sponsor in HINTRO"
415776,2010-11-17,"LFA/ fiscal note publicly available in HINTRO"
415776,2010-11-17,"House/ 1st reading (Introduced) in HSTRUL"
415776,2010-11-17,"House/ lifted from Rules in HSTRUL"
415776,2010-11-17,"House/ 2nd reading/ suspension in H3RDHB"
415776,2010-11-17,"House/ 3rd reading in H3RDHB"
415776,2010-11-17,"House/ to Printing with fiscal note in H3RDHB"
415776,2010-11-17,"House/ passed 3rd reading in SSEC"
415776,2010-11-17,"House/ to Senate in SSEC"
415776,2010-11-17,"Senate/ received from House in SINTRO"
415776,2010-11-17,"House/ received fiscal note from Fiscal Analyst in SSEC"
415776,2010-11-17,"Senate/ 1st reading (Introduced) in SSTRUL"
415776,2010-11-17,"Senate/ lifted from Rules in S2ND"
415776,2010-11-17,"Senate/ 2nd & 3rd readings/ suspension in S2ND"
415776,2010-11-17,"Senate/ passed 2nd & 3rd readings/ suspension in SPRES"
415776,2010-11-17,"Senate/ signed by President/ returned to House in HSPKR"
415776,2010-11-17,"Senate/ to House in HSPKR"
415776,2010-11-17,"Draft of Enrolled Bill Prepared in LRGCEN"
415776,2010-11-17,"House/ received from Senate in HSPKR"
415776,2010-11-17,"House/ signed by Speaker/ sent for enrolling in LRGCEN"
415776,2010-11-17,"Bill Received from House for Enrolling in LRGCEN"
415776,2010-11-17,"Enrolled Bill Returned to House or Senate in HCLERK"
415776,2010-11-18,"House/ enrolled bill to Printing in HCLERK"
