bill_number,bill_id,title
HB0001,181558,"Minimum School Program Base Budget"
HB0002,181559,"Fiscal Year 2010 and Fiscal Year 2011 Supplemental Appropriations"
HB0003,181560,"Appropriations Adjustments"
HB0004,181561,"Current School Year Supplemental Minimum School Program Budget Adjustments"
HB0005,181562,"Revenue Bond and Capital Facilities Authorizations"
HB0006,181563,"State Agency Compensation Appropriations"
HB0010,181564,"Court Fees for Inmates"
HB0011,181565,"Licensing of Elevator Contractors and Elevator Mechanics"
HB0012,181566,"Criminal Homicide and Abortion Amendments"
HB0013,181567,"Drug Law Definitions - Amendments"
HB0014,181568,"Juvenile Transfers from Justice Court"
HB0015,181569,"Deferred Deposit Lending Amendments"
HB0016,181570,"Parent-time Amendments"
HB0017,181571,"Amendments to Programs for People with Disabilities"
HB0018,181572,"Unemployment Insurance Amendments"
HB0019,181573,"Post Conviction Remedies Amendments"
HB0020,181574,"Amendments to Health Insurance Coverage in State Contracts"
HB0021,181575,"Expungement Revisions"
HB0022,181576,"Inmate Health Insurance Amendments"
HB0023,181577,"Workplace Drug and Alcohol Testing"
HB0024,181578,"Economic Development Incentives Act Amendments"
HB0025,181579,"Health Reform - Administrative Simplification"
HB0026,181580,"Brine Shrimp Royalty Act Amendments"
HB0027,181581,"Per Diem and Travel Expense Modifications"
HB0028,181582,"Controlled Substance Database Amendments"
HB0029,181583,"School District Division Amendments"
HB0030,181584,"Drug Law Amendments"
HB0031,181585,"Wildlife Licenses, Certificates, or Permit Amendments"
HB0032,181586,"Livestock Damage Compensation Amendments"
HB0033,181587,"Groundwater Recharge and Recovery Act Amendments"
HB0034,181588,"Water Storage Projects"
HB0035,181589,"Controlled Substance Database - Reporting for Overdose of a Prescribed Controlled Substance"
HB0036,181590,"Controlled Substance Database - Reporting Convictions for Driving Under the Influence or Impaired Driving"
HB0037,181591,"Criminal Background Checks on Motor Vehicle Dealers and Salespersons"
HB0038,181592,"Scheduling of Controlled Substances"
HB0039,181593,"Insurance Related Amendments"
HB0040,181594,"Utah Life and Health Insurance Guaranty Association Amendments"
HB0041,181595,"Constables Amendments"
HB0042,181596,"School District Employees - Career Status Requirements"
HB0043,181597,"Unemployment Compensation Amendments"
HB0044,181598,"Referendum Ballot Proposition Amendments"
HB0045,181599,"State Construction Code Adoption"
HB0046,181600,"Motor Vehicle Act Amendments"
HB0047,181601,"Board of Pardons and Parole Technical Amendments"
HB0048,181602,"Amendments to the Tourism, Recreation, Cultural, Convention, and Airport Facilities Tax Act"
HB0049,181603,"Amendments Related to a Tax, Fee, or Charge Administered by the State Tax Commission"
HB0050,181604,"Sales and Use Tax Modifications"
HB0051,181605,"Family Employment Program - Cash Assistance to Single Minor Parent"
HB0052,181606,"Health Reform - Uniform Electronic Standards - Insurance Information"
HB0053,181607,"Foreclosure Rescue and Loan Modification Amendments"
HB0054,181608,"Property Tax Exemption for Water Facilities"
HB0055,181609,"Department of Community and Culture Grants Amendments"
HB0056,181610,"Amended Campaign Financial Statements"
HB0057,181611,"Extension of Sunset for Design-build Contract Award Authorization"
HB0058,181612,"Utah Generated Renewable Energy Electricity Network Authority Board Amendments"
HB0059,181613,"Campaign Finance Revisions"
HB0060,181614,"Water Conveyance Facilities Safety Act"
HB0061,181615,"Real Property Sales Information Disclosure"
HB0062,181616,"Penalties for Violent Crime in Presence of a Child"
HB0063,181617,"Tire Recycling Fee Modification"
HB0064,181618,"Errors and Omissions Coverage for Insurance Producers"
HB0065,181619,"Amendments Related to Regulation of Insurance Type Products"
HB0066,181620,"Prosthetic Limb Health Insurance Parity"
HB0067,181621,"Health System Amendments"
HB0068,181622,"Habitual Wanton Destruction of Wildlife"
HB0069,181623,"State Engineer's Plugging of Wells Repealer"
HB0070,181624,"Certification of Retrofit Compressed Natural Gas Vehicles"
HB0071,181625,"Nicotine Product Restrictions"
HB0072,181626,"Utah School Seismic Hazard Inventory"
HB0073,181627,"Utah Construction Trades Continuing Education Amendments"
HB0074,181628,"Adoption and Child Custody Amendments"
HB0075,181629,"Assessment Area Amendments"
HB0076,181630,"Ticket Scalping"
HB0077,181631,"Seismic Requirements for Condominium Conversion Projects"
HB0078,181632,"Weapons Revisions"
HB0079,181633,"Valid Voter Identification Amendments"
HB0080,181634,"Public Access to Private Stream Beds"
HB0081,181635,"School Employee Criminal Background Check"
HB0082,181636,"Protection of Children Riding in Motor Vehicles"
HB0083,181637,"Public Employees' Retirement - Spousal Election"
HB0084,181638,"Water Banking"
HB0085,181639,"Responsible Development of Nuclear Power Generation"
HB0086,181640,"Department of Human Services - Review and Oversight"
HB0087,181641,"Medical Assistance Asset Test Amendments"
HB0088,181642,"Electronic Cigarette Restrictions"
HB0089,181643,"License for Controlled Substances Amendments"
HB0090,181644,"Income Tax Amendments"
HB0091,181645,"Traffic Control Signs for Bicycles"
HB0092,181646,"Moist Snuff Taxation Revisions"
HB0093,181647,"Motorcycle and Off-highway Vehicle Amendments"
HB0094,181648,"Uniform Fiscal Procedures Act Amendments for Towns, Cities, and Counties Amendments"
HB0095,181649,"Certification of Voting Equipment Modifications"
HB0096,181650,"Libel Amendments"
HB0097,181651,"Amendments Relating to Deceptive Practices Involving Consumers"
HB0098,181652,"State Engineer Bonding Requirements"
HB0099,181653,"Background Checks for School Sports Officials"
HB0100,181654,"Heber Valley Historic Railroad Authority"
HB0101,181655,"Anesthesiologist Assistants"
HB0102,181656,"Agriculture Sustainability Act"
HB0103,181657,"Reduced Speed School Zone Amendments"
HB0104,181658,"Unlawful Provision of Identifiable Prescription Information"
HB0105,181659,"Public School Employee Auditory Protection Requirements"
HB0106,181660,"Expedited Background Checks for Human Services Providers"
HB0107,181661,"Animal Shelter Amendments"
HB0108,181662,"Meat Inspection Amendments"
HB0109,181663,"Volunteer Government Workers Act Definitions"
HB0110,181664,"County Jail Inmate Medical Costs"
HB0111,181665,"Small Group Health Insurance - Statewide Risk Adjustment"
HB0112,181666,"Supreme Court Review of an Initiative or Referendum"
HB0113,181667,"Child Restraint Device Amendments"
HB0114,181668,"Disclosure of Donations to Higher Education Institutions"
HB0115,181669,"Counsel for Indigents in Juvenile Court Proceedings"
HB0116,181670,"Political Subdivision Facility Energy Efficiency"
HB0117,181671,"Public Education Capital Outlay Act"
HB0118,181672,"Economic Development Incentives Modifications"
HB0119,181673,"Motor Vehicle Impound Amendments"
HB0120,181674,"Underground Storage Tank Amendments"
HB0121,181675,"Emergency Medical Services Act Transport Amendments"
HB0122,181676,"Surveyor Amendments"
HB0123,181677,"Adoption Tax Credit"
HB0124,181678,"Campaign Funds Expenditure Restrictions"
HB0125,181679,"Kidnapping and Sex Offender Registry Amendments"
HB0126,181680,"State Construction Registry Amendments"
HB0127,181681,"Reproductive Health Education Amendments"
HB0128,181682,"Antidiscrimination Study Related to Employment and Housing"
HB0129,181683,"Amendments to Education Financing"
HB0130,181684,"Cancer Research Special Group License Plate"
HB0131,181685,"B and C Road Construction Amendments"
HB0132,181686,"Pioneer Trail Memorial Highway"
HB0133,181687,"Release of Court Documents and Child Interviews"
HB0134,181688,"Education Donation Tax Credit"
HB0135,181689,"Pharmacy Benefit Managers Act"
HB0136,181690,"Jail Contracting and Reimbursement"
HB0137,181691,"Public School Funding"
HB0138,181692,"Hazing Penalties"
HB0139,181693,"Emergency and Disaster Management Amendments"
HB0140,181694,"Human Resource Management Amendments"
HB0141,181695,"Recreational Use of Public Water on Private Property"
HB0142,181696,"Legislator - Benefit Plan"
HB0143,181697,"Eminent Domain Authority"
HB0144,181698,"Hospital Lien Revisions"
HB0145,181699,"Renewable Energy Financing Provisions"
HB0146,181700,"Law Enforcement by Federal Land Management Agency"
HB0147,181701,"Charter School Revisions"
HB0148,181702,"Sales and Use Tax Changes"
HB0149,181703,"School Finance Amendments"
HB0150,181704,"Administrative Subpoena Amendments"
HB0151,181705,"Utah High School Rodeo Support Special Group License Plate"
HB0152,181706,"Contract Passenger Carrier Safety Act"
HB0153,181707,"Recycling of Electronic Items"
HB0154,181708,"Minimum School Program Act Amendments"
HB0155,181709,"Agricultural Advisory Board and Livestock Related Policy"
HB0156,181710,"Regulation of Laser Centers"
HB0157,181711,"Property Tax Relief Programs"
HB0158,181712,"Sales and Use Tax and Income Tax Amendments"
HB0159,181713,"Campaign Finance Transparency"
HB0160,181714,"Campaign Finance Provisions"
HB0161,181715,"Voter Registration Amendments"
HB0162,181716,"Unlawful Sexual Conduct with a Minor"
HB0163,181717,"School and Institutional Trust Lands Changes"
HB0164,181718,"Redistricting Provisions"
HB0165,181719,"Water Rights Amendments"
HB0166,181720,"Reductions to Education Mandates"
HB0167,181721,"General Government Amendments"
HB0168,181722,"Government Operations Amendments"
HB0169,181723,"Refinery Amendments"
HB0170,181724,"Foster Care Revisions"
HB0171,181725,"Water Rights Revisions"
HB0172,181726,"Revisions to Government Law"
HB0173,181727,"911 Amendments"
HB0174,181728,"License Plates Amendments"
HB0175,181729,"Amendments to Light Requirements on Motor Vehicles"
HB0176,181730,"Continuing Education Requirements for Electricians and Plumbers"
HB0177,181731,"Public Employees' Health Care"
HB0178,181732,"Bureau of Criminal Identification Fee Amendments"
HB0179,181733,"Off-highway Vehicle and Street-legal All-terrain Vehicle Revisions"
HB0180,181734,"Outdoor Advertising Amendments"
HB0181,181735,"Condominium Association Common Expenses"
HB0182,181736,"Property Tax - Home Owner Exemption Modification"
HB0183,181737,"Construction and Fire Code Related Amendments"
HB0184,181738,"Medicaid Autism Waiver"
HB0185,181739,"Animal Euthanasia Standards"
HB0186,181740,"Controlled Substance Database Revisions"
HB0187,181741,"Peace Officer Standards and Training Amendments"
HB0188,181742,"Workers' Compensation Benefits - Social Security Offset"
HB0189,181743,"Closed Meetings Amendments"
HB0190,181744,"Disclosure of Methamphetamine Contaminated Property Act Amendments"
HB0191,181745,"Reporting by Deferred Deposit Lenders"
HB0192,181746,"Renewable Energy - Methane Gas"
HB0193,181747,"Occupations and Professions Amendments"
HB0194,181748,"Grants for Math Teacher Training"
HB0195,181749,"Homicide Penalty Amendment"
HB0196,181750,"Tobacco Tax Revisions"
HB0197,181751,"Custodial Interference Amendments"
HB0198,181752,"Assertive Community Mental Health Treatment Pilot Program"
HB0199,181753,"Municipal Clerk and Recorder Responsibilities"
HB0200,181754,"Informed Consent Amendments"
HB0201,181755,"State Fire Marshal Modifications"
HB0202,181756,"Fireworks Amendments"
HB0203,181757,"Repeal of Sales and Use Tax Exemption Relating to Mining"
HB0204,181758,"Jury Trial Amendments"
HB0205,181759,"Impact Fee Amendments"
HB0206,181760,"Ban on Sale of Smoking Paraphernalia to Minors"
HB0207,181761,"Protection of Property Amendment"
HB0208,181762,"Disposition of the Remains of a Deceased Military Service Member"
HB0209,181763,"Sex Offender Regulation Amendments"
HB0210,181764,"Eminent Domain Modifications"
HB0211,181765,"Improvement District Board Membership"
HB0212,181766,"Continuing Education Requirements for Landscape Architects"
HB0213,181767,"Cigarette Tax Exemption Amendments"
HB0214,181768,"Concealed Firearm Permit Modifications"
HB0215,181769,"Amendments to Public Employees' Benefit and Insurance Program Act - Risk Pools"
HB0216,181770,"Incorporation of a Town Amendments"
HB0217,181771,"Income Tax Revisions"
HB0218,181772,"Municipal Disincorporation Revisions"
HB0219,181773,"Delinquent Property Tax Amendments"
HB0220,181774,"Disproportionate Rental Fee Amendments"
HB0221,181775,"Sunset Act and Repealers Reauthorization"
HB0222,181776,"Land Use Meeting Notice"
HB0223,181777,"Alcoholic Beverage Control Act and Restaurant Licenses"
HB0224,181778,"Uniform Real Property Transfer on Death Act"
HB0225,181779,"Counterfeit Substance Amendments"
HB0226,181780,"Well Driller's License - Pump Installation"
HB0227,181781,"Licensing Eligibility"
HB0228,181782,"Renewable Energy Source Amendments"
HB0229,181783,"Water Right General Adjudication Amendments"
HB0230,181784,"Human Trafficking Amendments"
HB0231,181785,"Water Rights Priorities in Times of Shortage"
HB0232,181786,"Medical Language Interpreter Amendments"
HB0233,181787,"Retirement Office Amendments"
HB0234,181788,"Opting Out of the Real Id Act"
HB0235,181789,"Child Support for Children in State Custody"
HB0236,181790,"Statutory Construction Amendments"
HB0237,181791,"Restrictions on Use of Wireless Telephones in Vehicles by Minors"
HB0238,181792,"Low Speed Vehicle Amendments"
HB0239,181793,"Child Protection Revisions"
HB0240,181794,"Department of Natural Resources Amendments"
HB0241,181795,"Requirements for Check Casher to Cash a Check"
HB0242,181796,"Marriage License Fee Amendments"
HB0243,181797,"Foreclosure Processes on Residential Rental Properties"
HB0244,181798,"Provisional Ballot Amendments for Unregistered Voters"
HB0245,181799,"Voter Challenge Amendments"
HB0246,181800,"Retirement Benefits for Charter School Employees"
HB0247,181801,"Lobbyist Restriction Modifications"
HB0248,181802,"Government Records Amendments"
HB0249,181803,"Emancipation Amendments"
HB0250,181804,"Criminal Penalties Amendments - Leaving the Scene of an Accident"
HB0251,181805,"Admission of Affidavits into Evidence"
HB0252,181806,"Workplace Accommodation of Breast Feeding"
HB0253,181807,"Transfer of the Bureau of Emergency Medical Services from the Department of Health to the Department of Public Safety"
HB0254,181808,"Voter Identification Amendments"
HB0255,181809,"Divorce Orientation Amendments"
HB0256,181810,"Child Abuse Database Amendments"
HB0257,181811,"Dietitian Certification Act Amendments"
HB0258,181812,"Voting Precinct Boundaries"
HB0259,181813,"Property Tax Amendments"
HB0260,181814,"Children's Health Insurance Plan Simplified Renewal"
HB0261,181815,"Financial Responsibility of Motor Vehicle Owners and Operators Act Amendments"
HB0262,181816,"Reporting to Appropriation Committees"
HB0263,181817,"Technical Cross Reference Revisions"
HB0264,181818,"Law Enforcement Amendments"
HB0265,181819,"Real Property Amendments"
HB0266,181820,"Government Records Access and Management Act Revisions"
HB0267,181821,"Lobbyist Disclosure and Regulation Act Amendments"
HB0268,181822,"Public School Innovations"
HB0269,181823,"Solemnizing Marriages Amendment"
HB0270,181824,"Financial Disclosure and Conflict of Interest Amendments"
HB0271,181825,"Hunting Guides and Outfitters Licensing Act Amendments"
HB0272,181826,"Construction Trades Licensing Act Amendments"
HB0273,181827,"Utah International Trade Commission Amendments"
HB0274,181828,"Statutory Construction Compliance Amendments"
HB0275,181829,"Division of Real Estate Amendments"
HB0276,181830,"Sex Offender Registry Amendment"
HB0277,181831,"Overdose Reporting Amendments"
HB0278,181832,"Government Records Access and Management Act Amendments"
HB0279,181833,"County Recorder Amendments"
HB0280,181834,"Real Property - Notice of Transfer Fees"
HB0281,181835,"Medicaid Family Planning Waiver"
HB0282,181836,"Local Government Amendments"
HB0283,181837,"Fees and Assessment Levies in Local and Special Service Districts"
HB0284,181838,"Uniform Collaborative Law Act"
HB0285,181839,"Practice of Veterinary Medicine"
HB0286,181840,"Retirement System Divestment"
HB0287,181841,"Legislator Salary Amendments"
HB0288,181842,"Daylight Saving Time"
HB0289,181843,"Judicial Nominating Commission Amendments"
HB0290,181844,"Recreational Use of Privately Owned Stream Beds"
HB0291,181845,"Applicability of Land Use Provisions to Federal Government"
HB0292,181846,"Equalization of Funding for Divided School Districts"
HB0293,181847,"Victims' Rights Amendments"
HB0294,181848,"Health System Reform Amendments"
