bill_id,sponsor_id
181558,8106
181558,8107
181559,8108
181559,8109
181560,8108
181560,8109
181561,8106
181561,8107
181562,8110
181562,8111
181563,8112
181563,8113
181564,8114
181564,8115
181565,8116
181565,8117
181566,8118
181566,8119
181567,8120
181568,8121
181568,8122
181569,8117
181569,8123
181570,8111
181570,8124
181571,8113
181571,8125
181572,8125
181572,8126
181573,8111
181573,8121
181574,8123
181574,8127
181575,8109
181575,8128
181576,8129
181577,8117
181577,8120
181578,8130
181578,8131
181579,8106
181579,8132
181580,8126
181580,8133
181581,8132
181581,8134
181582,8111
181582,8135
181583,8107
181583,8136
181584,8111
181584,8120
181585,8119
181585,8137
181586,8138
181586,8139
181587,8140
181587,8141
181588,8140
181588,8141
181589,8135
181590,8135
181591,8142
181591,8143
181592,8129
181592,8144
181593,8123
181593,8126
181594,8123
181594,8126
181595,8114
181595,8115
181596,8145
181597,8125
181597,8143
181598,8132
181598,8146
181599,8147
181599,8148
181600,8128
181600,8139
181601,8115
181601,8149
181602,8134
181603,8133
181603,8148
181604,8111
181604,8150
181605,8123
181605,8143
181606,8106
181606,8132
181607,8148
181607,8151
181608,8152
181608,8153
181609,8122
181609,8128
181610,8154
181611,8128
181611,8139
181612,8111
181612,8155
181613,8119
181613,8156
181614,8146
181615,8157
181616,8158
181616,8159
181617,8160
181618,8161
181619,8148
181619,8161
181620,8153
181620,8162
181621,8118
181622,8114
181622,8163
181623,8164
181623,8165
181624,8166
181625,8129
181626,8116
181627,8147
181627,8148
181628,8113
181628,8154
181629,8157
181630,8167
181631,8116
181632,8168
181633,8169
181634,8124
181635,8119
181635,8154
181636,8132
181636,8170
181637,8130
181638,8166
181639,8170
181640,8111
181640,8142
181641,8171
181642,8119
181642,8145
181643,8143
181643,8147
181644,8172
181645,8126
181645,8173
181646,8111
181646,8135
181647,8111
181647,8145
181648,8146
181649,8131
181649,8174
181650,8128
181650,8175
181651,8126
181651,8169
181652,8151
181652,8163
181653,8126
181653,8136
181654,8176
181655,8128
181656,8166
181657,8119
181657,8168
181658,8177
181659,8136
181660,8178
181661,8111
181661,8178
181662,8139
181662,8179
181663,8111
181663,8177
181664,8115
181664,8135
181665,8177
181666,8112
181666,8126
181667,8180
181668,8118
181669,8139
181669,8176
181670,8146
181670,8181
181671,8138
181671,8153
181672,8131
181672,8150
181673,8114
181674,8121
181674,8122
181675,8182
181676,8179
181677,8168
181678,8183
181679,8108
181679,8117
181680,8148
181680,8184
181681,8167
181682,8185
181683,8106
181684,8112
181684,8126
181685,8140
181686,8126
181686,8145
181687,8124
181688,8186
181689,8186
181690,8115
181690,8140
181691,8150
181692,8173
181692,8175
181693,8114
181694,8112
181695,8121
181696,8149
181697,8141
181697,8180
181698,8172
181699,8141
181699,8187
181700,8140
181700,8143
181701,8106
181702,8150
181703,8107
181703,8108
181704,8135
181705,8164
181706,8170
181707,8188
181708,8189
181709,8179
181710,8190
181711,8183
181712,8121
181713,8134
181714,8172
181715,8171
181715,8181
181716,8188
181717,8164
181718,8171
181719,8138
181720,8191
181721,8192
181722,8192
181723,8113
181723,8188
181724,8137
181725,8122
181725,8137
181726,8137
181727,8112
181728,8115
181728,8129
181729,8176
181730,8139
181730,8150
181731,8162
181732,8149
181733,8122
181733,8140
181734,8134
181735,8159
181735,8173
181736,8157
181737,8147
181737,8148
181738,8107
181738,8129
181739,8170
181740,8145
181741,8118
181742,8117
181742,8150
181743,8111
181743,8152
181744,8125
181744,8144
181745,8136
181746,8165
181746,8193
181747,8142
181747,8153
181748,8187
181749,8115
181749,8118
181750,8129
181751,8118
181752,8173
181753,8187
181753,8194
181754,8118
181754,8144
181755,8111
181755,8145
181756,8111
181756,8145
181757,8193
181758,8150
181759,8168
181760,8126
181760,8129
181761,8118
181762,8111
181762,8178
181763,8175
181763,8193
181764,8134
181765,8139
181765,8176
181766,8184
181767,8186
181767,8194
181768,8142
181769,8113
181769,8195
181770,8157
181771,8118
181772,8157
181772,8163
181773,8157
181774,8157
181775,8181
181775,8195
181776,8120
181776,8126
181777,8157
181778,8124
181779,8115
181779,8129
181780,8152
181780,8165
181781,8168
181782,8148
181782,8155
181783,8152
181783,8165
181784,8128
181784,8148
181785,8122
181785,8137
181786,8163
181786,8171
181787,8113
181787,8196
181788,8168
181789,8150
181790,8141
181790,8142
181791,8197
181792,8141
181792,8198
181793,8119
181793,8150
181794,8139
181794,8166
181795,8150
181796,8185
181797,8150
181798,8171
181799,8190
181800,8193
181800,8199
181801,8173
181802,8117
181802,8198
181803,8111
181803,8124
181804,8111
181804,8180
181805,8142
181805,8153
181806,8185
181807,8129
181808,8132
