sponsor_id,name
8107,"Howard Stephenson"
8109,"Lyle Hillyard"
8111,"Curtis Bramble"
8112,"Brad Dee"
8114,"Curtis Oda"
8116,"Larry Wiley"
8117,"Karen Mayne"
8119,"Margaret Dayton"
8121,"Kay McIff"
8122,"Ralph Okerlund"
8123,"James Dunnigan"
8126,"Wayne Niederhauser"
8127,"Gene Davis"
8129,"Paul Ray"
8131,"Jerry Stevenson"
8132,"Peter Knudson"
8138,"Melvin Brown"
8139,"Kevin Van Tassell"
8140,"Mike Noel"
8141,"Steve Urquhart"
8142,"Rebecca Lockhart"
8143,"Mark Madsen"
8145,"Ronda Menlove"
8148,"Stuart Adams"
8149,"Eric Hutchings"
8150,"Wayne Harper"
8151,"Ryan Wilcox"
8153,"John Valentine"
8155,"Roger Barrus"
8156,"Keith Grover"
8157,"Gage Froerer"
8158,"Janice Fisher"
8161,"Jim Bird"
8163,"Allen Christensen"
8165,"David Hinkins"
8166,"Jack Draxler"
8167,"Lynn Hemingway"
8169,"Marie Poulson"
8171,"Rebecca Chavez-houck"
8172,"Brian King"
8173,"Carol Moss"
8175,"Patricia Jones"
8176,"Kraig Powell"
8178,"Jen Seelig"
8179,"John Mathis"
8181,"Scott Jenkins"
8182,"Gregory Hughes"
8183,"Tim Cosgrove"
8184,"R. Curt Webb"
8186,"Evan Vickers"
8187,"Bradley Last"
8188,"Rebecca Edwards"
8196,"Don Ipson"
8198,"Johnny Anderson"
8200,"Richard Greenwood"
8203,"Francis Gibson"
8207,"Mark Wheatley"
8209,"Luz Escamilla"
11713,"Daniel Thatcher"
11714,"Jeremy Peterson"
11715,"Douglas Sagers"
11716,"Brad Wilson"
11718,"Stephen Handy"
11719,"Patrice Arent"
11721,"Derek Brown"
11765,"Stuart Reid"
11842,"Ken Ivory"
11843,"Lavar Christensen"
11882,"Lee Perry"
11900,"Val Peterson"
12070,"Joel Briscoe"
12087,"Jim Nielson"
12088,"Steve Eliason"
12089,"Dixon Pitcher"
12726,"Dean Sanpei"
13079,"Aaron Osmond"
13764,"Stewart Barlow"
13816,"Todd Weiler"
13830,"Daniel McCay"
13832,"V. Lowry Snow"
14053,"Edward Redd"
14054,"Deidre Henderson"
14564,"Angela Romero"
14565,"Craig Hall"
14566,"Michael Kennedy"
14567,"John Westwood"
14992,"Brian Greene"
15280,"Marc Roberts"
15450,"Jacob Anderegg"
15451,"Jerry Anderson"
15452,"Kay Christofferson"
15453,"Spencer Cox"
15454,"Rich Cunningham"
15455,"John Knotwell"
15456,"Dana Layton"
15457,"David Lifferth"
15458,"Mike McKell"
15459,"Merrill Nelson"
15460,"Jon Stanard"
15461,"Keven Stratton"
15462,"Earl Tanner"
15463,"Jim Dabakis"
15464,"Brian Shiozawa"
