roll_call_id,sponsor_id,vote
314328,8112,1
314328,8114,1
314328,8116,1
314328,8121,1
314328,8123,1
314328,8129,1
314328,8138,1
314328,8140,1
314328,8142,1
314328,8145,1
314328,8149,1
314328,8151,1
314328,8155,1
314328,8156,4
314328,8157,1
314328,8158,1
314328,8161,1
314328,8166,1
314328,8167,1
314328,8169,1
314328,8171,1
314328,8172,1
314328,8173,1
314328,8176,1
314328,8178,1
314328,8179,1
314328,8182,1
314328,8183,1
314328,8184,1
314328,8187,1
314328,8188,1
314328,8196,1
314328,8198,1
314328,8200,1
314328,8203,1
314328,8205,1
314328,8207,1
314328,11714,1
314328,11715,1
314328,11716,4
314328,11718,1
314328,11719,1
314328,11842,1
314328,11843,1
314328,11882,1
314328,11900,1
314328,12070,1
314328,12087,1
314328,12088,1
314328,12089,1
314328,12726,1
314328,13764,1
314328,13830,1
314328,13832,1
314328,14053,1
314328,14564,1
314328,14565,1
314328,14566,1
314328,14567,1
314328,14992,1
314328,15280,1
314328,15450,1
314328,15451,1
314328,15452,1
314328,15454,1
314328,15455,1
314328,15456,1
314328,15457,4
314328,15458,1
314328,15459,1
314328,15460,1
314328,15461,1
314328,15462,1
314328,16178,1
314328,16180,1
316919,8122,4
316919,8132,4
316919,8163,1
316919,8165,1
316919,8181,1
316919,8186,1
316919,15463,1
319957,8107,1
319957,8109,4
319957,8111,1
319957,8117,4
319957,8119,1
319957,8122,1
319957,8126,1
319957,8127,1
319957,8131,1
319957,8132,1
319957,8139,1
319957,8141,4
319957,8143,4
319957,8148,4
319957,8150,1
319957,8153,4
319957,8163,1
319957,8165,1
319957,8175,1
319957,8181,1
319957,8186,1
319957,8209,1
319957,11713,1
319957,11765,1
319957,13079,1
319957,13816,1
319957,14054,1
319957,15463,1
319957,15464,1
320900,8107,1
320900,8109,1
320900,8111,1
320900,8117,1
320900,8119,1
320900,8122,1
320900,8126,1
320900,8127,4
320900,8131,1
320900,8132,1
320900,8139,1
320900,8141,1
320900,8143,4
320900,8148,1
320900,8150,1
320900,8153,1
320900,8163,1
320900,8165,1
320900,8175,1
320900,8181,4
320900,8186,1
320900,8209,1
320900,11713,1
320900,11765,4
320900,13079,1
320900,13816,4
320900,14054,1
320900,15463,1
320900,15464,1
313886,8112,1
313886,8114,1
313886,8116,1
313886,8121,1
313886,8123,1
313886,8129,1
313886,8138,1
313886,8140,1
313886,8142,4
313886,8145,1
313886,8149,1
313886,8151,1
313886,8155,1
313886,8156,4
313886,8157,1
313886,8158,1
313886,8161,1
313886,8166,1
313886,8167,1
313886,8169,1
313886,8171,1
313886,8172,1
313886,8173,1
313886,8176,1
313886,8178,1
313886,8179,1
313886,8182,4
313886,8183,1
313886,8184,1
313886,8187,4
313886,8188,1
313886,8196,1
313886,8198,1
313886,8200,1
313886,8203,4
313886,8205,1
313886,8207,1
313886,11714,1
313886,11715,2
313886,11716,1
313886,11718,1
313886,11719,1
313886,11842,4
313886,11843,1
313886,11882,1
313886,11900,1
313886,12070,1
313886,12087,4
313886,12088,1
313886,12089,1
313886,12726,1
313886,13764,1
313886,13830,1
313886,13832,1
313886,14053,1
313886,14564,1
313886,14565,1
313886,14566,1
313886,14567,1
313886,14992,1
313886,15280,1
313886,15450,1
313886,15451,1
313886,15452,1
313886,15454,1
313886,15455,1
313886,15456,1
313886,15457,1
313886,15458,1
313886,15459,1
313886,15460,1
313886,15461,1
313886,15462,1
313886,16178,1
313886,16180,1
315412,8117,4
315412,8122,4
315412,8131,4
315412,8132,1
315412,8175,1
315412,11765,1
315412,13079,1
316191,8107,1
316191,8109,4
316191,8111,1
316191,8117,1
316191,8119,1
316191,8122,1
316191,8126,1
316191,8127,1
316191,8131,1
316191,8132,1
316191,8139,1
316191,8141,1
316191,8143,1
316191,8148,1
316191,8150,1
316191,8153,4
316191,8163,1
316191,8165,1
316191,8175,4
316191,8181,1
316191,8186,1
316191,8209,1
316191,11713,1
316191,11765,1
316191,13079,1
316191,13816,1
316191,14054,1
316191,15463,1
316191,15464,1
316893,8107,1
316893,8109,1
