bill_id,roll_call_id,date,description,yea,nay,nv
664473,419299,2015-01-29,"House Comm - Favorable Recommendation",7,0,0
664473,419300,2015-02-06,"House/ passed 3rd reading",71,0,0
664473,419301,2015-02-13,"Senate Comm - Favorable Recommendation",6,0,0
664473,419302,2015-02-18,"Senate/ passed 2nd reading",26,0,0
664473,419303,2015-02-19,"Senate/ passed 3rd reading",28,0,0
664474,420715,2015-01-28,"Senate/ passed 2nd reading",25,1,0
664474,420716,2015-01-29,"Senate/ passed 3rd reading",26,0,0
664474,420717,2015-02-05,"House Comm - Favorable Recommendation",10,0,0
664474,420718,2015-02-11,"House/ passed 3rd reading",73,0,0
664476,420818,2015-01-27,"House Comm - Favorable Recommendation",9,0,0
664476,420819,2015-01-30,"House/ passed 3rd reading",71,0,0
664476,420820,2015-02-06,"Senate Comm - Favorable Recommendation",5,0,0
664476,420821,2015-02-12,"Senate/ passed 3rd reading",28,0,0
664477,418964,2015-01-30,"House Comm - Favorable Recommendation",8,0,0
664477,418965,2015-02-04,"House/ passed 3rd reading",71,0,0
664477,418966,2015-02-17,"Senate Comm - Favorable Recommendation",3,0,0
664477,418967,2015-02-19,"Senate/ passed 2nd reading",27,0,0
664477,418968,2015-02-20,"Senate/ passed 3rd reading",28,0,0
664477,418969,2015-02-23,"House/ concurs with Senate amendment",70,0,0
664478,420788,2015-01-30,"House/ passed 3rd reading",68,3,0
664478,420789,2015-03-06,"Senate Comm - Favorable Recommendation",4,0,0
664480,419756,2015-01-28,"Senate/ passed 2nd reading",28,0,0
664480,419757,2015-01-29,"Senate/ passed 3rd reading",27,0,0
664480,419758,2015-02-03,"House Comm - Favorable Recommendation",10,0,0
664480,419759,2015-02-05,"House/ passed 3rd reading",70,0,0
664481,420930,2015-02-11,"Senate Comm - Motion to Recommend Failed",3,3,0
664482,421711,2015-01-30,"Senate/ passed 2nd reading",26,0,0
664482,421712,2015-02-02,"Senate/ passed 3rd reading",25,0,0
664482,421713,2015-02-09,"House Comm - Favorable Recommendation",9,0,0
664482,421714,2015-02-11,"House/ passed 3rd reading",52,18,0
664484,421734,2015-01-29,"House Comm - Favorable Recommendation",11,0,0
664484,421735,2015-02-13,"House/ passed 3rd reading",47,22,0
664484,421736,2015-02-20,"Senate Comm - Held",4,0,0
664484,421737,2015-03-02,"Senate Comm - Held",4,0,0
664484,421738,2015-03-05,"Senate Comm - Favorable Recommendation",4,0,0
664484,421739,2015-03-10,"Senate/ passed 2nd reading",20,7,0
664485,420518,2015-01-27,"House/ passed 3rd reading",52,20,0
664485,420519,2015-02-02,"Senate Comm - Favorable Recommendation",5,0,0
664485,420520,2015-02-04,"Senate/ passed 2nd reading",23,0,0
664485,420521,2015-02-05,"Senate/ passed 3rd reading",19,5,0
664487,419531,2015-01-30,"House Comm - Favorable Recommendation",8,0,0
664487,419532,2015-02-09,"House/ passed 3rd reading",70,2,0
664487,419535,2015-02-18,"Senate Comm - Favorable Recommendation",5,0,0
664487,419536,2015-02-19,"Senate/ passed 2nd reading",25,0,0
664487,419538,2015-02-23,"Senate/ passed 3rd reading",26,0,0
664487,419540,2015-02-24,"House/ concurs with Senate amendment",70,0,0
664488,419479,2015-02-13,"Senate Comm - Favorable Recommendation",6,0,0
664488,419480,2015-02-27,"Senate/ passed 2nd reading",19,3,0
664488,419481,2015-03-02,"Senate/ passed 3rd reading",23,4,0
664488,419482,2015-03-05,"House Comm - Favorable Recommendation",11,0,0
664488,419483,2015-03-11,"House/ passed 3rd reading",66,3,0
664488,419484,2015-03-12,"Senate/ concurs with House amendment",24,4,0
664489,421852,2015-03-09,"House Comm - Favorable Recommendation",10,0,0
664489,421853,2015-03-09,"House/ passed 3rd reading",68,5,0
664489,421854,2015-03-12,"Senate/ passed 2nd & 3rd readings/ suspension",24,4,0
664491,421252,2015-02-25,"Senate Comm - Held",2,1,0
664492,419944,2015-01-26,"House/ passed 3rd reading",69,2,0
664492,419945,2015-01-30,"Senate Comm - Favorable Recommendation",5,0,0
664492,419946,2015-02-04,"Senate/ passed 2nd reading",24,0,0
664492,419947,2015-02-05,"Senate/ passed 3rd reading",26,0,0
664493,419587,2015-01-28,"Senate Comm - Favorable Recommendation",4,0,0
664493,419588,2015-02-17,"Senate/ passed 2nd reading",26,0,0
664493,419592,2015-02-18,"Senate/ passed 3rd reading",27,0,0
664493,419597,2015-02-25,"House Comm - Favorable Recommendation",10,0,0
664493,419598,2015-02-26,"House/ passed 3rd reading",66,0,0
664495,421520,2015-01-27,"House Comm - Favorable Recommendation",10,0,0
664495,421521,2015-02-02,"House/ passed 3rd reading",72,0,0
664495,421522,2015-02-18,"Senate Comm - Favorable Recommendation",4,0,0
664495,421523,2015-02-19,"Senate/ passed 2nd reading",26,0,0
664495,421524,2015-02-20,"Senate/ passed 3rd reading",25,1,0
664496,420389,2015-01-29,"Senate Comm - Favorable Recommendation",5,0,0
664496,420390,2015-02-04,"Senate/ passed 3rd reading",22,0,0
664496,420391,2015-02-11,"House Comm - Favorable Recommendation",8,0,0
664496,420392,2015-02-18,"House/ passed 3rd reading",72,0,0
664497,420598,2015-02-03,"House Comm - Favorable Recommendation",9,0,0
664497,420599,2015-02-06,"House/ passed 3rd reading",71,0,0
664497,420600,2015-02-13,"Senate Comm - Favorable Recommendation",5,0,0
664497,420601,2015-02-18,"Senate/ passed 2nd reading",27,0,0
664497,420602,2015-02-19,"Senate/ passed 3rd reading",25,0,0
664499,419567,2015-01-27,"House Comm - Favorable Recommendation",10,0,0
664499,419568,2015-02-02,"House/ passed 3rd reading",73,0,0
664499,419569,2015-02-25,"Senate Comm - Favorable Recommendation",5,0,0
664499,419570,2015-03-04,"Senate/ passed 2nd reading",26,0,0
664499,419571,2015-03-05,"Senate/ passed 3rd reading",23,0,0
664499,419572,2015-03-06,"House/ concurs with Senate amendment",67,0,0
664502,419650,2015-01-26,"Senate/ passed 2nd reading",29,0,0
664502,419651,2015-01-27,"Senate/ passed 3rd reading",26,0,0
664502,419652,2015-02-13,"House Comm - Favorable Recommendation",7,0,0
664502,419653,2015-02-18,"House/ passed 3rd reading",70,0,0
664503,419966,2015-02-02,"Senate/ passed 2nd reading",26,0,0
664503,419967,2015-02-03,"Senate/ passed 3rd reading",24,0,0
664503,419968,2015-02-05,"House Comm - Favorable Recommendation",11,0,0
664503,419969,2015-02-11,"House/ passed 3rd reading",72,0,0
664504,420505,2015-01-26,"Senate/ passed 2nd reading",29,0,0
664504,420506,2015-01-27,"Senate/ passed 3rd reading",28,0,0
664504,420507,2015-02-25,"House Comm - Favorable Recommendation",13,0,0
664504,420508,2015-02-27,"House/ passed 3rd reading",69,0,0
664506,420634,2015-02-04,"House Comm - Favorable Recommendation",9,1,0
664506,420635,2015-02-13,"House/ passed 3rd reading",55,17,0
664506,420636,2015-02-19,"Senate Comm - Favorable Recommendation",4,2,0
664506,420637,2015-02-25,"Senate/ passed 2nd reading",20,4,0
664506,420638,2015-03-12,"Senate/ passed 3rd reading",20,4,0
664507,419374,2015-01-26,"Senate/ passed 2nd reading",26,0,0
664507,419375,2015-01-28,"Senate/ passed 3rd reading",29,0,0
664507,419376,2015-02-02,"House Comm - Favorable Recommendation",10,0,0
664507,419377,2015-02-04,"House/ passed 3rd reading",73,0,0
664508,421715,2015-01-26,"House/ passed 3rd reading",70,1,0
664508,421716,2015-02-03,"Senate Comm - Favorable Recommendation",5,1,0
664508,421717,2015-02-05,"Senate/ passed 2nd reading",24,1,0
664508,421718,2015-02-06,"Senate/ passed 3rd reading",28,0,0
664510,420099,2015-01-30,"Senate/ passed 2nd reading",28,0,0
664510,420100,2015-02-02,"Senate/ passed 3rd reading",27,0,0
664510,420101,2015-02-05,"House Comm - Favorable Recommendation",7,0,0
664510,420102,2015-02-09,"House/ passed 3rd reading",75,0,0
664511,421232,2015-02-04,"House Comm - Favorable Recommendation",10,0,0
664511,421233,2015-02-09,"House/ passed 3rd reading",73,0,0
664511,421234,2015-02-12,"Senate Comm - Favorable Recommendation",5,0,0
664511,421235,2015-02-19,"Senate/ passed 3rd reading",24,0,0
664512,419630,2015-02-10,"House Comm - Favorable Recommendation",11,0,0
