bill_id,date,action
883613,2016-07-12,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
883613,2016-07-12,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
883613,2016-07-12,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
883613,2016-07-13,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
883613,2016-07-13,"LFA/ fiscal note publicly available in Legislative Research and General Counsel"
883613,2016-07-13,"Senate/ received bill from Legislative Printing in Waiting for Introduction in the Senate"
883613,2016-07-13,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
883613,2016-07-13,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
883613,2016-07-13,"Senate/ 2nd & 3rd readings/ suspension in Senate 2nd Reading Calendar"
883613,2016-07-13,"Senate/ floor amendment # 1 in Senate 2nd Reading Calendar"
883613,2016-07-13,"Senate/ passed 2nd & 3rd readings/ suspension in Clerk of the House"
883613,2016-07-13,"Senate/ to House in Clerk of the House"
883613,2016-07-13,"House/ received from Senate in Clerk of the House"
883613,2016-07-13,"House/ 1st reading (Introduced) in House Rules Committee"
883613,2016-07-13,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for Senate bills"
883613,2016-07-13,"House/ 2nd reading in House 3rd Reading Calendar for Senate bills"
883613,2016-07-13,"House/ 3rd reading in House 3rd Reading Calendar for Senate bills"
883613,2016-07-13,"House/ passed 3rd reading in House Speaker"
883613,2016-07-13,"House/ signed by Speaker/ returned to Senate in Senate President"
883613,2016-07-13,"House/ to Senate in Senate President"
883613,2016-07-13,"Senate/ received from House in Senate President"
883613,2016-07-13,"Senate/ signed by President/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
883613,2016-07-13,"Senate/ enrolled bill to Printing in Senate Secretary"
883613,2016-07-13,"Bill Received from Senate for Enrolling in Legislative Research and General Counsel / Enrolling"
883613,2016-07-14,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
883613,2016-07-14,"Enrolled Bill Returned to House or Senate in Senate Secretary"
883613,2016-07-14,"Senate/ enrolled bill to Printing in Senate Secretary"
883613,2016-07-14,"Senate/ to Governor in Executive Branch - Governor"
883613,2016-07-17,"Governor Signed in Lieutenant Governor's office for filing"
883614,2016-07-12,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
883614,2016-07-12,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
883614,2016-07-12,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
883614,2016-07-13,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
883614,2016-07-13,"LFA/ fiscal note publicly available in Legislative Research and General Counsel"
883614,2016-07-13,"House/ received bill from Legislative Research in Clerk of the House"
883614,2016-07-13,"House/ received fiscal note from Fiscal Analyst in Clerk of the House"
883614,2016-07-13,"House/ 1st reading (Introduced) in House Rules Committee"
883614,2016-07-13,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for House bills"
883614,2016-07-13,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
883614,2016-07-13,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
883614,2016-07-13,"House/ floor amendment in House 3rd Reading Calendar for House bills"
