bill_id,date,action
800905,2015-12-09,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
800905,2015-12-16,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
800905,2016-01-13,"House/ received bill from Legislative Printing in Clerk of the House"
800905,2016-01-25,"House/ 1st reading (Introduced) in House Rules Committee"
800905,2016-01-25,"House/ to standing committee in House Government Operations Committee"
800905,2016-01-26,"House Comm - Substitute Recommendation in House Government Operations Committee"
800905,2016-01-26,"House Comm - Held in House Government Operations Committee"
800905,2016-01-26,"Bill Substituted by Standing Committee in House Government Operations Committee"
800905,2016-02-10,"House Comm - Not Considered in House Government Operations Committee"
800905,2016-02-16,"House Comm - Substitute Recommendation in House Government Operations Committee"
800905,2016-02-16,"House Comm - Favorable Recommendation in House Government Operations Committee"
800905,2016-02-16,"Bill Substituted by Standing Committee in House Government Operations Committee"
800905,2016-02-16,"House/ comm rpt/ substituted in House Government Operations Committee"
800905,2016-02-16,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
800905,2016-02-24,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
800905,2016-02-24,"House/ circled in House 3rd Reading Calendar for House bills"
800905,2016-02-24,"House/ uncircled in House 3rd Reading Calendar for House bills"
800905,2016-02-24,"House/ floor amendment # 1 in House 3rd Reading Calendar for House bills"
800905,2016-02-24,"House/ circled in House 3rd Reading Calendar for House bills"
800905,2016-02-29,"LFA/ bill sent to agencies for fiscal input in House 3rd Reading Calendar for House bills"
800905,2016-03-02,"House/ to Printing with fiscal note in House 3rd Reading Calendar for House bills"
800905,2016-03-03,"House/ uncircled in House 3rd Reading Calendar for House bills"
800905,2016-03-03,"House/ substituted from # 3 to # 4 in House 3rd Reading Calendar for House bills"
800905,2016-03-03,"House/ passed 3rd reading in Senate Secretary"
800905,2016-03-03,"House/ to Senate in Senate Secretary"
800905,2016-03-04,"Senate/ received from House in Waiting for Introduction in the Senate"
800905,2016-03-04,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
800905,2016-03-04,"Senate/ to standing committee in Senate Government Operations and Political Subdivisions Committee"
800905,2016-03-07,"Senate Comm - Favorable Recommendation in Senate Government Operations and Political Subdivisions Committee"
800905,2016-03-07,"Senate/ committee report favorable in Senate Government Operations and Political Subdivisions Committee"
800905,2016-03-07,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
800905,2016-03-08,"Senate/ 2nd Reading Calendar to Rules in Senate Rules Committee"
800905,2016-03-09,"Senate/ Rules to 2nd Reading Calendar in Senate 2nd Reading Calendar"
800905,2016-03-10,"Senate/ 2nd & 3rd readings/ suspension in Senate 2nd Reading Calendar"
800905,2016-03-10,"Senate/ passed 2nd & 3rd readings/ suspension in Senate President"
800905,2016-03-10,"Senate/ signed by President/ returned to House in House Speaker"
800905,2016-03-10,"Senate/ to House in House Speaker"
800905,2016-03-10,"House/ received from Senate in House Speaker"
800905,2016-03-10,"House/ signed by Speaker/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
800905,2016-03-10,"Bill Received from House for Enrolling in Legislative Research and General Counsel / Enrolling"
800905,2016-03-15,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
800905,2016-03-16,"Enrolled Bill Returned to House or Senate in Clerk of the House"
800905,2016-03-16,"House/ enrolled bill to Printing in Clerk of the House"
800905,2016-03-17,"House/ to Governor in Executive Branch - Governor"
800905,2016-03-29,"Governor Signed in Lieutenant Governor's office for filing"
800906,2015-12-11,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
800906,2015-12-16,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
800906,2015-12-16,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
800906,2016-01-05,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
800906,2016-01-13,"House/ received bill from Legislative Research in Clerk of the House"
800906,2016-01-25,"LFA/ fiscal note publicly available in Clerk of the House"
800906,2016-01-25,"House/ received fiscal note from Fiscal Analyst in Clerk of the House"
800906,2016-01-25,"House/ 1st reading (Introduced) in House Rules Committee"
800906,2016-01-28,"House/ to standing committee in House Revenue and Taxation Committee"
800906,2016-02-16,"House Comm - Held in House Revenue and Taxation Committee"
800906,2016-02-17,"House Comm - Not Considered in House Revenue and Taxation Committee"
800906,2016-03-08,"House Comm - Returned to Rules in House Revenue and Taxation Committee"
800906,2016-03-09,"House/ comm rpt/ sent to Rules in House Rules Committee"
800906,2016-03-09,"House/ 2nd reading in House Rules Committee"
800906,2016-03-10,"House/ strike enacting clause in Clerk of the House"
800906,2016-03-10,"House/ filed in House file for bills not passed"
800907,2015-12-11,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
800907,2015-12-16,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
800907,2015-12-16,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
800907,2016-01-05,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
800907,2016-01-06,"LFA/ fiscal note publicly available in Legislative Research and General Counsel"
800907,2016-01-08,"Senate/ received bill from Legislative Printing in Waiting for Introduction in the Senate"
800907,2016-01-25,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
800907,2016-01-25,"Senate/ to standing committee in Senate Retirement and Independent Entities Committee"
800907,2016-02-09,"Senate Comm - Favorable Recommendation in Senate Retirement and Independent Entities Committee"
800907,2016-02-10,"Senate/ committee report favorable in Senate Retirement and Independent Entities Committee"
800907,2016-02-10,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
800907,2016-02-23,"Senate/ 2nd reading in Senate 2nd Reading Calendar"
800907,2016-02-23,"Senate/ circled in Senate 2nd Reading Calendar"
800907,2016-03-07,"Senate/ uncircled in Senate 2nd Reading Calendar"
800907,2016-03-07,"Senate/ floor amendment # 1 in Senate 2nd Reading Calendar"
800907,2016-03-07,"Senate/ failed in Senate Secretary"
800907,2016-03-07,"Senate/ filed in Senate Secretary"
800907,2016-03-10,"Senate/ strike enacting clause in Senate Secretary"
800907,2016-03-10,"Senate/ filed in Senate file for bills not passed"
800908,2015-12-16,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
800908,2015-12-16,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
800908,2015-12-16,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
800908,2016-01-08,"Senate/ received bill from Legislative Research in Waiting for Introduction in the Senate"
800908,2016-01-13,"LFA/ fiscal note sent to sponsor in Waiting for Introduction in the Senate"
800908,2016-01-25,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
800908,2016-01-25,"Senate/ Rules to 2nd Reading Calendar in Senate 2nd Reading Calendar"
800908,2016-01-26,"LFA/ fiscal note publicly available in Senate 2nd Reading Calendar"
800908,2016-01-26,"Senate/ received fiscal note from Fiscal Analyst in Senate 2nd Reading Calendar"
800908,2016-01-28,"Senate/ 2nd reading in Senate 2nd Reading Calendar"
800908,2016-01-28,"Senate/ passed 2nd reading in Senate 3rd Reading Calendar"
800908,2016-01-29,"Senate/ 3rd reading in Senate 3rd Reading Calendar"
800908,2016-01-29,"Senate/ passed 3rd reading in Clerk of the House"
800908,2016-01-29,"Senate/ to House in Clerk of the House"
800908,2016-01-29,"House/ received from Senate in Clerk of the House"
800908,2016-02-01,"House/ 1st reading (Introduced) in House Rules Committee"
800908,2016-02-02,"House/ to standing committee in House Business and Labor Committee"
800908,2016-02-03,"House Comm - Favorable Recommendation in House Business and Labor Committee"
800908,2016-02-04,"House/ committee report favorable in House Business and Labor Committee"
800908,2016-02-04,"House/ 2nd reading in House 3rd Reading Calendar for Senate bills"
800908,2016-02-04,"House/ return to Rules due to fiscal impact in House Rules Committee"
800908,2016-03-10,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ 3rd reading in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ circled in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ uncircled in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ floor amendment # 1 in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ passed 3rd reading in Senate Secretary"
800908,2016-03-10,"House/ held in Clerk of the House"
800908,2016-03-10,"House/ motion to reconsider in Clerk of the House"
800908,2016-03-10,"House/ floor amendment # 2 in House 3rd Reading Calendar for Senate bills"
800908,2016-03-10,"House/ passed 3rd reading in Senate Secretary"
800908,2016-03-10,"House/ to Senate in Senate Secretary"
800908,2016-03-10,"Senate/ received from House in Senate Secretary"
800908,2016-03-10,"Senate/ placed on Concurrence Calendar in Senate Concurrence Calendar"
800908,2016-03-10,"Senate/ concurs with House amendment in House Speaker"
800908,2016-03-10,"Senate/ to House in House Speaker"
800908,2016-03-10,"House/ received from Senate in House Speaker"
800908,2016-03-10,"House/ signed by Speaker/ returned to Senate in Senate President"
800908,2016-03-10,"House/ to Senate in Senate President"
800908,2016-03-11,"Senate/ received from House in Senate President"
800908,2016-03-11,"Senate/ signed by President/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
800908,2016-03-15,"Bill Received from Senate for Enrolling in Legislative Research and General Counsel / Enrolling"
800908,2016-03-16,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
800908,2016-03-17,"Enrolled Bill Returned to House or Senate in Senate Secretary"
800908,2016-03-17,"Senate/ enrolled bill to Printing in Senate Secretary"
800908,2016-03-17,"Senate/ received enrolled bill from Printing in Senate Secretary"
800908,2016-03-17,"Senate/ to Governor in Executive Branch - Governor"
800908,2016-03-25,"Governor Signed in Lieutenant Governor's office for filing"
800909,2015-12-11,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
800909,2015-12-16,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
800909,2016-01-08,"Senate/ received bill from Legislative Research in Waiting for Introduction in the Senate"
800909,2016-01-25,"Senate/ received fiscal note from Fiscal Analyst in Waiting for Introduction in the Senate"
