bill_number,bill_id,title
HB5001,640229,"Budget Bill."
HB5002,640230,"Budget Bill."
HB5003,640311,"Budget Bill."
HB5004,652484,"Budget Bill."
HB5005,653571,"Judgeships; authorization to fill certain judgeships and appropriation of funds to pay."
HB5006,656980,"Judges; limitation on election and appointment of judges."
HB5007,656885,"Judges; authorization to fill certain judgeships and appropriation of funds to pay."
HB5008,656910,"Virginia Health Care Independence Act; established, report."
HB5009,656927,"Interstate Health Care Compact; established."
HB5010,656936,"Budget Bill."
HB5011,659870,"Health benefit plans; renewal of nonconforming policies."
HR501,640244,"Commending Cass Creech."
HR502,640303,"House of Delegates; limits legislation coming before 2014 Special Session I & schedule for business."
HR503,640331,"House of Delegates; salaries, contingent and incidental expenses."
HR504,640750,"Celebrating the life of Grace Hall Eddleton."
HR505,640874,"Commending the I.C. Norcom High School boys' basketball team."
HR506,642803,"Commending Dr. Mark R. Jones."
HR507,643545,"Commending Boy Scouts of America Troop 840."
HR508,643624,"Commending Eddie Payne."
HR509,643857,"Commending the Korean Community Service Center of Greater Washington."
HR510,644086,"Commending the Saltville Elementary School archery team."
HR511,644098,"Commending James J. Riley, Jr."
HR512,644261,"Commending the Dan River High School boys' basketball team."
HR513,644249,"Commending Rebecca L. Bolton."
HR514,644271,"Celebrating the life of Frank T. Grogan, Jr."
HR515,644333,"Celebrating the life of Athalia Perthenia Turner Cherry Robinson."
HR516,644363,"House of Delegates; limits legislation coming before 2014 Special Session I, etc."
HR517,644478,"Commending Donna Henderson."
HR518,644435,"Commending Annette Carter."
HR519,644458,"Celebrating the life of James Elmo Shires, Jr."
HR520,644494,"Commending Bailee Elizabeth Masters."
HR521,645670,"Celebrating the life of Thomas Joseph Russo."
HR522,645761,"Commending the Kiwanis Club of Norfolk."
HR523,645900,"Celebrating the life of Matthew Anthony Legg, Jr."
HR524,647527,"Celebrating the life of Connor Sean Scanlan."
HR525,647515,"Commending R. David Ross."
HR526,648190,"Commending Robert Lawrence Presgrave."
HR527,650543,"Commending the Freedom High School band program."
HR528,650541,"Commending the Northern Virginia Bengali Association."
HR529,650544,"Hearings by House Courts of Justice Committee; report."
HR530,650545,"Hearings by House Committee on Privileges and Elections; report."
HR531,652137,"Commending Shane Wolford."
HR532,652319,"Celebrating the life of Robert Nakamoto."
HR533,652437,"Commending the Rotary Club of Herndon."
HR534,652502,"House Committee on Rules; intervention of House of Delegates in Bostic v. Rainey."
HR535,652477,"Commending Tyler Jackson Whitley."
HR536,652499,"Commending Austin N. Dixon."
HR537,652508,"Commending Charles Edward Smith, Jr."
HR538,652493,"Celebrating the life of Phyllis Eason Galanti."
HR539,652472,"Commending the Division of Capitol Police."
HR540,652536,"Celebrating the life of Thomas Tyler Potterfield."
HR541,652522,"Speaker of the House; authorization to employ legal counsel to represent the House of Delegates."
HR542,652689,"Celebrating the life of James Shelton Scales."
HR543,652944,"Commending Max Rodgers."
HR544,653260,"Commending Pepsi-Cola Bottling Company, Incorporated, of Norton."
HR545,653353,"Commending the Virginia High School baseball team."
HR546,653548,"Commending Woodbridge Senior High School."
HR547,656878,"Commending the Loudoun Valley High School baseball team."
HR548,656976,"Commending the Woodgrove High School softball team."
HR549,656928,"Commending the Woodgrove High School girls' lacrosse team."
HR550,656965,"Commending the Loudoun Valley High School debate team."
HR551,656967,"Celebrating the life of Renee Saunders Parr."
HR552,656992,"Commending Arthur A. Johnson."
HR553,656907,"Celebrating the life of Kafayatullah Rahmani."
HR554,656834,"Commending Jackson River Technical Center."
HR555,656962,"Commending the Virginian Review."
HR556,656994,"Commending the Galax High School boys' soccer team."
HR557,656964,"Commending the Sterling Volunteer Rescue Squad."
HR558,656864,"Celebrating the life of Peter Murray Johns."
HR559,656870,"Commending Claude Patton Worrell."
HR560,656896,"Commending C. Melissa Jonas."
HR561,656978,"Commending Connie Haines Hutchinson."
HR562,656873,"Commending Charlie D. Waddell."
HR563,656926,"Commending the Herndon Fortnightly Club."
HR564,656852,"Commending Major General Daniel E. Long, Jr."
HR565,656854,"Celebrating the life of Gregory Mark Hembree."
HR566,656860,"Speaker of the House; legal counsel."
HR567,656901,"Commending the American Legion Post 74 baseball team."
HR568,656944,"Commending the Greater Washington Telugu Cultural Sangam."
HR569,656886,"Commending Le Cercle Charmant."
HR570,656889,"Commending Dan Stimson."
HR571,656876,"Commending the Church of Jesus Christ of Latter-Day Saints Tall Cedars Ward."
HR572,656900,"Commending William J. Kilberg."
HR573,657002,"Commending Checkered Flag Motor Car Corporation."
HR574,657025,"Celebrating the life of Alfonso Joseph Strazzullo."
HR575,657036,"Commending McLean Youth Athletics, Inc."
HR576,657052,"Judges; nominations for election to circuit court."
HR577,657050,"Judges; nominations for election to general district court."
HR578,657056,"Judges; nominations for election to juvenile and domestic relations district court."
HR579,657012,"Commending the Old Brogue."
HR580,659533,"Commending Swan Island Club."
HR581,659913,"Judges; nominations for election to circuit court."
HR582,659917,"Judges; nominations for election to general district court."
HR583,659915,"Judges; nominations for election to juvenile and domestic relations district court."
HJR5001,640272,"Celebrating the life of Isiah Garfield Hopkins, Sr."
HJR5002,640237,"Commending New Mount Zion Baptist Church."
HJR5003,640287,"General Assembly; limits legislation coming before 2014 Special Session I & schedule for business."
HJR5004,640286,"Celebrating the life of Elizabeth Goode Gary."
HJR5005,640280,"Celebrating the life of Jack W. Peoples, Sr."
HJR5006,640275,"Commending Daniel F. Drummond."
