bill_id,date,action
640229,2014-03-19,"Prefiled and ordered printed; offered 03/24/14 14200006D"
640229,2014-03-19,"Referred to Committee on Appropriations"
640229,2014-03-24,"Reported from Appropriations (21-Y 0-N)"
640229,2014-03-24,"Read first time"
640229,2014-03-24,"Constitutional readings dispensed (94-Y 0-N)"
640229,2014-03-24,"VOTE: AGREE TO MOTION (94-Y 0-N)"
640229,2014-03-24,"Engrossed by House"
640229,2014-03-24,"Passed House (82-Y 13-N)"
640229,2014-03-24,"VOTE: PASSAGE (82-Y 13-N)"
640229,2014-03-24,"Constitutional reading dispensed"
640229,2014-03-24,"Referred to Committee on Finance"
640229,2014-03-24,"Reported from Finance (16-Y 0-N)"
640229,2014-03-24,"Read second time"
640229,2014-03-24,"Constitutional reading dispensed (36-Y 0-N)"
640229,2014-03-24,"Passed Senate (32-Y 3-N)"
640229,2014-03-24,Enrolled
640229,2014-03-24,"Bill text as passed House and Senate (HB5001ER)"
640229,2014-03-24,"Signed by Speaker"
640229,2014-03-24,"Signed by President"
640229,2014-04-01,"Governor: Approved by Governor-Chapter 1 (effective 4/1/14)"
640229,2014-04-01,"Governor: Acts of Assembly Chapter text (CHAP0001)"
640230,2014-03-21,"Prefiled and ordered printed; offered 03/24/14 14200007D"
640230,2014-03-21,"Referred to Committee on Appropriations"
640230,2014-03-24,"Reported from Appropriations with amendments (16-Y 5-N)"
640230,2014-03-24,"Read first time"
640230,2014-03-24,"Budget amendments available"
640230,2014-03-24,"Motion for Special and Continuing Order (95-Y 0-N)"
640230,2014-03-24,"VOTE: AGREE TO MOTION (95-Y 0-N)"
640230,2014-03-25,"Floor substitute printed 14200081D-H1 (Dance)"
640230,2014-03-25,"Read second time"
640230,2014-03-25,"Pending question ordered"
640230,2014-03-25,"Substitute by Delegate Dance 14200081D-H1 rejected (30-Y 69-N)"
640230,2014-03-25,"VOTE: REJECTED (30-Y 69-N)"
640230,2014-03-25,"Contested committee amendment Item 301#12h agreed to (93-Y 3-N 1-A)"
640230,2014-03-25,"VOTE: ADOPTION (93-Y 3-N 1-A)"
640230,2014-03-25,"Contested committee amendment Item 427#1h agreed to (63-Y 35-N)"
640230,2014-03-25,"VOTE: ADOPTION (63-Y 35-N)"
640230,2014-03-25,"Substitute by Delegate Dance 14200081D-H1 reconsidered"
640230,2014-03-25,"Substitute by Delegate Dance 14200081D-H1 rejected (31-Y 68-N)"
640230,2014-03-25,"VOTE: REJECTED #2 (31-Y 68-N)"
640230,2014-03-25,"Contested committee amendment Item 4-5.04#1h agreed to (67-Y 32-N)"
640230,2014-03-25,"VOTE: ADOPTION (67-Y 32-N)"
640230,2014-03-25,"Contested committee amendment Item 4-5.04#2h # agreed to (68-Y 31-N)"
640230,2014-03-25,"VOTE: ADOPTION (68-Y 31-N)"
640230,2014-03-25,"Contested committee amendment Item 4-5.04#3h agreed to (63-Y 35-N)"
640230,2014-03-25,"VOTE: ADOPTION (63-Y 35-N)"
640230,2014-03-25,"Uncontested committee amendments agreed to (74-Y 25-N)"
640230,2014-03-25,"VOTE: ADOPTION (74-Y 25-N)"
640230,2014-03-25,"Amendment by Delegate Marshall, R.G. to Item 301#19h agreed to (68-Y 31-N)"
640230,2014-03-25,"VOTE: ADOPTION (68-Y 31-N)"
640230,2014-03-25,"Amendment by Delegate Marshall, R.G. to Item 4-5.03#1h agreed to (68-Y 31-N)"
640230,2014-03-25,"VOTE: ADOPTION (68-Y 31-N)"
640230,2014-03-25,"Contested committee amendment Item 4-5.04#3h reconsidered"
640230,2014-03-25,"Contested committee amendment Item 4-5.04#3h agreed to (65-Y 32-N)"
640230,2014-03-25,"VOTE: ADOPTION #2 (65-Y 32-N)"
640230,2014-03-25,"Engrossed by House as amended"
640230,2014-03-25,"Constitutional reading dispensed (99-Y 0-N)"
640230,2014-03-25,"VOTE: AGREE TO MOTION (99-Y 0-N)"
640230,2014-03-25,"Passed House (68-Y 31-N)"
640230,2014-03-25,"VOTE: PASSAGE (68-Y 31-N)"
640230,2014-03-27,"Constitutional reading dispensed"
640230,2014-03-27,"Referred to Committee on Finance"
640230,2014-06-12,"Reported from Finance with amendments (15-Y 1-N)"
640230,2014-06-12,"Read second time"
640230,2014-06-12,"Constitutional reading dispensed (39-Y 0-N)"
640230,2014-06-12,"Reading of amendments waived"
640230,2014-06-12,"Committee amendments agreed to"
640230,2014-06-12,"Budget floor amendments available"
640230,2014-06-12,"Reading of amendment waived"
640230,2014-06-12,"Amendment by Senator Black rejected (17-Y 22-N)"
640230,2014-06-12,"Reading of amendments waived"
640230,2014-06-12,"Pending question, not ordered (19-Y 20-N)"
640230,2014-06-12,"Amendments by Senator Stanley agreed to (20-Y 19-N)"
640230,2014-06-12,"Passed Senate with amendments (21-Y 18-N)"
640230,2014-06-12,"Placed on Calendar"
640230,2014-06-12,"Senate amendments agreed to by House (69-Y 31-N)"
640230,2014-06-12,"VOTE: ADOPTION (69-Y 31-N)"
640230,2014-06-15,Enrolled
640230,2014-06-15,"Bill text as passed House and Senate (HB5002ER)"
640230,2014-06-15,"Signed by Speaker"
640230,2014-06-15,"Signed by President"
640230,2014-06-21,"Bill received from Governor with line items vetoed"
640230,2014-06-21,"Governor: Governor vetoed line items: 25.10, 136.A.19, 301.TT.6 and part of 7.a, 301.TTT.9,"
640230,2014-06-21,"Governor: 468.G.1.c, 468.L, "
640230,2014-06-21,"Governor: View Governor's veto explanation"
640230,2014-06-23,"Placed on Calendar"
640230,2014-06-23,"Governor's veto overridden Item 25.10 (70-Y 27-N)"
640230,2014-06-23,"VOTE: OVERRIDE GOVERNOR'S ITEM VETO (70-Y 27-N)"
640230,2014-06-23,"House sustained Governor's veto Item 136.A.19"
640230,2014-06-23,"House sustained Governor's veto Item 301.TTT.6 and part of 7.a."
640230,2014-06-23,"Governor's veto of Item 301.TTT.9 ruled out of order"
640230,2014-06-23,"House sustained Governor's veto Item 468.G.1.c."
640230,2014-06-23,"Governor's veto of Item 468.L. ruled out of order"
640230,2014-06-23,"House sustained Governor's veto Item "
640230,2014-06-23,"House sustained Governor's veto Item "
640230,2014-06-23,"Senate sustained Governor's veto Item 25.10 (19-Y 18-N)"
640230,2014-06-23,"Enacted, Chapter 2 (effective 7/1/14)"
640230,2014-06-23,"Governor: Acts of Assembly Chapter text (CHAP0002) *view vetoes to Chap 2 (HB5002) pdf on Budget Page"
640237,2014-03-21,"Prefiled and laid on Speaker's table; offered 03/24/14 14200054D"
640237,2014-03-25,"Engrossed by House"
640237,2014-03-25,"Agreed to by House by voice vote"
640237,2014-03-27,Received
640237,2014-03-27,"Laid on Clerk's Desk"
640237,2014-04-07,"Introduced bill reprinted 14200054D"
640237,2014-04-08,"Agreed to by Senate by voice vote"
640237,2014-04-08,"Bill text as passed House and Senate (HJ5002ER)"
640244,2014-03-21,"Prefiled and laid on Speaker's table; offered 03/24/14 14200027D"
640244,2014-03-25,"Engrossed by House"
640244,2014-03-25,"Agreed to by House by voice vote"
640244,2014-03-25,"Bill text as passed House (HR501ER)"
640259,2014-03-24,"Prefiled and ordered printed; offered 03/24/14 14200076D"
640259,2014-03-24,"Referred to Committee on Rules"
640259,2014-03-24,"Rules suspended (37-Y 0-N)"
640259,2014-03-24,"Readings waived"
640259,2014-03-24,"Discharged from Rules"
640259,2014-03-24,"Taken up for immediate consideration"
640259,2014-03-24,"Engrossed by Senate"
640259,2014-03-24,"Agreed to by Senate (37-Y 0-N)"
640259,2014-03-24,"Bill text as passed Senate (SR501ER)"
640262,2014-03-24,"Prefiled and ordered printed; offered 01/14/15"
640262,2014-03-24,"Referred to Committee on Finance"
640262,2014-04-07,"Reported from Finance with amendments (11-Y 3-N)"
640262,2014-04-08,"Budget amendments available"
640262,2014-04-08,"Constitutional reading dispensed (37-Y 0-N)"
640262,2014-04-08,"Uncontested committee amendments agreed to"
640262,2014-04-08,"Contested committee amendment agreed to (P.17 Item 70#1s)"
640262,2014-04-08,"Contested committee amendment agreed to (P.28 Item 101#6s)"
640262,2014-04-08,"Contested committee amendment agreed to (P.31 Item 119#1s)"
640262,2014-04-08,"Contested committee amendment agreed to (P.125 Item 301#2s)"
640262,2014-04-08,"Contested committee amendment agreed to (P.146 Item 301#25s)"
640262,2014-04-08,"Contested committee amendment rejected (P.209 Item C-11#1s)"
640262,2014-04-08,"Contested committee amendment agreed to (P.232 Item 4-14#1s) (22-Y 15-N)"
640262,2014-04-08,"Constitutional reading dispensed (37-Y 0-N)"
640262,2014-04-08,"Read third time and passed Senate (23-Y 14-N)"
640262,2014-04-08,"Reconsideration of passage agreed to by Senate (37-Y 0-N)"
640262,2014-04-08,"Read third time and passed Senate (22-Y 15-N)"
640262,2014-04-08,"Placed on Calendar"
640262,2014-04-08,"Read first time"
640262,2014-04-08,"Referred to Committee on Appropriations"
640272,2014-03-21,"Prefiled and laid on Speaker's table; offered 03/24/14 14200026D"
640272,2014-03-25,"Engrossed by House"
640272,2014-03-25,"Agreed to by House"
640272,2014-03-27,Received
640272,2014-03-27,"Laid on Clerk's Desk"
640272,2014-04-07,"Introduced bill reprinted 14200026D"
640272,2014-04-08,"Agreed to by Senate"
640272,2014-04-08,"Bill text as passed House and Senate (HJ5001ER)"
640275,2014-03-24,"Presented and laid on Speaker's table 14200060D"
640275,2014-03-25,"Engrossed by House"
640275,2014-03-25,"Agreed to by House by voice vote"
640275,2014-03-27,Received
640275,2014-03-27,"Laid on Clerk's Desk"
640275,2014-04-07,"Introduced bill reprinted 14200060D"
640275,2014-04-08,"Agreed to by Senate by voice vote"
640275,2014-04-08,"Bill text as passed House and Senate (HJ5006ER)"
640276,2014-03-24,"Presented and laid on Speaker's table 14200066D"
640276,2014-03-25,"Engrossed by House"
640276,2014-03-25,"Agreed to by House"
640276,2014-03-27,Received
640276,2014-03-27,"Laid on Clerk's Desk"
640276,2014-04-07,"Introduced bill reprinted 14200066D"
640276,2014-04-08,"Agreed to by Senate"
640276,2014-04-08,"Bill text as passed House and Senate (HJ5008ER)"
640280,2014-03-24,"Presented and laid on Speaker's table"
640280,2014-03-25,"Engrossed by House"
640280,2014-03-25,"Agreed to by House"
640280,2014-03-27,Received
640280,2014-03-27,"Laid on Clerk's Desk"
640280,2014-04-08,"Agreed to by Senate"
640280,2014-04-08,"Bill text as passed House and Senate (HJ5005ER)"
640284,2014-03-24,"Presented and laid on Speaker's table 14200064D"
640284,2014-03-25,"Engrossed by House"
640284,2014-03-25,"Agreed to by House"
640284,2014-03-27,Received
640284,2014-03-27,"Laid on Clerk's Desk"
640284,2014-04-08,"Agreed to by Senate"
640284,2014-04-08,"Bill text as passed House and Senate (HJ5007ER)"
640286,2014-03-24,"Presented and laid on Speaker's table 14200005D"
640286,2014-03-25,"Engrossed by House"
640286,2014-03-25,"Agreed to by House"
640286,2014-03-27,Received
640286,2014-03-27,"Laid on Clerk's Desk"
640286,2014-04-07,"Introduced bill reprinted 14200005D"
640286,2014-04-08,"Agreed to by Senate"
640286,2014-04-08,"Bill text as passed House and Senate (HJ5004ER)"
640287,2014-03-24,"Prefiled and ordered printed; offered 03/24/14 14200041D"
640287,2014-03-24,"Taken up"
640287,2014-03-24,"Amendment by Delegate Toscano rejected"
640287,2014-03-24,"Amendment by Delegate Toscano rejected"
640287,2014-03-24,"Engrossed by House"
640287,2014-03-24,"Agreed to by House (66-Y 29-N)"
