bill_number,bill_id,title
HB1,654929,"Criminal Injuries Compensation Fund; emergency award to claimant shall not exceed $3000, etc."
HB53,654984,"Medicine and other healing arts; unprofessional conduct, purchase of prescription drugs."
HB57,654944,"Retail Sales and Use Tax; exemption includes gold, silver, and platinum bullion."
HB60,654884,"Enterprise Zone Grant Program; designation of noncontiguous areas."
HB74,654871,"Justice for Victims of Sterilization Act; established, creates Compensation Fund."
HB92,654847,"License plates, special; issuance for members and supporters of Law Enforcement United (LEU)."
HB125,654826,"Virginia's World War II Heritage Alliance Route; VDOT to indicate by placing markers, etc."
HB148,655024,"Motor vehicle sales and use tax; reduces sale price by value of any trade-in."
HB150,654817,"Jail authorities; sovereign immunity."
HB162,654840,"Appeals to Supreme Court of Va. and Court of Appeals of Va; filing of an appendix by CD-ROM."
HB179,655049,"Asbestos, Lead, & Home Inspectors, Board for; examination, asbestos worker license applicants."
HB216,654812,"Virginia Alcoholic Beverage Control Authority; created."
HB253,655011,"Alternative onsite sewage systems; licensure of installers."
HB267,654940,"License plates, special; issuance for members and supporters of Law Enforcement United."
HB289,655001,"Virginia Public Procurement Act; cooperative procurement."
HB314,654990,"Income tax, state; insurance premiums."
HB324,654973,"Virginia Virtual School; established, report, effective date."
HB329,654963,"Crohn's disease, colitis, and irritable bowel syndrome; identification cards and information."
HB338,654849,"Health benefit exchange; plan management functions."
HB344,654843,"Harassment by computer; impersonating another, penalty."
HB350,655031,"Enterprise zones; expands criteria for designation."
HB367,655050,"Community Action Act; duties of Secretary of Commerce and Trade."
HB368,655004,"Eye care coverage; requirement for carrier practices."
HB370,654837,"Commercial credit reporting; establishes procedure enterprise may request access to report."
HB371,654945,"License tax, local; tax on net income of businesses."
HB381,654937,"Income tax, state; tax credit for principal paid on business loans."
HB388,654946,"Charter schools; funding."
HB404,654912,"Investigation of cases involving alleged sexual abuse of a child; qualifications of investigator."
HB434,654859,"Machinery and tools, merchants' capital, and BPOL taxes; maximum rates established."
HB448,655017,"Firearms; restoration of rights, report to State Police."
HB453,655036,"Income tax, corporate; exemption, filing."
HB461,655028,"Coalbed methane gas; release of funds held in escrow or suspense."
HB475,655008,"Roadways; solicitation of contributions."
HB486,654818,"Human trafficking of children; reports and investigation."
HB506,654943,"Littering; penalty."
HB558,654947,"State recordation taxes and fees; makes substantive and technical changes."
HB578,654914,"Campaign finance; statewide and General Assembly candidates, personal use of campaign funds."
HB581,654866,"Fire services and emergency medical services; revises terminology and reorganizes provisions."
HB598,654994,"Writ of actual innocence; type of plea required for issuance."
HB605,654898,"Localities; funds dedicated for economic development for those with high unemployment rates."
HB627,654897,"Incapacitated persons; fraud or coercion in sales of products or services, penalty."
HB629,654913,"Motor vehicle insurance; underinsured coverage."
HB633,654916,"Local fiscal impact bills; first day introduction."
HB651,654885,"Statewide Fire Prevention Code; inspection of buildings, exception."
HB659,654908,"Community services boards and behavioral health authorities; information about services available."
HB665,654989,"Voter registration lists; interstate cross-checking programs."
HB671,654981,"Writ of actual innocence; petitions, bail hearings."
HB693,654967,"Paper ballot; chief officer of election may provide when conditions at precinct necessitate use."
HB694,655032,"Voter registration; early registration for persons 16 years of age or older."
HB707,655034,"Digital impersonation; penalty."
HB716,654880,"Trafficking in persons; penalties."
HB717,655026,"Income tax, state; deduction for mental health professionals volunteering at community services bds."
HB727,654822,"Campaign finance disclosure; out-of-state political committees."
HB729,654959,"Tax restructuring; modifies individual income and retail sales and use taxes."
HB732,654882,"Administration, Secretary of; transfer of powers and duties, etc."
HB736,654918,"Concealed handgun permits, lifetime; Department of State Police to issue, penalty."
HB738,654869,"Conservation easements; agreements to obtain land, consent required, inverse condemnation."
HB741,655038,"Antique motor vehicles; exempted from exhaust system requirements."
HB746,655033,"Conflict of Interest Acts, State and Local Gov't. and General Assembly; gifts, disclosures."
HB756,655023,"Nonconforming billboards; revises and updates statutory requirements pertaining to maintenance, etc."
HB775,654935,"Virginia Disaster Relief Fund; established."
HB779,654956,"Diabetes; DSS to develop a pilot program for self-care education for individuals and families."
HB780,654861,"Temporary Assistance for Needy Families (TANF) Program; distribution of benefits."
HB788,654998,"Virginia Freedom of Information Act; out-of-state requests for records."
HB825,654872,"General district court; days of operation."
HB839,654865,"Virginia Freedom of Information Act; applicability to Office of the Attorney General."
HB846,654993,"Virginia Stormwater Management Program; exemptions for certain localities."
HB847,654949,"Menhaden; commercial fishermen required to report any release, disposal, or dumping."
HB867,654932,"Prisoners; notification of tertiary care."
HB870,654839,"New infrastructure; tax credit for certain investment."
HB877,654917,"Hybrid retirement program; local deferred compensation and cash match plans."
HB881,654823,"Electric utility regulation; renewable energy portfolio standard program, etc."
HB889,654813,"Economics education & financial literacy; Bd. of Education to develop online course of instruction."
HB895,654899,"Medicine, Board of; changes membership requirements."
HB896,654986,"Income tax, state; tax credit for completion of public school renovation."
HB902,654902,"Virginia-recognized Indian Tribes; contracts with firms to perform building function on Reservation."
HB905,655046,"Vital Records, State Registrar of; disclosure of death index information."
HB908,654841,"Contract passenger carriers; eliminates certain requirements."
HB910,654941,"Renewable energy property; tax credits for placing into service."
HB917,654816,"Elections; programming optical scan tabulators for recount."
HB921,654922,"Urban county executive form of government; auditor, school board."
HB935,654936,"Unlawful dissemination or sale of images of another; civil action, penalty."
HB946,654979,"Workers' compensation; fee schedule for medical care services, prompt payment of bills."
HB951,654881,"Parole board; parole review, required release."
HB955,655043,"Administrative Process Act; exemption for certain regulations."
HB965,654923,"Governor's Child Safety Test; local school board to include as part of program of physical fitness."
HB974,654851,"Income tax, state and corporate; credit for food crop donations to a food bank."
HB981,654976,"Alcoholic beverage control; certain tobacco laws, enforcement by Department of State Police."
HB985,654921,"Juvenile Correctional Facility in Natural Bridge, former; property conveyance."
HB995,654957,"Income and sales and use taxes; expiration dates for various credits and exemptions."
HB1001,654807,"Electric utilities; on-bill financing programs for eligible energy efficiency measures."
HB1010,654926,"Emergency medical services providers; certification."
HB1029,655016,"Libel and slander; candidates for office."
HB1030,654857,"Campaign finance; persons required to file independent expenditures disclosure reports."
HB1046,654877,"Nurse practitioners, licensed; treatment of injured employee within scope of practice."
HB1047,654962,"Income tax, state; working family child care tax credit."
HB1050,654821,"Soil & water conservation district; exempts certain signs from regulation as outdoor structures."
HB1052,654980,"Method of execution; Director of DOC certifies that lethal injection isn't available, electrocution."
HB1059,655048,"Electric utility regulation; recovery of certain generation facility costs, etc."
HB1064,654969,"Hearing-impaired prisoners; Director of DOC to make available interpreters within facilities."
HB1073,654895,"Criminal history record information; unauthorized dissemination, etc., civil action."
HB1103,654934,"Drug analogs, prohibited; Board of Pharmacy may regulate, prohibition on sale, civil penalty."
HB1114,654852,"Student data; cloud computing."
HB1118,654876,"Firearms; criminal background check for transfer, exemption for holders of concealed permits."
HB1119,654810,"Compounding of drug products; notice."
HB1120,655000,"Warning lights on privately owned vehicles; requirements relating to emergency response vehicles."
HB1122,654879,"Service of process; social security numbers."
HB1126,654950,"Witnesses; protection of identity."
HB1131,654856,"Health care providers; regulation, prohibited acts, Class 4 misdemeanor."
HB1145,654995,"Firearms; restoration of rights, report to State Police."
HB1152,654867,"Alcoholic beverage control; suspension or revocation of mixed beverage licenses, penalty."
HB1153,655044,"Real property tax; assessments, appeal to court."
HB1159,654910,"Political contributions; prohibitions during procurement process."
HB1163,655022,"Trails; allocation of federal funds for establishment and maintenance."
HB1165,654811,"Small Business and Supplier Diversity, Department of; elimination of Department, etc."
HB1178,654927,"Trespass; physical interference with rights of owner, penalty."
HB1203,654890,"Localities; provision of grievance procedure."
HB1207,655045,"Virginia Birth-Related Neurological Injury Compensation Act; regulations."
HB1208,654835,"Virginia Public Procurement Act; consideration of early payment discounts."
HB1223,655005,"Virginia Public Procurement Act; small, women, and minority-owned businesses."
HB1227,654829,"Tobacco products; changes tax on premium cigars."
HB1228,654860,"Electric utility regulation; recovery of distribution system costs."
HB1234,654830,"Landfills; limitation on location."
HB1238,654825,"Virginia Public Procurement Act; disclosure of cost estimates in solicitations prohibited."
HB1243,654863,"Income tax, corporate; tax rate shall be five % beginning taxable years on or after Jan. 1, 2015."
HB1257,654915,"Virginia Sports Authority; created."
HB1259,654909,"Embryo adoptions; recognition, issuance of birth certificate."
HB1269,655025,"Government Data Collection & Dissemination Practices Act; collection & use of personal information."
HB1274,654985,"Electronic devices; search without a warrant prohibited."
HB1275,654924,"Veterans Care Center projects; funding of projects."
HB1276,654827,"Northern Virginia Veterans Care Center; funding of project."
HB1277,655027,"Industrial hemp; production and manufacturing."
HB1278,655405,"Unemployment compensation; employer responsibility for benefit charges."
HB1279,655438,"Motor vehicle sales and use tax; expands certain exemption."
HB1280,655662,"Elections; date of June primary elections."
HB1281,655982,"Kill switches for digital devices; definitions, civil penalty."
HB1282,655979,"Judges; limitation on election and appointment."
HB1283,656709,"Commission on Federal Oversight; report."
HB1284,656735,"Branchville, Town of; amending charter, elections, terms of office of council members."
HB1285,657408,"Workers' compensation; definition of employee; property owners' associations."
HB1286,657445,"Income tax, state; refund payments."
HB1287,657532,"Forfeiture of property used in connection with commission of crimes; conviction required."
HB1288,657846,"Same-sex marriages; civil unions."
HB1289,657869,"Same-sex marriages; civil unions."
HB1290,658089,"Home food operations; certain exemptions for products."
HB1291,658196,"Real property tax; notice of assessments."
HB1292,659035,"Electoral boards; appointments."
HB1293,659072,"Stormwater fees; exemptions for religious groups."
HB1294,659080,"Churches and other religious bodies."
HB1295,659078,"Egg tax; repeals certain tax on egg handlers."
HB1296,659100,"Elected offices; November or May general election."
HB1297,659127,"Machinery and tools tax; production of renewable energy."
HB1298,659130,"Noncommercial vessels; reasonable suspicion."
HB1299,659133,"Schools denied accreditation; memoranda of understanding."
HB1300,659144,"Elections; costs of primaries; reimbursement to localities."
HB1301,659141,"Electoral board members and general registrars; compensation and expenses."
HB1302,659154,"Standards of Learning tests; expedited retake."
HB1303,659152,"Local school boards; administration of Standards of Learning assessments."
HB1304,659149,"Virginia Public School Educational Technology Grants Program; leases of educational technology."
HB1305,659147,"General Assembly Conflicts of Interests Act; revolving door prohibition."
HB1306,659155,"Graduation requirements; naturalization test."
HB1307,659212,"Public elementary and secondary schools; student identification numbers."
