bill_id,roll_call_id,date,description,yea,nay,nv
654808,375928,2014-02-03,"Senate: Reading waived (40-Y 0-N)",40,0,0
654814,375929,2014-02-07,"Senate: Continued to 2015 in Rehabilitation and Social Services (11-Y 0-N)",11,0,0
654815,375930,2014-01-29,"Senate: Continued to 2015 in Finance (17-Y 0-N)",17,0,0
654816,375931,2014-01-30,"House: Subcommittee recommends reporting (7-Y 0-N)",7,0,0
654816,375932,2014-01-31,"House: Reported from Privileges and Elections (21-Y 0-N)",21,0,1
654816,375933,2014-02-05,"House: VOTE: BLOCK VOTE PASSAGE (95-Y 0-N)",97,0,4
654816,375934,2014-02-25,"Senate: Continued to 2015 in Privileges and Elections (10-Y 0-N)",10,0,0
654819,375935,2014-01-20,"Senate: Reported from Courts of Justice with substitute (15-Y 0-N)",15,0,0
654819,375936,2014-02-04,"Senate: Continued to 2015 in Finance (17-Y 0-N)",17,0,0
654820,375937,2014-01-20,"Senate: Continued to 2015 in Courts of Justice (13-Y 0-N)",13,0,0
654821,375938,2014-02-05,"House: Subcommittee recommends reporting (6-Y 1-N)",6,1,0
654822,375939,2014-01-22,"House: Subcommittee recommends reporting with amendment(s) (6-Y 1-N)",6,1,0
654822,375940,2014-01-24,"House: Reported from Privileges and Elections with amendments (16-Y 4-N)",16,4,2
654824,375941,2014-01-29,"Senate: Continued to 2015 in Finance (17-Y 0-N)",17,0,0
654827,384822,2015-01-21,"House: Subcommittee recommends reporting with amendment(s) (7-Y 0-N)",7,0,0
654827,385095,2015-01-21,"House: Reported from Appropriations with amendments (22-Y 0-N)",22,0,0
654827,386279,2015-01-27,"House: VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)",101,0,1
654827,393447,2015-02-11,"Senate: Reported from Finance with substitute (13-Y 0-N)",13,0,0
654827,394263,2015-02-12,"Senate: Constitutional reading dispensed (37-Y 0-N)",37,0,3
654827,395000,2015-02-13,"Senate: Passed Senate with substitute (36-Y 0-N)",36,0,4
654827,395869,2015-02-17,"House: VOTE: REJECTED (0-Y 99-N)",0,101,1
654827,397827,2015-02-19,"Senate: Senate insisted on substitute (37-Y 0-N)",37,0,3
654827,401026,2015-02-25,"Senate: Conference report agreed to by Senate (38-Y 0-N)",38,0,2
654827,401027,2015-02-25,"House: VOTE: ADOPTION (93-Y 0-N)",95,0,7
654827,432073,2015-04-15,"Senate: Senate concurred in Governor's recommendation (40-Y 0-N)",40,0,0
654827,433345,2015-04-15,"House: VOTE: ADOPTION (98-Y 0-N)",100,0,1
654831,375942,2014-01-14,"Senate: Continued to 2015 in Privileges and Elections (14-Y 0-N)",14,0,0
654832,375943,2014-01-14,"Senate: Continued to 2015 in Privileges and Elections (14-Y 0-N)",14,0,0
654834,375944,2014-01-21,"Senate: Reported from Privileges and Elections (14-Y 0-N)",14,0,0
654834,375945,2014-01-29,"Senate: Continued to 2015 in Finance (17-Y 0-N)",17,0,0
654836,375946,2014-01-29,"Senate: Continued to 2015 in Finance (17-Y 0-N)",17,0,0
