sponsor_id,name
2593,"Janet Ancel"
2599,"Clement Bissonnette"
2601,"William Botzow"
2602,"Carolyn Branagan"
2603,"Christopher Bray"
2604,"Patrick Brennan"
2605,"Cynthia Browning"
2606,"Mollie Burke"
2607,"William Canfield"
2608,"Margaret Cheney"
2610,"Alison Clarkson"
2612,"Jim Condon"
2613,"Chip Conquest"
2614,"Michel Consejo"
2615,"Sarah Copeland-Hanzas"
2616,"Timothy Corcoran"
2619,"Susan Davis"
2620,"David Deen"
2621,"Dennis Devereux"
2622,"Eileen Dickinson"
2623,"Andy Donaghy"
2624,"Anne Donahue"
2625,"Johannah Donovan"
2627,"Alice Emmons"
2628,"Debbie Evans"
2629,"Peter Fagan"
2630,"Michael Fisher"
2631,"William Frank"
2632,"Eldred French"
2633,"Patsy French"
2636,"Maxine Grad"
2637,"Adam Greshin"
2638,"Sandy Haas"
2639,"Helen Head"
2640,"Martha Heath"
2641,"Robert Helm"
2642,"Mark Higley"
2643,"Mary Hooper"
2647,"Ronald Hubert"
2648,"Tim Jerman"
2649,"Willem Jewett"
2650,"Mitzi Johnson"
2651,"William Johnson"
2652,"Kathleen Keenan"
2653,"Duncan Kilmartin"
2654,"Warren Kitzmiller"
2655,"Anthony Klein"
2656,"Thomas Koch"
2657,"Patti Komline"
2659,"Robert Krebs"
2660,"Diane Lanpher"
2661,"Leigh Larocque"
2663,"Richard Lawrence"
2664,"Joan Lenes"
2667,"William Lippert"
2669,"Terence Macaig"
2671,"John Malcolm"
2672,"Ann Manwaring"
2673,"Michael Marcotte"
2674,"Richard Marek"
2675,"Cynthia Martin"
2676,"Linda Martin"
2677,"James Masland"
2678,"McAllister, Norm"
2679,"Jim McCullough"
2681,"Francis McFaun"
2684,"Alice Miller"
2687,"Anne Mook"
2688,"John Moran"
2690,"Mary Morrissey"
2691,"Michael Mrowicki"
2692,"Linda Myers"
2694,"Betty Nuovo"
2695,"Anne O'Brien"
2700,"Carolyn Partridge"
2701,"Albert Pearce"
2704,"Peter Peltz"
2706,"Paul Poirier"
2707,"Dave Potter"
2708,"Ann Pugh"
2709,"Kesha Ram"
2711,"John Rodgers"
2712,"Brian Savage"
2713,"Heidi Scheuermann"
2715,"David Sharpe"
2716,"Charles Shaw"
2718,"Shap Smith"
2719,"Robert South"
2720,"Kristy Spengler"
2721,"Tom Stevens"
2722,"Will Stevens"
2723,"Donna Sweaney"
2724,"Tess Taylor"
2725,"George Till"
2726,"Kitty Toll"
2727,"Larry Townsend"
2728,"Don Turner"
2729,"Linda Waite-Simpson"
2730,"Kathryn Webb"
2733,"Jeff Wilson"
2734,"Philip Winters"
2735,"Suzi Wizowaty"
2736,"Kurt Wright"
2739,"David Zuckerman"
2740,"Tim Ashe"
2741,"Claire Ayer"
2744,"John Campbell"
2747,"Ann Cummings"
2748,"William Doyle"
2750,"Margaret Flory"
2752,"Robert Hartwell"
2754,"Jane Kitchel"
2756,"Virginia Lyons"
2757,"Mark MacDonald"
2758,"Richard Mazza"
2759,"Richard McCormack"
2761,"Kevin Mullin"
2762,"Alice Nitka"
2765,"Dick Sears"
2767,"Diane Snelling"
2768,"Robert Starr"
2769,"Jeanette White"
11238,"John Bartholomew"
11239,"Lynn Batchelor"
11240,"Bob Bouchard"
11241,"Tom Burditt"
11242,"Sarah Buxton"
11243,"Brian Campion"
11244,"Kevin Christie"
11245,"Leigh Dakin"
11248,"Herb Font-Russell"
11249,"Michael Hebert"
11250,"Michele Kupersmith"
11251,"Patti Lewis"
11253,"Christopher Pearson"
11254,"Paul Ralston"
11255,"Harvey Smith"
11256,"Vicki Strong"
11257,"Valerie Stuart"
11258,"Mike Yantachka"
11259,"Sam Young"
11260,"Philip Baruth"
11261,"Joe Benning"
11262,"Sally Fox"
11263,"Peter Galbraith"
11264,"Anthony Pollina"
11265,"Richard Westman"
12121,"Matthew Trieber"
12122,"Mark Woodward"
12195,"Rebecca Ellis"
13719,"Jean O'Sullivan"
13750,"Teo Zagar"
13903,"Jill Krowinski"
13974,"Corrections and Institutions"
13975,"Ways and Means"
13976,"Government Operations"
13977,"Commerce and Economic Development"
13978,Agriculture
13979,Institutions
13980,Education
13981,"Health Care"
13982,Appropriations
13983,"General, Housing and Military Affairs"
13984,"Economic Development, Housing and General Affairs"
13985,"Natural Resources and Energy"
13986,Judiciary
13987,Education
13988,Transportation
13990,"Fish, Wildlife and Water Resources"
13991,"Human Services"
13992,Judiciary
13993,"Health and Welfare"
13994,Transportation
13996,"Natural Resources and Energy"
15965,Finance
15966,"Agriculture and Forest Products"
15988,"Steve Beyor"
15989,"Stephen Carr"
15990,"Joanna Cole"
15991,"Daniel Connor"
15992,"George Cross"
15993,"Larry Cupoli"
15994,"Michelle Fay"
15995,"Martha Feltus"
15996,"Douglas Gage"
15997,"Anne Gallivan"
15998,"Charles Goodwin"
15999,"Mark Huntley"
16000,"Bernard Juskiewicz"
16001,"Mike McCarthy"
16002,"Curt McCormack"
16003,"Kristina Michelsen"
16004,"Connie Quimby"
16005,"Barbara Rachelson"
16007,"Thomas Terenzini"
16008,"Tristan Toleno"
16009,"Warren Van Wyck"
16010,"Sheila Vowinkel"
16011,"Cindy Weed"
16014,"Donald Collins"
16018,"Loren Shaw"
16019,"Maida Townsend"
16107,"Kathleen Hoyt"
16108,"Marjorie Ryerson"
16182,"John Mitchell"
16225,"Michael Sirotkin"
16244,"Tommy Walz"
