bill_id,date,action
277026,2011-01-11,Introduced
277026,2011-01-11,"Read and referred to committee on Senate Organization"
277026,2011-01-11,"Available for scheduling"
277026,2011-02-08,"Placed on calendar 2-10-2011 pursuant to Senate Rule 18(1)"
277026,2011-02-10,Adopted
277026,2011-02-10,"Entire membership of the Senate added as coauthors"
277026,2011-02-10,"Ordered immediately messaged"
277026,2011-02-11,"Received from Senate"
277026,2011-02-11,"Read first time and referred to committee on Rules"
277026,2011-03-01,"Placed on calendar 3-8-2011 by committee on Rules"
277026,2011-03-08,"Concurred in"
277026,2011-03-08,"Ordered immediately messaged"
277026,2011-03-08,"Received from Assembly concurred in"
277026,2011-03-10,"Report correctly enrolled on 3-10-2011"
277027,2011-01-14,Introduced
277027,2011-01-14,"Read first time and referred to committee on Jobs, Economy and Small Business"
277027,2011-02-01,"Fiscal estimate received"
277027,2011-02-03,"Fiscal estimate received"
277027,2012-03-23,"Failed to pass pursuant to Senate Joint Resolution 1"
277028,2011-01-21,Introduced
277028,2011-01-21,"Read first time and referred to committee on Labor, Public Safety, and Urban Affairs"
277028,2011-01-24,"Fiscal estimate received"
277028,2011-02-09,"Fiscal estimate received"
277028,2011-05-09,"Fiscal estimate received"
277028,2012-03-23,"Failed to pass pursuant to Senate Joint Resolution 1"
277029,2011-01-14,Introduced
277029,2011-01-14,"Read first time and referred to committee on Rural Economic Development and Rural Affairs"
277029,2011-02-03,"Fiscal estimate received"
277029,2011-02-09,"Public hearing held"
277029,2011-02-23,"Fiscal estimate received"
277029,2011-03-02,"Executive action taken"
277029,2011-03-02,"Assembly amendment 1 offered by committee on Rural Economic Development and Rural Affairs"
277029,2011-03-24,"Report Assembly Amendment 1 adoption recommended by committee on Rural Economic Development and Rural Affairs, Ayes 13, Noes 0"
277029,2011-03-24,"Report passage as amended recommended by committee on Rural Economic Development and Rural Affairs, Ayes 10, Noes 3"
277029,2011-03-24,"Referred to joint committee on Finance"
277029,2011-04-06,"Executive action taken"
277029,2011-04-06,"Assembly amendment 2 offered by joint committee on Finance"
277029,2011-04-06,"Assembly amendment 3 offered by joint committee on Finance"
277029,2011-04-06,"Report Assembly Amendment 1 adoption recommended by joint committee on Finance, Ayes 16, Noes 0"
277029,2011-04-06,"Report Assembly Amendment 2 adoption recommended by joint committee on Finance, Ayes 15, Noes 1"
277029,2011-04-06,"Report Assembly Amendment 3 adoption recommended by joint committee on Finance, Ayes 15, Noes 1"
277029,2011-04-06,"Report passage as amended, with emergency statement attached, pursuant to s. 16.47 (2), Wisconsin Statutes, recommended by joint committee on Finance"
277029,2011-04-06,"Referred to committee on Rules"
277029,2011-04-07,"Placed on calendar 4-12-2011 by committee on Rules"
277029,2011-04-12,"Read a second time"
277029,2011-04-12,"Assembly amendment 1 adopted, Ayes 93, Noes 0"
277029,2011-04-12,"Assembly amendment 2 adopted, Ayes 91, Noes 2"
277029,2011-04-12,"Assembly amendment 3 adopted, Ayes 93, Noes 0"
277029,2011-04-12,"Assembly amendment 4 offered by Representatives Bernard Schaber and Barca"
277029,2011-04-12,"Assembly amendment 4 laid on table, Ayes 58, Noes 35"
277029,2011-04-12,"Ordered to a third reading"
277029,2011-04-12,"Rules suspended"
277029,2011-04-12,"Read a third time and passed, Ayes 79, Noes 12, Paired 4"
277029,2011-04-12,"Ordered immediately messaged"
277029,2011-04-13,"Received from Assembly"
277029,2011-04-14,"Read first time and referred to committee on Senate Organization"
277029,2011-04-14,"Available for scheduling"
277029,2011-05-09,"Placed on calendar 5-10-2011 pursuant to Senate Rule 18(1)"
277029,2011-05-10,"Read a second time"
277029,2011-05-10,"Ordered to a third reading"
277029,2011-05-10,"Rules suspended"
277029,2011-05-10,"Read a third time and concurred in, Ayes 26, Noes 7"
277029,2011-05-10,"Ordered immediately messaged"
277029,2011-05-10,"Received from Senate concurred in"
277029,2011-05-16,"Report correctly enrolled"
277029,2011-06-09,"Presented to the Governor on 6-9-2011"
277029,2011-06-13,"Report approved by the Governor on 6-10-2011. 2011 Wisconsin Act 26"
277029,2011-06-15,"Published 6-24-2011"
277030,2011-02-11,Introduced
277030,2011-02-11,"Read first time and referred to committee on Insurance and Housing"
277030,2011-03-07,"Fiscal estimate received"
277030,2011-05-03,"Senator Hopper added as a coauthor"
277030,2011-05-04,"Public hearing held"
277030,2011-05-11,"Executive action taken"
