bill_id,roll_call_id,date,description,yea,nay,nv
277029,65565,2011-04-12,"Read a third time and passed",79,12,1
277029,65566,2011-04-12,"Assembly amendment 1 adopted",93,0,3
277029,65567,2011-04-12,"Assembly amendment 2 adopted",91,2,3
277029,65568,2011-04-12,"Assembly amendment 3 adopted",93,0,3
277029,65569,2011-04-12,"Assembly amendment 4 laid on table",58,35,3
277029,65570,2011-04-12,"Read a third time and passed",79,12,1
277029,79110,2011-05-10,"Read a third time and concurred in",26,7,0
277029,79111,2011-05-10,"Read a third time and concurred in",26,7,0
277030,80819,2011-05-17,"Read a third time and passed",32,0,1
277030,80820,2011-05-17,"Read a third time and passed",32,0,1
277032,94986,2011-06-21,"Refused to suspend rules to withdraw from committee on Homeland Security and State Affairs and take up",38,59,1
277032,94987,2011-06-21,"Refused to suspend rules to withdraw from committee on Homeland Security and State Affairs and take up",38,59,1
277036,94956,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",38,59,1
277036,94957,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",38,59,1
277036,105257,2011-10-25,"Assembly: Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",34,61,3
277038,53661,2011-03-03,"Concurred in",19,0,14
277038,53662,2011-03-03,"Concurred in",19,0,14
277039,54267,2011-02-22,Adopted,19,0,14
277039,54268,2011-02-22,Adopted,19,0,14
277040,52806,2011-02-08,"Read a third time and passed",25,7,1
277040,52807,2011-02-08,"Senate amendment 4 laid on table",23,9,1
277040,52808,2011-02-08,"Senate amendment 5 laid on table",20,12,1
277040,52809,2011-02-08,"Read a third time and passed",25,7,1
277040,79532,2011-02-08,"Refused to reject Senate amendment 1",11,21,1
277040,79533,2011-02-08,"Senate amendment 3 rejected",22,10,1
277040,79534,2011-02-08,"Senate amendment 6 laid on table",22,10,1
277041,52854,2011-02-23,"Read a third time and passed",19,0,14
277041,52855,2011-02-23,"Read a third time and passed",19,0,14
277041,80797,2011-05-17,"Refused to suspend rules to read a third time",58,36,4
277041,80798,2011-05-17,"Assembly substitute amendment 1 laid on table",58,36,4
277041,80799,2011-05-17,"Refused to suspend rules to read a third time",58,36,4
277041,90878,2011-06-08,"Read a third time and concurred in",61,36,1
277041,90879,2011-06-08,"Read a third time and concurred in",61,36,1
277042,52790,2011-02-23,Adopted,19,0,14
277042,52791,2011-02-23,Adopted,19,0,14
277045,52705,2011-01-03,Adopted,99,0,0
277045,52706,2011-01-03,Adopted,99,0,0
277046,93615,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",37,60,1
277046,93616,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",37,60,1
277046,105309,2011-11-03,"Assembly: Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",36,56,6
277049,67543,2011-04-14,"Refused to suspend rules to read a third time",58,37,1
277049,67544,2011-04-14,"Assembly amendment 5 laid on table",59,36,1
277049,67545,2011-04-14,"Assembly amendment 6 laid on table",59,36,1
277049,67546,2011-04-14,"Assembly amendment 7 laid on table",58,37,1
277049,67547,2011-04-14,"Assembly amendment 8 laid on table",59,36,1
277049,67548,2011-04-14,"Refused to suspend rules to read a third time",58,37,1
277054,54158,2011-03-09,"Read a third time and passed",18,0,15
277054,54159,2011-03-09,"Read a third time and passed",18,0,15
277054,67428,2011-04-14,"Refused to suspend rules to read a third time",57,38,1
277054,67429,2011-04-14,"Refused to suspend rules to read a third time",57,38,1
277062,94913,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",37,60,1
277062,94914,2011-06-21,"Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",37,60,1
277064,52802,2011-02-25,"Read a third time and passed",19,0,14
277064,52803,2011-02-25,"Read a third time and passed",19,0,14
277065,105190,2011-11-03,"Assembly: Refused to suspend rules to withdraw from committee on Jobs, Economy and Small Business and take up",36,56,6
277066,55046,2011-01-25,"Concurred in",83,11,2
277066,55047,2011-01-11,"Senate amendment 1 rejected",18,14,1
277066,55048,2011-01-25,"Assembly amendment 1 laid on table",57,37,2
277066,55049,2011-01-25,"Concurred in",83,11,2
277066,80556,2011-01-11,Adopted,32,0,1
277066,80557,2011-01-11,Adopted,32,0,1
277067,78835,2011-05-11,"Rules suspended to order immediately messaged",59,36,0
277067,78836,2011-05-11,"Refused to refer to committee on Election and Campaign Reform",37,57,1
277067,78837,2011-05-11,"Assembly substitute amendment 3 laid on table",57,37,1
277067,78838,2011-05-11,"Assembly amendment 3 to Assembly substitute amendment 2 laid on table",57,37,1
277067,78839,2011-05-11,"Assembly amendment 4 to Assembly substitute amendment 2 laid on table",57,37,1
277067,78840,2011-05-11,"Assembly amendment 5 to Assembly substitute amendment 2 laid on table",56,38,1
277067,78841,2011-05-11,"Assembly amendment 6 to Assembly substitute amendment 2 laid on table",58,36,1
277067,78842,2011-05-11,"Assembly amendment 7 to Assembly substitute amendment 2 laid on table",58,36,1
277067,78843,2011-05-11,"Assembly amendment 8 to Assembly substitute amendment 2 laid on table",57,37,1
277067,78844,2011-05-11,"Assembly amendment 9 to Assembly substitute amendment 2 laid on table",58,35,2
277067,78845,2011-05-11,"Assembly amendment 10 to Assembly substitute amendment 2 laid on table",57,37,1
277067,78846,2011-05-11,"Assembly amendment 11 to Assembly substitute amendment 2 laid on table",57,37,1
277067,78847,2011-05-11,"Assembly amendment 12 to Assembly substitute amendment 2 laid on table",58,36,1
277067,78848,2011-05-11,"Assembly amendment 13 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78849,2011-05-11,"Assembly amendment 14 to Assembly substitute amendment 2 laid on table",60,35,0
277067,78850,2011-05-11,"Assembly amendment 15 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78851,2011-05-11,"Assembly amendment 16 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78852,2011-05-11,"Assembly amendment 17 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78853,2011-05-11,"Assembly amendment 18 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78854,2011-05-11,"Assembly amendment 19 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78855,2011-05-11,"Assembly amendment 20 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78856,2011-05-11,"Assembly amendment 21 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78857,2011-05-11,"Assembly amendment 22 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78858,2011-05-11,"Assembly amendment 23 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78859,2011-05-11,"Assembly amendment 24 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78860,2011-05-11,"Assembly amendment 25 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78861,2011-05-11,"Assembly amendment 26 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78862,2011-05-11,"Assembly amendment 27 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78863,2011-05-11,"Assembly amendment 28 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78864,2011-05-11,"Assembly amendment 29 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78865,2011-05-11,"Assembly amendment 30 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78866,2011-05-11,"Assembly amendment 31 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78867,2011-05-11,"Assembly amendment 32 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78868,2011-05-11,"Assembly amendment 33 to Assembly substitute amendment 2 laid on table",57,38,0
277067,78869,2011-05-11,"Assembly amendment 34 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78870,2011-05-11,"Assembly amendment 35 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78871,2011-05-11,"Assembly amendment 36 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78872,2011-05-11,"Assembly amendment 37 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78873,2011-05-11,"Assembly amendment 38 to Assembly substitute amendment 2 laid on table",57,38,0
277067,78874,2011-05-11,"Assembly amendment 39 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78875,2011-05-11,"Assembly amendment 40 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78876,2011-05-11,"Assembly amendment 41 to Assembly substitute amendment 2 laid on table",57,38,0
277067,78877,2011-05-11,"Assembly amendment 42 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78878,2011-05-11,"Assembly amendment 43 to Assembly substitute amendment 2 laid on table",61,34,0
277067,78879,2011-05-11,"Assembly amendment 45 to Assembly substitute amendment 2 laid on table",59,36,0
277067,78880,2011-05-11,"Assembly amendment 46 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78881,2011-05-11,"Assembly amendment 47 to Assembly substitute amendment 2 laid on table",58,37,0
277067,78882,2011-05-11,"Assembly amendment 48 to Assembly substitute amendment 2 laid on table",61,34,0
277067,78883,2011-05-11,"Assembly amendment 49 to Assembly substitute amendment 2 laid on table",55,40,0
277067,78884,2011-05-11,"Assembly amendment 50 to Assembly substitute amendment 2 laid on table",59,36,0
