bill_id,date,action
569239,2013-10-14,Introduced
569239,2013-10-14,"Read first time and referred to Joint Committee on Finance"
569239,2013-10-14,"Senate Amendment 1 offered by Senator Petrowski"
569239,2013-10-15,"Public hearing held"
569239,2013-10-15,"Fiscal estimate received"
569239,2013-10-15,"Executive action taken"
569239,2013-10-15,"Report passage recommended by Joint Committee on Finance, Ayes 16, Noes 0"
569239,2013-10-15,"Available for scheduling"
569239,2013-10-15,"Senate Substitute Amendment 1 offered by Senators T. Cullen, Risser, Jauch, Lehman and Miller"
569239,2013-10-15,"Senate Amendment 2 offered by Senator Petrowski"
569239,2013-10-15,"Rules suspended to withdraw from committee on Senate Organization and take up"
569239,2013-10-15,"Read a second time"
569239,2013-10-15,"Senate Amendment 3 offered by Senator Carpenter"
569239,2013-10-15,"Senate Substitute Amendment 1 rejected, Ayes 19, Noes 14"
569239,2013-10-15,"Senate Amendment 2 adopted"
569239,2013-10-15,"Point of order that Senate amendment 3 not germane well taken"
569239,2013-10-15,"Decision of the Chair stands as the judgement of the Senate, Ayes 18, Noes 15"
569239,2013-10-15,"Ordered to a third reading"
569239,2013-10-15,"Rules suspended"
569239,2013-10-15,"Read a third time and passed, Ayes 28, Noes 5"
569239,2013-10-15,"Ordered immediately messaged"
569239,2013-10-15,"Received from Senate"
569239,2013-10-15,"Referred to calendar of 10-17-2013 pursuant to Assembly Rule 93"
569239,2013-10-17,"Read a second time"
569239,2013-10-17,"Assembly Substitute Amendment 1 offered by Representatives Smith, Genrich, Sargent, Ringhand, Hintz, Hebl, Wright, Kolste, Pasch, Hesselbein, Barca, Bernard Schaber, Hulsey, Kahl, Young, Shankland, Zamarripa, Sinicki, C. Taylor, Johnson, Ohnstad and Jorgensen"
569239,2013-10-17,"Point of order that Assembly Substitute Amendment 1 is not properly before the Assembly under Assembly Rule 93 (1) well taken"
569239,2013-10-17,"Decision of the Chair appealed"
569239,2013-10-17,"Decision of the Chair upheld, Ayes 57, Noes 38"
569239,2013-10-17,"Assembly Substitute Amendment 2 offered by Representative Hulsey"
569239,2013-10-17,"Assembly Substitute Amendment 2 laid on table, Ayes 63, Noes 32"
569239,2013-10-17,"Ordered to a third reading"
569239,2013-10-17,"Rules suspended"
569239,2013-10-17,"Read a third time and concurred in, Ayes 82, Noes 12"
569239,2013-10-17,"Ordered immediately messaged"
569239,2013-10-18,"Received from Assembly concurred in"
569239,2013-10-18,"Report correctly enrolled"
569239,2013-10-18,"Presented to the Governor on 10-18-2013"
569239,2013-10-21,"Report approved by the Governor on 10-20-2013. 2013 Wisconsin Act 46"
569239,2013-10-21,"Published 10-21-2013"
569240,2013-10-15,Introduced
569240,2013-10-15,"Read first time and referred to Joint Committee on Finance"
569240,2013-10-15,"Fiscal estimate received"
569240,2013-10-15,"Public hearing held"
569240,2013-10-15,"Executive action taken"
569240,2013-10-15,"Report passage recommended by Joint Committee on Finance, Ayes 16, Noes 0"
569240,2013-10-15,"Referred to calendar of 10-17-2013 pursuant to Assembly Rule 93"
569240,2013-10-17,"Representative Ohnstad added as a coauthor"
569240,2013-10-17,"Laid on the table"
569240,2013-11-12,"Failed to pass pursuant to Senate Joint Resolution 1"
569241,2013-10-14,Introduced
569241,2013-10-14,"Read first time and referred to Joint Committee on Finance"
569241,2013-10-15,"Public hearing held"
569241,2013-10-15,"LRB correction"
569241,2013-10-15,"Fiscal estimate received"
569241,2013-10-15,"Executive action taken"
569241,2013-10-15,"Report passage recommended by Joint Committee on Finance, Ayes 13, Noes 3"
569241,2013-10-15,"Available for scheduling"
569241,2013-10-17,"Senate Amendment 1 offered by Senator Gudex"
569241,2013-10-17,"Representative Ohnstad added as a cosponsor"
569241,2013-11-12,"Failed to pass pursuant to Senate Joint Resolution 1"
569242,2013-10-14,Introduced
569242,2013-10-14,"Read first time and referred to Joint Committee on Finance"
569242,2013-10-15,"Public hearing held"
569242,2013-10-15,"Fiscal estimate received"
569242,2013-10-15,"Executive action taken"
569242,2013-10-15,"Report passage recommended by Joint Committee on Finance, Ayes 16, Noes 0"
569242,2013-10-15,"Available for scheduling"
569242,2013-10-15,"Rules suspended to withdraw from committee on Senate Organization and take up"
569242,2013-10-15,"Read a second time"
