bill_number,bill_id,title
HB2001,789,"Relating to providing additional state minimum salary for certain teachers"
HB2002,790,"Creating the criminal offense of failing to supervise a child"
HB2003,791,"Increasing the multiplier for a retirement annuity in the public employees retirement system"
HB2004,792,"Regulating telemarketing for quasi-state agencies"
HB2006,793,"Income tax deduction for gifts to West Virginia charities"
HB2008,794,"Requiring abortion facilities to have certain written policies and procedures"
HB2009,795,"Income tax exemption for veterans who locate in West Virginia following separation from service"
HB2010,796,"Relating to variable premium adjustable life insurance policies"
HB2013,797,"Preventing a reduction in the annuity of a person who retires with disability retirement at age sixty-five"
HB2015,798,"Providing a one-time supplement to certain public employee retirement system annuitants"
HB2017,799,"Increasing benefits of retired state personnel and retired teachers"
HB2018,800,"Providing for the use of neck braces by football players"
HB2019,801,"Making the use of permanent replacements for striking workers an unfair labor practice in certain instances"
HB2020,802,"Requiring mine operators to provide notice of hazardous chemical substances and lead exposure to its employees"
HB2022,803,"Changing the time for periodic valuations and assessments of real and personal property"
HB2025,804,"Requiring that abortions be performed in hospitals or by physicians with admitting privileges to a hospital within the local service area"
HB2026,805,"Providing that identity theft is a felony if a person commits the crime with the intent to commit any other crime"
HB2028,806,"Increasing the required bond for certain businesses regulated by the Division of Motor Vehicles to fifty thousand dollars"
HB2032,807,"Relating to a tax exemption on certain sales of clothing"
HB2034,808,"Prohibiting the use of a credit score in casualty insurance rate filings"
HB2035,809,"Removing the ""within two years"" time restriction in which an application by a former police officer or firefighter, thirty-five years old or older, who previously resigned, may submit an application for reinstatement"
HB2036,810,"Establishing the crime of partial birth infanticide"
HB2037,811,"Requiring that abortion providers notify the parents of a minor seeking an abortion forty-eight hours before performing the procedure"
HB2038,812,"Providing a penalty for employers failing to withhold an employee's income for child support obligations"
HB2039,813,"Prohibiting mandatory arbitration clauses in consumer loan agreements by regulated consumer lenders in the state"
HB2040,814,"Relating to conditions of bond for defendants in cases of crimes between family or household members"
HB2041,815,"Requiring that certain records maintained by the clerk of the county commission to be preserved"
HB2043,816,"Prohibiting the exposure of any game that has been gutted or cleaned from the public's view when possible"
HB2044,817,"Designating urban mass transportation authorities as transportation coordinating bodies for their service areas"
HB2045,818,"Authorizing paid municipal fire departments to investigate suspicious or illegal fires"
HB2047,819,"Reducing the term of Public Service Commission members from six to three years"
HB2049,820,"Exempting public works projects receiving federal assistance and subject to federal labor standards from the state prevailing wage laws"
HB2050,821,"Authorizing county tax assessors to choose not to impose the property tax in a county on businesses for property that is business inventory intended for resale"
HB2052,822,"Providing that the term ""impersonation"" of a public official or employee includes the act of operating a motor vehicle which falsely displays an official emblem or other marking"
HB2053,823,"Creating the offense of sexual battery"
HB2054,824,"Increasing the multiplier for a retirement annuity in the public employees retirement system"
HB2057,825,"Reducing the corporation net income tax"
HB2058,826,"Reallocating the proceeds from limited video lottery by increasing the percentages payable to counties, municipalities and retailers"
HB2060,827,"Relating to deferral of court costs and fees when collecting delinquent emergency ambulance bills"
HB2061,828,"Permitting miners fined for noncompliance with mining statutes to pay the penalty or complete a training course in lieu thereof"
HB2062,829,"Establishing a program for reprogramming cellular telephones and distributing to seniors for making emergency calls"
HB2063,830,"Prohibiting individual county board of education members from acting on behalf of the board in an individual capacity unless authorized by law"
HB2066,831,"Lowering the threshold required for reporting certain information about individuals, firms, associations or committees contributing to a campaign"
HB2067,832,"Exempting from personal property taxation, the equipment, inventory and raw materials of crafts people who have had their work evaluated and accepted or juried and accepted by the West Virginia arts and crafts guild"
HB2068,833,"Transferring the office of emergency medical services from the department of health and human resources to the department of military affairs and public safety"
HB2069,834,"Requiring that permanent and temporary battery charging stations in mines be ventilated directly to the return on a separate split of air"
HB2071,835,"Establishing a mandatory drug and alcohol testing program for coal miners"
HB2072,836,"Requiring the department of health and human resources to enforce specific abortion clinic regulations"
HB2073,837,"Making available to retired participants in PEIA the optional dental, vision, and audiology and hearing-aid services insurance plans that are available to current participants"
HB2075,838,"Requiring a seller or a seller's agent at closing to disclose the names, addresses and telephone numbers of all utilities providing service to the real estate involved in the transaction"
HB2076,839,"Increasing the foundation allowances for professional educators to fifty-five and service personnel to thirty-seven for each one thousand students"
HB2077,840,"Increasing the amount of mine subsidence insurance reinsured by the board of risk management"
HB2080,841,"Authorizing lateral transfers for deputy sheriffs"
HB2081,842,"Requiring accumulation of certain historical instruction before high school graduation"
HB2083,843,"Relating to drilling  gas wells near active coal mines"
HB2084,844,"Requiring the State Board of Education to promulgate rule implementing a tornado safety awareness plan in public schools"
HB2086,845,"Requiring schools to post and make available to the public the schedules of teachers and staff"
HB2088,846,"Changing the compulsory school attendance for children in the state from sixteen to eighteen years of age"
HB2090,847,"Limiting the right of a jury trial in misdemeanor cases in certain circumstances"
HB2091,848,"Exempting nonprofit organizations from paying an annual motor vehicle registration fee"
HB2092,849,"Allowing pharmacists and other individuals involved in dispensing medicines to refuse to fill prescriptions or dispense any substance that can be used as part of an abortion-related procedure"
HB2093,850,"Allowing family court judges to carry concealed deadly weapons without obtaining a license"
HB2094,851,"Requiring color coded certificates of insurance to be placed on the windshield of the insured motor vehicle"
HB2095,852,"Defining the offense of trespassing on a railroad track"
HB2096,853,"Authorizing county commissions to enact ordinances prohibiting cats from running at large"
HB2097,854,"Providing teacher retirement eligibility, with full pension rights, when a member's age plus years of total service equals or exceeds eighty"
HB2100,855,"Prohibiting persons from soliciting contributions on public highways"
HB2101,856,"Reducing the federal adjusted gross income for motor fuel expenses incurred in commuting to and from one's occupation"
HB2103,857,"Directing one half of any budget surplus in a fiscal year equally to every West Virginia family or individual within two hundred percent of the poverty level"
HB2104,858,"Ensuring victims' rights to testify at sentencing in criminal cases"
HB2106,859,"Creating the West Virginia Transportation Oversight Commission"
HB2107,860,"Promoting contributions to the maintenance and improvement of state parks"
HB2108,861,"Making armed assault or conspiracy to commit armed assault upon school property or school personnel or students a felony"
HB2109,862,"Crediting a deceased teacher's sick leave toward continued insurance coverage for a surviving spouse and other dependents"
HB2111,863,"Changing compulsory school attendance until age eighteen or until the student graduates"
HB2112,864,"Prohibiting county farmland preservation boards from purchasing land without the permission of the county commission"
HB2113,865,"Changing the amount a person can earn while receiving unemployment benefits"
HB2114,866,"Providing that student residents of this state who commute to school in another state are eligible for the PROMISE scholarship program"
HB2121,867,"Allowing a state employer or other public employer to contribute to deferred compensation plans to match employee contributions"
HB2124,868,"Providing for a death penalty and procedures and standards applicable thereto"
HB2125,869,"Community volunteer enrichment programs in the public schools"
HB2127,870,"Exempting magistrates from the licensing requirements for carrying a concealed weapon"
HB2128,871,"Requiring county boards of education to establish the daily observance of a minute of silence in all county schools"
HB2129,872,"Banning partial birth abortions in instances when the unborn child is capable of survival if delivered"
