bill_id,sponsor_id
25630,100
25630,112
25631,103
25631,123
25631,802
25632,107
25632,108
25632,118
25632,126
25632,130
25632,131
25632,132
25632,133
25632,804
25632,805
25633,103
25633,106
25633,107
25633,108
25633,112
25633,118
25633,130
25633,131
25633,802
25634,126
25634,131
25634,802
25635,103
25635,112
25635,118
25635,804
25636,100
25636,107
25636,108
25636,119
25636,123
25636,126
25636,802
25637,112
25638,110
25638,119
25639,108
25639,131
25639,802
25640,108
25640,119
25640,123
25640,802
25641,131
25642,114
25642,119
25642,133
25643,123
25643,126
25643,131
25643,802
25644,107
25645,131
25645,802
25646,131
25646,802
25647,107
25647,131
25648,133
25649,107
25649,114
25649,118
25650,110
25651,104
25651,107
25651,126
25651,131
25652,103
25652,112
25652,114
25653,103
25654,107
25654,802
25655,103
25656,130
25657,103
25658,53
25659,1
25659,5
25660,98
25661,28
25662,31
25663,4
25663,66
25663,98
25664,17
25664,33
25664,43
25664,56
25665,19
25665,43
25665,50
25665,88
25666,78
25667,10
25667,25
25667,26
25667,58
25667,62
25667,89
25668,65
25668,81
25669,43
25669,44
25669,58
25670,27
25670,74
25671,4
25671,54
25671,76
25672,9
25672,79
25672,88
25672,93
25673,16
25674,27
25674,30
25674,33
25674,38
25674,47
25674,67
25674,79
25674,88
25674,93
25675,98
25676,43
25677,104
25678,103
25678,106
25679,100
25679,118
25680,112
25680,131
25681,107
25681,112
25681,133
25682,131
25683,115
25684,14
25684,107
25684,125
25684,133
25685,36
25686,22
25686,60
25687,4
25687,19
25687,46
25687,53
25687,69
25688,39
25688,96
25689,10
25689,58
25689,62
25690,37
25690,44
25690,57
25690,75
25691,27
25691,73
25691,74
25692,77
25693,43
25694,13
25694,56
25694,62
25694,69
25694,81
25694,90
25695,13
25695,56
25695,62
25695,69
25695,81
25695,90
25696,118
25697,13
25697,56
25697,62
25697,69
25697,81
25697,90
25698,108
25698,123
25698,126
25698,130
25698,802
25699,104
25699,110
25699,111
25699,123
25699,126
25699,131
25700,131
25701,104
25701,110
25701,111
25701,123
25701,126
25701,131
25702,112
25702,119
25702,125
25702,133
25703,123
25703,802
25704,110
25705,101
25705,106
25706,103
25706,114
25706,115
25706,130
25707,101
25707,106
25708,103
25708,114
25708,115
25708,130
25709,119
25710,108
25710,118
25711,104
25711,130
25712,119
25713,63
25713,112
25713,119
25713,121
25713,132
25713,806
25714,39
25715,90
25716,10
25717,11
25718,80
25719,19
25719,50
25719,54
25720,27
25720,73
25720,74
25721,12
25722,78
25723,78
25724,98
25725,55
25726,39
25727,22
25727,73
25727,86
