bill_id,roll_call_id,date,description,yea,nay,nv
415418,174277,2010-07-17,"Amendment rejected (Roll No. 490)",26,61,13
415418,174278,2010-07-17,"House rejected (Roll No. 491)",42,45,13
415418,174279,2010-07-17,"House reconsidered its action (Roll No. 492)",49,34,17
415418,174280,2010-07-17,"Passed House (Roll No. 493)",46,37,17
415418,174281,2010-07-17,"Effective date rejected (Roll No. 494)",51,34,15
415418,174282,2010-07-19,"House adopted conference report and passed bill (Roll No. 496)",83,7,10
415418,174283,2010-07-19,"Effective from passage (Roll No. 497)",85,5,10
415424,174286,2010-07-21,"Dispensed with Constitutional Rule (Roll No. 515)",83,1,16
415424,174287,2010-07-21,"Passed House (Roll No. 516)",83,1,16
415424,174288,2010-07-21,"Effective from passage (Roll No. 517)",83,1,16
415486,174307,2010-07-21,"Passed House (Roll No. 499)",85,0,15
415486,174308,2010-07-21,"Effective from passage (Roll No. 500)",85,0,15
415494,174312,2010-07-21,"Passed House (Roll No. 501)",85,0,15
415494,174313,2010-07-21,"Effective from passage (Roll No. 502)",85,0,15
415494,174314,2010-07-21,"House concurred in Senate amendment and passed bill (Roll No. 521)",83,0,17
415494,174315,2010-07-21,"Effective from passage (Roll No. 522)",83,0,17
415505,174316,2010-07-21,"Dispensed with Constitutional Rule (Roll No. 526)",78,2,20
415505,174317,2010-07-21,"Passed House (Roll No. 527)",79,1,20
415505,174318,2010-07-21,"Effective from passage (Roll No. 528)",79,1,20
415514,174324,2010-07-21,"Dispensed with Constitutional Rule (Roll No. 529)",80,1,19
415514,174325,2010-07-21,"Passed House (Roll No. 530)",80,2,18
415514,174326,2010-07-21,"Effective from passage (Roll No. 531)",79,2,19
415521,174329,2010-07-21,"Dispensed with Constitutional Rule (Roll No. 518)",81,3,16
415521,174330,2010-07-21,"Passed House (Roll No. 519)",82,2,16
415521,174331,2010-07-21,"Effective from passage (Roll No. 520)",81,3,16
415521,174332,2010-07-21,"House concurred in Senate amendment (Roll No. 523)",60,23,17
415521,174333,2010-07-21,"Passed House (Roll No. 524)",76,7,17
415521,174334,2010-07-21,"Effective from passage (Roll No. 525)",81,2,17
415547,174349,2010-07-21,"Passed House (Roll No. 503)",85,0,15
415547,174350,2010-07-21,"Effective from passage (Roll No. 504)",85,0,15
415558,174358,2010-07-21,"Passed House (Roll No. 505)",75,10,15
415558,174359,2010-07-21,"Effective from passage (Roll No. 506)",81,4,15
415569,174367,2010-07-21,"Passed House (Roll No. 507)",84,1,15
415569,174368,2010-07-21,"Effective from passage (Roll No. 508)",84,1,15
415581,174401,2010-07-21,"Passed House (Roll No. 509)",84,1,15
415581,174402,2010-07-21,"Effective from passage (Roll No. 510)",84,1,15
415588,174410,2010-07-21,"Passed House (Roll No. 511)",85,0,15
415588,174411,2010-07-21,"Effective from passage (Roll No. 512)",85,0,15
415595,174414,2010-07-21,"Passed House (Roll No. 513)",83,1,16
415595,174415,2010-07-21,"Effective from passage (Roll No. 514)",84,1,15
