sponsor_id,name
1,"Richard Thompson"
2,"William Anderson"
3,"Troy Andes"
4,"Sam Argento"
5,"Tim Armstead"
6,"Bob Ashley"
7,"Tom Azinger"
8,"Larry Barker"
9,"Robert Beach"
10,"Craig Blair"
11,"Brent Boggs"
12,"Larry Border"
13,"Bonnie Brown"
14,"Richard Browning"
16,"Thomas Campbell"
17,"Samuel Cann"
18,"Denny Canterbury"
19,"Michael Caputo"
20,"Mitch Carmichael"
21,"Daryl Cowles"
22,"Kevin Craig"
23,"Gerald Crosier"
25,"John Doyle"
26,"Walter Duke"
27,"Jeff Eldridge"
28,"John Ellem"
30,"Timothy Ennis"
31,"Allen Evans"
32,"Barbara Fleischauer"
33,"Ronald Fragale"
36,"Nancy Peoples Guthrie"
37,"Bill Hamilton"
38,"William Hartman"
39,"Barbara Hatfield"
42,"Tal Hutchins"
43,"Richard Iaquinta"
44,"Lynwood Ireland"
45,"Melvin Kessler"
46,"Orphy Klempa"
47,"Steven Kominar"
48,"Patrick Lane"
50,"Linda Longstreth"
51,"Virginia Mahan"
52,"Timothy Manchin"
53,"Charlene Marshall"
54,"Dale Martin"
55,"Harold Michael"
56,"Tim Miley"
57,"Carol Miller"
58,"Jonathan Miller"
59,"Clif Moore"
60,"Jim Morgan"
61,"Ricky Moye"
62,"John Overington"
63,"Corey Palumbo"
64,"Brady Paxton"
65,"Don Perdue"
66,"David Perry"
67,"David Pethtel"
69,"Daniel Poling"
70,"Mary Poling"
71,"Thomas Porter"
73,"Douglas Reynolds"
74,"Ralph Rodighiero"
75,"William Romine"
76,"Ruth Rowan"
77,"Robert Schadler"
78,"Patti Schoen"
79,"Stan Shaver"
80,"Alex Shook"
81,"Kelli Sobonya"
82,"Sharon Spencer"
83,"Margaret Staggers"
86,"Dale Stephens"
87,"Linda Sumner"
88,"Randal Swartzmiller"
90,"Joe Talbott"
93,"Scott Varner"
94,"Ron Walters"
96,"Danny Wells"
97,"Harry White"
98,"Larry Williams"
100,"Jack Yost"
101,"Earl Tomblin"
103,"Clark Barnes"
104,"Donna Boley"
105,"Edwin Bowman"
106,"Donald Caruth"
107,"Truman Chafin"
108,"Frank Deem"
109,"Larry Edgell"
110,"Karen Facemyer"
111,"John Fanning"
112,"Dan Foster"
113,"Mike Green"
114,"Jesse Guills"
115,"Mike Hall"
116,"Walt Helmick"
118,"Evan Jenkins"
119,"Jeffrey Kessler"
121,"Brooks McCabe"
123,"Joseph Minard"
124,"Michael Oliverio"
125,"Robert Plymale"
126,"Roman Prezioso"
129,"Ron Stollings"
130,"Dave Sypolt"
131,"John Unger"
132,"Erik Wells"
133,"Randy White"
802,"Douglas Facemire"
804,"Bob Williams"
805,"William Laird"
806,"Herb Snyder"
810,"Michael Ferro"
811,"John Frazier"
812,"Mark Hunt"
813,"William Wooton"
814,"Greg Butcher"
816,"Michael Manypenny"
817,"Doug Skaff"
818,"Josh Stowers"
819,"David Walker"
820,"Linda Phillips"
821,"Daniel Hall"
823,"Tom Louisos"
824,"John Shott"
825,"Magaret Smith"
826,"Pat McGeehan"
829,"Tiffany Lawrence"
830,"Roy Givens"
831,"Sally Susman"
832,"Mike Ross"
833,"Terry Walker"
834,"Meshea Poore"
