bill_id,date,action
415237,2011-08-18,"Filed for introduction"
415237,2011-08-18,"Reference dispensed"
415237,2011-08-18,"Read 1st time"
415237,2011-08-19,"On 2nd reading, House Calendar"
415237,2011-08-19,"Read 2nd time"
415237,2011-08-19,"Amendments pending"
415237,2011-08-20,"On 3rd reading with right to amend, House Calendar"
415237,2011-08-20,"Amendment reported by the Clerk"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 545)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 546)"
415237,2011-08-20,"Amendment to amendment adopted (Roll No. 547)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 548)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 549)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 550)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 551)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 552)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 553)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 554)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 555)"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 556)"
415237,2011-08-20,"Amendment ruled not germane"
415237,2011-08-20,"Amendment to amendment rejected (Roll No. 557)"
415237,2011-08-20,"Amendment adopted (Voice vote)"
415237,2011-08-20,"Read 3rd time"
415237,2011-08-20,"Passed House (Roll No. 558)"
415237,2011-08-20,"Title amendment adopted (Voice vote)"
415237,2011-08-20,"Effective from passage (Roll No. 559)"
415237,2011-08-20,"Communicated to Senate"
415237,2011-08-21,"House Message received"
415237,2011-08-21,"Introduced in Senate"
415237,2011-08-21,"Immediate consideration"
415237,2011-08-21,"Committee reference dispensed"
415237,2011-08-21,"On 1st reading"
415237,2011-08-21,"Read 1st time"
415237,2011-08-21,"On 2nd reading"
415237,2011-08-21,"Suspension of Constitutional Rule (Roll No. 1)"
415237,2011-08-21,"Read 2nd time"
415237,2011-08-21,"Floor amendment rejected (Roll No. 2)"
415237,2011-08-21,"Floor amendment rejected (Voice vote)"
415237,2011-08-21,"Floor amendment rejected (Voice vote)"
415237,2011-08-21,"On 3rd reading"
415237,2011-08-21,"Read 3rd time"
415237,2011-08-21,"Passed Senate (Roll No. 3)"
415237,2011-08-21,"Effective from passage (Roll No. 4)"
415237,2011-08-21,"Communicated to House"
415237,2011-08-21,"House received Senate message"
415237,2011-08-21,"Completed legislative action"
415237,2011-08-21,"To Governor 8/26/11 - Senate Journal"
415237,2011-08-26,"To Governor 8/26/11"
415237,2011-08-21,"To Governor 8/26/11 - House Journal"
415237,2011-08-21,"Approved by Governor 9/2/11 - Senate Journal"
415237,2011-09-02,"Approved by Governor 9/2/11"
415237,2011-08-21,"Approved by Governor 9/2/11 - House Journal"
415237,2011-11-30,"Chapter 3, Acts, 2nd Extraordinary Session, 2011"
415243,2011-08-18,"Filed for introduction"
415243,2011-08-18,"To Finance"
415243,2011-08-18,"Introduced in Senate"
415243,2011-08-18,"To Finance"
415243,2011-08-18,"Reported do pass"
415243,2011-08-18,"On 1st reading"
415243,2011-08-18,"Immediate consideration"
415243,2011-08-18,"Read 1st time"
415243,2011-08-18,"On 2nd reading"
415243,2011-08-18,"Suspension of Constitutional Rule (Roll No. 1)"
415243,2011-08-18,"Read 2nd time"
415243,2011-08-18,"On 3rd reading"
415243,2011-08-18,"Read 3rd time"
