bill_id,date,action
357030,2012-01-11,"Filed for introduction"
357030,2012-01-11,"To Education"
357030,2012-01-11,"Introduced in House"
357030,2012-01-11,"To House Education"
357031,2012-01-11,"Filed for introduction"
357031,2012-01-11,"To Education then Finance"
357031,2012-01-11,"Introduced in House"
357031,2012-01-11,"To House Education"
357032,2012-01-11,"Filed for introduction"
357032,2012-01-11,"To Education"
357032,2012-01-11,"Introduced in House"
357032,2012-01-11,"To House Education"
357033,2012-01-11,"Filed for introduction"
357033,2012-01-11,"To Judiciary then Finance"
357033,2012-01-11,"Introduced in House"
357033,2012-01-11,"To House Judiciary"
357034,2012-01-11,"Filed for introduction"
357034,2012-01-11,"To Political Subdivisions then Judiciary"
357034,2012-01-11,"Introduced in House"
357034,2012-01-11,"To House Political Subdivisions"
357035,2012-01-11,"Filed for introduction"
357035,2012-01-11,"To Health and Human Resources then Finance"
357035,2012-01-11,"Introduced in House"
357035,2012-01-11,"To House Health and Human Resources"
357036,2012-01-11,"Filed for introduction"
357036,2012-01-11,"To Judiciary"
357036,2012-01-11,"Introduced in House"
357036,2012-01-11,"To House Judiciary"
357038,2012-01-11,"Filed for introduction"
357038,2012-01-11,"To Agriculture then Judiciary"
357038,2012-01-11,"Introduced in House"
357038,2012-01-11,"To House Agriculture"
357039,2012-01-11,"Filed for introduction"
357039,2012-01-11,"To Judiciary then Finance"
357039,2012-01-11,"Introduced in House"
357039,2012-01-11,"To House Judiciary"
357041,2012-01-11,"Filed for introduction"
357041,2012-01-11,"To Education"
357041,2012-01-11,"Introduced in House"
357041,2012-01-11,"To House Education"
357042,2012-01-11,"Filed for introduction"
357042,2012-01-11,"To Energy, Industry and Labor, Economic Development and Small Business then Finance"
357042,2012-01-11,"Introduced in House"
357042,2012-01-11,"To House Energy, Industry and Labor, Economic Development and Small Business"
357043,2012-01-11,"Filed for introduction"
357043,2012-01-11,"To Health and Human Resources then Judiciary"
357043,2012-01-11,"Introduced in House"
357043,2012-01-11,"To House Health and Human Resources"
357044,2012-01-11,"Filed for introduction"
357044,2012-01-11,"To Education then Finance"
357044,2012-01-11,"Introduced in House"
357044,2012-01-11,"To House Education"
357046,2012-01-11,"Filed for introduction"
357046,2012-01-11,"To Government Organization then Finance"
357046,2012-01-11,"Introduced in House"
357046,2012-01-11,"To House Government Organization"
357047,2012-01-11,"Filed for introduction"
357047,2012-01-11,"To Government Organization then Finance"
357047,2012-01-11,"Introduced in House"
357047,2012-01-11,"To House Government Organization"
357048,2012-01-11,"Filed for introduction"
357048,2012-01-11,"To Government Organization then Judiciary"
357048,2012-01-11,"Introduced in House"
357048,2012-01-11,"To House Government Organization"
357049,2012-01-11,"Filed for introduction"
357049,2012-01-11,"To Judiciary then Finance"
357049,2012-01-11,"Introduced in House"
