bill_id,roll_call_id,date,description,yea,nay,nv
357069,165909,2012-02-29,"Passed House (Roll No. 146)",95,3,2
357317,165408,2012-02-29,"Passed House (Roll No. 147)",98,0,2
357317,165409,2012-02-29,"Effective from passage (Roll No. 148)",98,0,2
357342,162329,2012-02-27,"Passed House (Roll No. 111)",94,0,6
357342,170033,2012-03-09,"Suspension of Constitutional Rule (Roll No. 44)",33,0,0
357342,170034,2012-03-09,"Passed Senate with amended title (Roll No. 45)",33,0,0
357342,173606,2012-03-10,"House adopted conference report and passed bill (Roll No. 458)",100,0,0
357342,173607,2012-03-10,"Senate adopted conference report and passed bill (Roll No. 70)",34,0,0
357342,173608,2012-03-16,"Senate passed as result of veto (Roll No. 5)",33,0,0
357342,175779,2012-03-16,"House amd. & repassed to meet the obj. of the Governor (Roll No. 486)",93,0,7
357476,146877,2012-01-18,"Amendment rejected (Roll No. 2)",35,59,5
357476,146878,2012-01-18,"Passed House (Roll No. 3)",94,0,5
357586,147616,2012-01-18,"Passed House (Roll No. 4)",94,0,5
357586,167496,2012-03-06,"Passed Senate (Roll No. 2)",34,0,0
357592,146876,2012-01-20,"Passed House (Roll No. 6)",86,1,12
357619,159615,2012-02-23,"Passed House (Roll No. 97)",92,2,6
357700,160410,2012-02-24,"Passed House (Roll No. 106)",83,12,5
357700,172596,2012-03-10,"Passed Senate with amended title (Roll No. 33)",34,0,0
357700,172597,2012-03-10,"House concurred in Senate amendment and passed bill (Roll No. 451)",83,17,0
357738,165531,2012-02-29,"Passed House (Roll No. 149)",96,0,4
357914,147560,2012-01-18,"Passed House (Roll No. 5)",94,0,5
357914,167470,2012-03-06,"Passed Senate (Roll No. 3)",34,0,0
357925,165107,2012-02-29,"Passed House (Roll No. 150)",97,1,2
357933,175658,2012-02-29,"Passed House (Roll No. 212)",86,2,12
357949,157553,2012-02-20,"Passed House (Roll No. 78)",68,28,4
357949,170257,2012-03-10,"Passed Senate (Roll No. 4)",31,3,0
357953,155972,2012-02-15,"Passed House (Roll No. 51)",97,2,1
357953,167553,2012-03-06,"Passed Senate with amended title (Roll No. 4)",34,0,0
357953,168996,2012-03-08,"House concurred in Senate amendment and passed bill (Roll No. 275)",98,1,1
358097,163229,2012-02-28,"Passed Senate (Roll No. 3)",34,0,0
358100,146899,2012-01-25,"Passed Senate (Roll No. 3)",33,0,0
358108,158665,2012-02-22,"Passed Senate (Roll No. 1)",33,0,0
358133,146869,2012-01-23,"Passed Senate with amended title (Roll No. 1)",33,0,0
358133,157637,2012-02-21,"Passed House (Roll No. 84)",95,0,5
358135,147971,2012-02-01,"Passed Senate (Roll No. 3)",32,0,0
358142,163359,2012-02-28,"Passed Senate (Roll No. 4)",34,0,0
