bill_id,roll_call_id,date,description,yea,nay,nv
638195,344264,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 510)",89,1,10
638195,344265,2014-03-14,"Passed House (Roll No. 511)",90,0,10
638195,344266,2014-03-14,"Effective from passage (Roll No. 512)",90,0,10
638195,344267,2014-03-14,"Suspension of Constitutional Rule (Roll No. 13)",34,0,0
638195,344268,2014-03-14,"Passed Senate (Roll No. 14)",34,0,0
638195,344269,2014-03-14,"Effective from passage (Roll No. 14)",34,0,0
638196,344290,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 516)",88,1,11
638196,344291,2014-03-14,"Passed House (Roll No. 517)",90,0,10
638196,344292,2014-03-14,"Suspension of Constitutional Rule (Roll No. 17)",34,0,0
638196,344293,2014-03-14,"Passed Senate (Roll No. 18)",34,0,0
638197,344284,2014-03-14,"Suspension of Constitutional Rule (Roll No. 7)",34,0,0
638197,344285,2014-03-14,"Passed Senate (Roll No. 8)",31,3,0
638197,344286,2014-03-14,"Effective from passage (Roll No. 8)",31,3,0
638197,344287,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 529)",88,1,11
638197,344288,2014-03-14,"Passed House (Roll No. 530)",86,2,12
638197,344289,2014-03-14,"Effective from passage (Roll No. 531)",88,0,12
638199,344312,2014-03-14,"Suspension of Constitutional Rule (Roll No. 3)",34,0,0
638199,344313,2014-03-14,"Passed Senate (Roll No. 4)",34,0,0
638199,344314,2014-03-14,"Effective from passage (Roll No. 4)",34,0,0
638199,344315,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 518)",87,1,12
638199,344316,2014-03-14,"Passed House (Roll No. 519)",88,0,12
638199,344317,2014-03-14,"Effective from passage (Roll No. 520)",89,0,11
638203,344354,2014-03-14,"Suspension of Constitutional Rule (Roll No. 1)",34,0,0
638203,344355,2014-03-14,"Passed Senate (Roll No. 2)",30,2,0
638203,344356,2014-03-14,"Effective from passage (Roll No. 2)",30,2,0
638203,344357,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 524)",84,5,11
638203,344358,2014-03-14,"Amendment rejected (Roll No. 525)",34,55,11
638203,344359,2014-03-14,"Amendment rejected (Roll No. 526)",31,58,11
638203,344360,2014-03-14,"Passed House (Roll No. 527)",56,33,11
638203,344361,2014-03-14,"Effective date rejected (Roll No. 528)",64,25,11
638207,344390,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 513)",89,1,10
638207,344391,2014-03-14,"Passed House (Roll No. 514)",78,11,11
638207,344392,2014-03-14,"Effective from passage (Roll No. 515)",82,7,11
638207,344393,2014-03-14,"Suspension of Constitutional Rule (Roll No. 15)",34,0,0
638207,344394,2014-03-14,"Passed Senate (Roll No. 16)",31,3,0
638207,344395,2014-03-14,"Effective from passage (Roll No. 16)",31,3,0
638210,344425,2014-03-14,"Suspension of Constitutional Rule (Roll No. 5)",34,0,0
638210,344426,2014-03-14,"Passed Senate (Roll No. 6)",34,0,0
638210,344427,2014-03-14,"Effective from passage (Roll No. 6)",34,0,0
638210,344428,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 521)",88,1,11
638210,344429,2014-03-14,"Passed House (Roll No. 522)",89,0,11
638210,344430,2014-03-14,"Effective from passage (Roll No. 523)",89,0,11
638211,344438,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 508)",89,1,10
638211,344439,2014-03-14,"Passed House (Roll No. 509)",90,0,10
638211,344440,2014-03-14,"Suspension of Constitutional Rule (Roll No. 11)",34,0,0
638211,344441,2014-03-14,"Passed Senate (Roll No. 12)",34,0,0
638212,344443,2014-03-14,"Dispensed with Constitutional Rule (Roll No. 505)",86,1,13
638212,344444,2014-03-14,"Passed House (Roll No. 506)",75,16,9
638212,344445,2014-03-14,"Effective from passage (Roll No. 507)",81,10,9
638212,344446,2014-03-14,"Suspension of Constitutional Rule (Roll No. 9)",33,1,0
638212,344447,2014-03-14,"Passed Senate (Roll No. 10)",29,5,0
638212,344448,2014-03-14,"Effective from passage (Roll No. 10)",29,5,0
