roll_call_id,sponsor_id,vote
309922,2,1
309922,3,1
309922,5,1
309922,6,1
309922,7,1
309922,8,2
309922,11,2
309922,12,1
309922,18,1
309922,19,2
309922,21,1
309922,22,2
309922,27,2
309922,28,1
309922,31,1
309922,32,2
309922,33,2
309922,36,2
309922,37,1
309922,38,2
309922,43,2
309922,44,1
309922,48,1
309922,50,2
309922,52,2
309922,53,2
309922,56,2
309922,57,1
309922,59,2
309922,60,2
309922,61,2
309922,62,1
309922,64,2
309922,65,2
309922,66,2
309922,67,2
309922,68,2
309922,69,2
309922,70,2
309922,73,2
309922,75,1
309922,76,1
309922,81,1
309922,83,2
309922,86,2
309922,87,1
309922,88,2
309922,94,1
309922,96,2
309922,97,2
309922,98,2
309922,810,2
309922,812,2
309922,816,2
309922,817,2
309922,819,2
309922,820,2
309922,824,1
309922,825,2
309922,829,2
309922,834,2
309922,11206,1
309922,11207,1
309922,11272,2
309922,11304,2
309922,11305,1
309922,11306,2
309922,11309,1
309922,11591,1
309922,11592,1
309922,11593,1
309922,11796,1
309922,11797,1
309922,11798,1
309922,11919,2
309922,13807,2
309922,13846,2
309922,15831,2
309922,15832,1
309922,15833,1
309922,15834,2
309922,15835,3
309922,15837,1
309922,15838,2
309922,15859,1
309922,15860,1
309922,15861,1
309922,15862,1
309922,15863,1
309922,15864,1
309922,15891,1
309922,15892,1
309922,15893,1
309922,15894,2
309922,15895,2
309922,15896,2
309922,15904,1
309922,15907,1
309922,15908,1
309922,16114,2
309923,2,2
309923,3,2
309923,5,2
309923,6,2
309923,7,2
309923,8,1
309923,11,1
309923,12,2
309923,18,2
309923,19,1
309923,21,2
309923,22,1
309923,27,1
309923,28,2
309923,31,2
309923,32,1
309923,33,1
309923,36,1
309923,37,2
309923,38,1
309923,43,1
309923,44,2
309923,48,2
309923,50,1
309923,52,1
309923,53,1
309923,56,1
309923,57,2
309923,59,1
309923,60,1
309923,61,1
309923,62,2
309923,64,1
309923,65,1
309923,66,1
309923,67,1
309923,68,1
309923,69,1
309923,70,1
309923,73,1
309923,75,2
309923,76,2
309923,81,2
309923,83,1
309923,86,1
309923,87,2
309923,88,1
309923,94,3
309923,96,1
309923,97,1
309923,98,1
309923,810,1
309923,812,1
309923,816,1
309923,817,1
309923,819,1
309923,820,1
309923,824,2
309923,825,1
309923,829,1
309923,834,1
309923,11206,2
309923,11207,2
309923,11272,1
