bill_id,date,action
877889,2016-05-16,"Filed for introduction"
877889,2016-05-16,"To Finance"
877889,2016-05-16,"Introduced in House"
877889,2016-05-16,"To House Finance"
877892,2016-05-16,"Filed for introduction"
877892,2016-05-16,"To Finance"
877892,2016-05-16,"Introduced in House"
877892,2016-05-16,"To House Finance"
877896,2016-05-16,"Introduced in Senate"
877896,2016-05-16,"Immediate consideration"
877896,2016-05-16,"Committee reference dispensed"
877896,2016-05-16,"Adopted (Voice vote)"
877896,2016-05-16,"Completed legislative action"
877900,2016-05-16,"Filed for introduction"
877900,2016-05-16,"To Finance"
877900,2016-05-16,"Introduced in Senate"
877900,2016-05-16,"To Finance"
877906,2016-05-16,"Filed for introduction"
877906,2016-05-16,"To Finance"
877906,2016-05-16,"Introduced in Senate"
877906,2016-05-16,"To Finance"
877906,2016-05-17,"Reported do pass"
877906,2016-05-17,"Immediate consideration"
877906,2016-05-17,"Read 1st time"
877906,2016-05-18,"On 2nd reading"
877906,2016-05-18,"Read 2nd time"
877906,2016-05-18,"Suspension of Constitutional Rule (Roll No. 2)"
877906,2016-05-18,"Read 3rd time"
877906,2016-05-18,"Passed Senate (Roll No. 3)"
877906,2016-05-18,"Effective from passage (Roll No. 3)"
877906,2016-05-18,"Ordered to House"
877906,2016-05-18,"Introduced in House"
877906,2016-05-18,"To Finance"
877906,2016-05-18,"To House Finance"
877906,2016-05-23,"With amendment, do pass"
877906,2016-05-24,"On 1st reading, House Calendar"
877906,2016-05-24,"Read 1st time"
877906,2016-05-25,"On 2nd reading, House Calendar"
877906,2016-05-25,"Read 2nd time"
877906,2016-05-26,"On 3rd reading with right to amend, House Calendar"
877906,2016-05-26,"Committee amendment adopted (Voice vote)"
877906,2016-05-26,"Read 3rd time"
877906,2016-05-26,"Passed House (Roll No. 675)"
877906,2016-05-26,"Title amendment adopted (Voice vote)"
877906,2016-05-26,"Effective from passage (Roll No. 676)"
877906,2016-05-26,"Communicated to Senate"
877906,2016-05-27,"House Message received"
877906,2016-05-27,"Senate concurred in House amendments and passed bill (Roll No. 11)"
877906,2016-05-27,"Effective from passage (Roll No. 11)"
877906,2016-05-27,"Communicated to House"
877906,2016-05-27,"Completed legislative action"
877906,2016-05-31,"House received Senate message"
877906,2016-06-01,"To Governor 6/1/16"
877906,2016-06-01,"To Governor 6/1/16 - House Journal"
877906,2016-06-11,"Approved by Governor with deletions 6/2/16 - Senate Journal"
877906,2016-06-02,"Approved by Governor with deletions 6/2/16"
877906,2016-06-02,"Approved by Governor with deletions 6/2/16- House Journal"
877906,2016-06-24,"Chapter 1, Acts, 1st Extraordinary Session, 2016"
877909,2016-05-16,"Filed for introduction"
877909,2016-05-16,"To Finance"
877909,2016-05-16,"Introduced in House"
877909,2016-05-16,"To House Finance"
877909,2016-05-24,"By substitute, do pass"
877909,2016-05-25,"On 1st reading, House Calendar"
877909,2016-05-25,"Read 1st time"
877909,2016-05-26,"On 2nd reading, House Calendar"
877909,2016-05-26,"Read 2nd time"
877909,2016-05-26,"Amendment withdrawn (Voice vote)"
877909,2016-05-26,"Amendment to amendment rejected (Roll No. 680)"
877909,2016-05-26,"Amendment to amendment rejected (Roll No. 681)"
877909,2016-05-26,"Amendment to amendment rejected (Roll No. 682)"
877909,2016-05-26,"Amendment withdrawn (Voice vote)"
877909,2016-05-26,"Amendment to amendment rejected (Roll No. 683)"
877909,2016-05-26,"Amendment to amendment rejected (Roll No. 684)"
877909,2016-05-26,"Amendment to amendment adopted (Voice)"
877909,2016-05-26,"Amendment adopted (Voice vote)"
877909,2016-05-26,"Constitutional Rule rejected (Roll No. 685)"
877909,2016-05-27,"On 3rd reading, House Calendar"
877909,2016-05-27,"Read 3rd time"
877909,2016-05-27,"Passed House (Roll No. 686)"
877909,2016-05-27,"Effective July 1, 2016 (Roll No. 687)"
877909,2016-05-27,"Communicated to Senate"
877909,2016-05-31,"House Message received"
877909,2016-05-31,"Introduced in Senate"
877909,2016-05-31,"Immediate consideration"
877909,2016-05-31,"Committee reference dispensed"
877909,2016-05-31,"Read 1st time"
877909,2016-06-01,"On 2nd reading"
877909,2016-06-01,"Read 2nd time"
877909,2016-06-02,"On 3rd reading with right to amend"
877909,2016-06-02,"Hall amendment reported"
877909,2016-06-02,"Williams Amendment to amendment withdrawn by unanimous consent"
877909,2016-06-02,"Romano Amendments to amendment adopted (Voice vote)"
877909,2016-06-02,"Hall Amendment to amendment adopted (Voice vote)"
877909,2016-06-02,"Hall Floor amendment as amended adopted (Voice vote)"
877909,2016-06-02,"Read 3rd time"
877909,2016-06-02,"Passed Senate (Roll No. 19)"
877909,2016-06-02,"Effective from passage (Roll No. 19)"
877909,2016-06-02,"Senate requests House to concur"
877909,2016-06-02,"House received Senate message"
877909,2016-06-02,"House concurred in Senate amendment (Voice vote)"
877909,2016-06-02,"Previous Question Rejected (Roll No. 697)"
877909,2016-06-02,"Passed House (Roll No. 698)"
877909,2016-06-02,"Effective from passage (Roll No. 699)"
877909,2016-06-02,"Communicated to Senate"
877909,2016-06-02,"Completed legislative action"
877909,2016-06-02,"House Message received"
877909,2016-06-07,"To Governor 6/7/16"
877909,2016-06-11,"To Governor 6/7/16 - House Journal"
877909,2016-06-11,"To Governor 6/7/16 - Senate Journal"
877909,2016-06-08,"Vetoed by Governor 6/8/16"
877909,2016-06-11,"Vetoed by Governor 6/8/16 - House Journal"
877909,2016-06-11,"Vetoed by Governor 6/8/16 - Senate Journal"
877909,2016-06-11,"Motion to postpone rejected"
877909,2016-06-11,"Motion to consider bill notwithstanding the objections of the Governor (Roll No. 701)"
877909,2016-06-11,"House rejected passage of bill over veto (Roll No. 702)"
877913,2016-05-16,"Introduced in Senate"
877913,2016-05-16,"Immediate consideration"
877913,2016-05-16,"Committee reference dispensed"
877913,2016-05-16,"Adopted (Voice vote)"
877913,2016-05-16,"Completed legislative action"
877917,2016-05-16,"Filed for introduction"
877917,2016-05-16,"To Finance"
877917,2016-05-16,"Introduced in Senate"
877917,2016-05-16,"To Finance"
877920,2016-05-16,"Filed for introduction"
877920,2016-05-16,"To Finance"
877920,2016-05-16,"Introduced in Senate"
877920,2016-05-16,"To Finance"
877920,2016-05-23,"Committee substitute reported"
877920,2016-05-23,"Immediate consideration"
877920,2016-05-23,"Read 1st time"
877920,2016-05-24,"On 2nd reading"
877920,2016-05-24,"Laid over on 2nd reading 5/24/16"
877920,2016-05-25,"Laid over on 2nd reading 5/25/16"
877920,2016-05-26,"Laid over on 2nd reading 5/26/16"
877920,2016-05-27,"Laid over on 2nd reading 5/27/16"
877920,2016-05-31,"Laid over on 2nd reading 5/31/16"
877920,2016-06-01,"Deferred until foot of 2nd"
877920,2016-06-01,Motion
877920,2016-06-01,"Committed to Rules on 2nd reading"
877923,2016-05-16,"Filed for introduction"
877923,2016-05-16,"Introduced in Senate"
877923,2016-05-16,"Immediate consideration"
877923,2016-05-16,"Committee reference dispensed"
877923,2016-05-16,"Read 1st time"
877923,2016-05-17,"On 2nd reading"
877923,2016-05-17,Motion
877923,2016-05-17,"Referred to Finance on 2nd reading"
877923,2016-05-17,"Committee substitute reported"
877923,2016-05-17,"Immediate consideration"
877923,2016-05-17,"Read 1st time"
877923,2016-05-18,"On 2nd reading"
877923,2016-05-18,"Read 2nd time"
877923,2016-05-18,"Hall Floor amendment adopted (Voice vote)"
877923,2016-05-18,"Prezioso Floor amendments withdrawn by unanimous consent"
877923,2016-05-18,"Ferns Floor amendments withdrawn by unanimous consent"
877923,2016-05-18,"Miller Floor amendments rejected (Voice vote)"
877923,2016-05-18,"Constitutional rule rejected (Roll No. 4)"
877923,2016-05-19,"On 3rd reading"
877923,2016-05-19,"Read 3rd time"
877923,2016-05-19,"Passed Senate (Roll No. 5)"
877923,2016-05-19,"Ordered to House"
877923,2016-05-19,"Introduced in House"
877923,2016-05-19,"Reference dispensed"
877923,2016-05-20,"On 1st reading, House Calendar"
877923,2016-05-20,"Read 1st time"
877923,2016-05-23,"On 2nd reading, House Calendar"
877923,2016-05-23,"Read 2nd time"
877923,2016-05-23,"Amendment rejected (Roll No. 671)"
877923,2016-05-23,"Amendment adopted (Roll No 672)"
877923,2016-05-23,"Amendment adopted (Voice vote)"
877923,2016-05-24,"On 3rd reading, House Calendar"
877923,2016-05-24,"Read 3rd time"
877923,2016-05-24,"House rejected (Roll No. 673)"
877923,2016-05-24,"Communicated to Senate"
877923,2016-05-25,"House Message received"
878266,2016-05-18,"Filed for introduction"
878266,2016-05-18,"To Judiciary then Finance"
878266,2016-05-18,"Introduced in Senate"
878266,2016-05-18,"To Judiciary"
878646,2016-05-19,"Filed for introduction"
878646,2016-05-19,"To Finance"
878646,2016-05-19,"Introduced in House"
878646,2016-05-19,"To House Finance"
878676,2016-05-19,"Filed for introduction"
878676,2016-05-19,"To Finance"
878676,2016-05-19,"Introduced in House"
878676,2016-05-19,"To House Finance"
878676,2016-05-23,"By substitute, do pass"
878676,2016-05-24,"On 1st reading, House Calendar"
878676,2016-05-24,"Read 1st time"
878676,2016-05-25,"On 2nd reading, House Calendar"
878676,2016-05-25,"Read 2nd time"
878676,2016-05-26,"On 3rd reading, House Calendar"
878676,2016-05-26,"Point of order, bill not within Governor's proclamation, not sustained (Roll No. 677)"
878676,2016-05-26,"Read 3rd time"
878676,2016-05-26,"Passed House (Roll No. 678)"
878676,2016-05-26,"Effective July 1, 2016 (Roll No. 679)"
878676,2016-05-26,"Communicated to Senate"
878676,2016-05-27,"House Message received"
878676,2016-05-27,"Introduced in Senate"
878676,2016-05-27,"To Finance"
878676,2016-05-27,"To Finance"
878894,2016-05-20,"Originating in House Finance"
878894,2016-05-20,"Do pass"
878894,2016-05-23,"On 1st reading, House Calendar"
878894,2016-05-23,"Read 1st time"
878894,2016-05-24,"On 2nd reading, House Calendar"
878894,2016-05-24,"Read 2nd time"
878894,2016-05-25,"On 3rd reading, House Calendar"
878894,2016-05-25,"Postponed until 5/26/16"
878894,2016-05-26,"On 3rd reading, House Calendar"
878894,2016-05-26,"Recommitted to Finance on 3rd reading"
879348,2016-05-24,"Filed for introduction"
879348,2016-05-24,"To Education then Finance"
879348,2016-05-24,"Introduced in House"
