bill_id,roll_call_id,date,description,yea,nay,nv
218240,87384,2011-01-18,"H07 Recommended Do Pass",9,0,0
218240,87385,2011-01-21,"H Passed 3rd Reading",56,0,0
218240,87386,2011-02-08,"S07 Recommended Do Pass",5,0,0
218240,87387,2011-02-14,"S Passed 3rd Reading",30,0,0
218241,87653,2011-01-18,"H07 Recommended Amend and Do Pass",8,0,0
218241,87654,2011-01-21,"H Passed 3rd Reading",56,0,0
218242,87370,2011-01-18,"H07 Recommended Do Pass",8,1,0
218242,87371,2011-01-21,"H Passed 3rd Reading",46,10,0
218242,87372,2011-02-08,"S07 Recommended Do Pass",5,0,0
218242,87373,2011-02-14,"S Passed 3rd Reading",30,0,0
218243,88568,2011-01-25,"H02 Recommended Do Pass",5,0,0
218243,88569,2011-01-28,"H Passed 3rd Reading",55,1,0
218243,88570,2011-02-11,"S02 Recommended Amend and Do Pass",5,0,0
218243,88571,2011-02-18,"S Passed 3rd Reading",30,0,0
218243,88572,2011-02-22,"H Did Concur",56,0,0
218245,88454,2011-02-02,"H05 Recommended Amend and Do Pass",9,0,0
218245,88455,2011-02-07,"H Passed 3rd Reading",59,0,0
218245,88456,2011-02-11,"S05 Recommended Do Pass",5,0,0
218245,88457,2011-02-22,"S Passed 3rd Reading",28,1,0
218246,87885,2011-01-18,"H05 Recommended Amend and Do Pass",9,0,0
218246,87886,2011-01-24,"H Passed 3rd Reading",58,0,0
218246,87887,2011-02-02,"S05 Recommended Do Pass",4,1,0
218246,87888,2011-02-22,"S Passed 3rd Reading",23,6,0
218246,87889,2011-02-23,"H Did Not Concur",0,55,0
218246,87890,2011-02-28,"H Adopted HB0008JC01",59,0,0
218246,87891,2011-02-28,"S Adopted HB0008JC01",21,9,0
218247,87456,2011-01-18,"H07 Recommended Do Pass",9,0,0
218247,87457,2011-01-21,"H Passed 3rd Reading",56,0,0
218247,87458,2011-02-08,"S07 Recommended Amend and Do Pass",5,0,0
218247,87459,2011-02-15,"S Passed 3rd Reading",30,0,0
218247,87460,2011-02-16,"H Did Concur",58,0,0
218251,89235,2011-01-13,"H04 Recommended Do Pass",8,1,0
218251,89236,2011-01-18,"H Passed 3rd Reading",52,7,0
218251,89237,2011-02-10,"S04 Recommended Amend and Do Pass",5,0,0
218251,89238,2011-02-18,"S Passed 3rd Reading",29,1,0
218251,89239,2011-02-22,"H Did Not Concur",14,43,0
218251,89240,2011-02-28,"H Did Not Adopt HB0013JC01",17,42,0
218251,89241,2011-03-03,"H Adopted HB0013JC02",54,3,0
218251,89242,2011-03-03,"S Adopted HB0013JC02",24,5,0
218253,87421,2011-01-18,"H05 Recommended Amend and Do Pass",9,0,0
218253,87422,2011-01-21,"H Passed 3rd Reading",44,13,0
218253,87423,2011-02-02,"S05 Recommended Amend and Do Pass",5,0,0
218253,87424,2011-02-11,"S Passed 3rd Reading",29,0,0
218253,87425,2011-02-14,"H Did Concur",53,6,0
218254,88653,2011-01-25,"H05 Recommended Amend and Do Pass",5,4,0
218254,88654,2011-01-27,"H Failed CoW; Indef Postponed",8,49,0
218256,88420,2011-01-14,"H05 Recommended Amend and Do Pass",8,0,0
218256,88421,2011-01-19,"H Passed 3rd Reading",59,0,0
218256,88422,2011-02-02,"S05 Recommended Amend and Do Pass",5,0,0
218256,88423,2011-02-10,"S Passed 3rd Reading",29,0,0
218256,88424,2011-02-11,"H Did Not Concur",0,56,0
218256,88425,2011-02-18,"H Adopted HB0018JC01",58,0,0
218256,88426,2011-02-18,"S Adopted HB0018JC01",29,1,0
218257,87685,2011-01-13,"H01 Recommended Amend and Do Pass",9,0,0
218257,87686,2011-01-18,"H Passed 3rd Reading",59,0,0
218257,87687,2011-02-02,"S01 Recommended Do Pass",5,0,0
218257,87688,2011-02-10,"S Passed 3rd Reading",29,0,0
218258,88386,2011-01-17,"H10 Recommended Amend and Do Pass",8,1,0
218258,88387,2011-01-20,"H Passed 3rd Reading",57,0,0
218258,88388,2011-02-14,"S10 Recommended Amend and Do Pass",5,0,0
218258,88389,2011-02-22,"S Passed 3rd Reading",26,3,0
218258,88390,2011-02-23,"H Did Not Concur",0,56,0
218258,88391,2011-02-28,"H Adopted HB0020JC01",55,3,0
