bill_id,roll_call_id,date,description,yea,nay,nv
801988,492515,2016-02-08,"Introduced and Referred to S06 - Travel 27-3-0-0-0",27,3,0
801988,493168,2016-02-09,"Travel:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
801988,496190,2016-02-12,"3rd Reading:Passed 26-4-0-0-0",26,4,0
801988,502570,2016-02-19,"H06 - Travel:Recommend Amend and Do Pass 7-2-0-0-0",7,2,0
801988,503427,2016-02-12,"3rd Reading:Passed 26-4-0-0-0",26,4,0
801988,503428,2016-02-19,"H06 - Travel:Recommend Amend and Do Pass 7-2-0-0-0",7,2,0
801988,505456,2016-02-24,"3rd Reading:Passed 38-22-0-0-0",38,22,0
801988,505644,2016-02-24,"Concur:Passed 20-9-1-0-0",20,9,0
801988,539972,2016-02-12,"3rd Reading:Passed 26-4-0-0-0",26,4,0
801988,539973,2016-02-19,"H06 - Travel:Recommend Amend and Do Pass 7-2-0-0-0",7,2,0
801988,539974,2016-02-24,"3rd Reading:Passed 38-22-0-0-0",38,22,0
801988,539975,2016-02-24,"Concur:Passed 20-9-1-0-0",20,9,0
801989,494850,2016-02-10,"Introduced and Referred to S08 - Transportation 30-0-0-0-0",30,0,0
801989,498015,2016-02-16,"S08 - Transportation:Recommend Do Pass 5-0-0-0-0",5,0,0
801989,503654,2016-02-22,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801989,506136,2016-02-24,"H08 - Transportation:Recommend Do Pass 9-0-0-0-0",9,0,0
801989,508809,2016-02-29,"3rd Reading:Passed 58-0-2-0-0",58,0,0
801989,540009,2016-02-29,"3rd Reading:Passed 58-0-2-0-0",58,0,0
801990,492933,2016-02-08,"Introduced and Referred to S09 - Minerals 30-0-0-0-0",30,0,0
801990,494295,2016-02-10,"S09 - Minerals:Recommend Do Pass 5-0-0-0-0",5,0,0
801990,496512,2016-02-12,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801990,500809,2016-02-17,"H09 - Minerals:Recommend Do Pass 9-0-0-0-0",9,0,0
801990,506186,2016-02-24,"3rd Reading:Passed 60-0-0-0-0",60,0,0
801991,493140,2016-02-09,"Failed Introduction 20-39-1-0-0",20,39,0
801992,493106,2016-02-09,"Introduced and Referred to S01 - Judiciary 28-2-0-0-0",28,2,0
801992,496236,2016-02-12,"S01 - Judiciary:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
801992,499528,2016-02-17,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801992,503476,2016-02-17,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801992,503477,2016-02-22,"H01 - Judiciary:Recommend Do Pass 9-0-0-0-0",9,0,0
801992,506661,2016-02-25,"3rd Reading:Passed 53-6-1-0-0",53,6,0
801992,540197,2016-02-09,"Introduced and Referred to S01 - Judiciary 28-2-0-0-0",28,2,0
801992,540198,2016-02-12,"S01 - Judiciary:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
801992,540199,2016-02-25,"3rd Reading:Passed 53-6-1-0-0",53,6,0
801993,494219,2016-02-10,"Introduced and Referred to S01 - Judiciary 23-7-0-0-0",23,7,0
801993,496367,2016-02-12,"S01 - Judiciary:Recommend Do Pass 5-0-0-0-0",5,0,0
801993,498179,2016-02-16,"3rd Reading:Passed 22-8-0-0-0",22,8,0
801993,505392,2016-02-24,"H08 - Transportation:Recommend Amend and Do Pass 9-0-0-0-0",9,0,0
801993,509159,2016-02-29,"3rd Reading:Passed 58-0-2-0-0",58,0,0
801993,509160,2016-02-29,"Concur:Failed 15-14-1-0-0",15,14,0
801993,513754,2016-03-04,"Adopted SF0003JC002: 20-7-3-0-0",20,7,0
801993,513755,2016-03-04,"Adopted SF0003JC002: 58-0-2-0-0",58,0,0
801994,494747,2016-02-09,"Failed Introduction 9-49-2-0-0",9,49,0
801995,493110,2016-02-08,"Introduced and Referred to S08 - Transportation 25-5-0-0-0",25,5,0
801995,495149,2016-02-11,"S08 - Transportation:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
801995,497086,2016-02-15,"S02 - Appropriations:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
801995,501064,2016-02-18,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801995,503851,2016-02-18,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801995,505408,2016-02-24,"H08 - Transportation:Recommend Do Pass 7-2-0-0-0",7,2,0
801995,507407,2016-02-25,"H02 - Appropriations:Recommend Do Pass 5-2-0-0-0",5,2,0
801995,510258,2016-03-01,"3rd Reading:Passed 48-11-1-0-0",48,11,0
801995,510259,2016-03-01,"Concur:Passed 29-1-0-0-0",29,1,0
801996,494475,2016-02-09,"Failed Introduction 10-48-2-0-0",10,48,0
801997,493332,2016-02-09,"Introduced and Referred to H03 - Revenue 46-13-1-0-0",46,13,0
801997,494823,2016-02-10,"H03 - Revenue:Recommend Amend and Do Pass 9-0-0-0-0",9,0,0
801997,496844,2016-02-15,"3rd Reading:Passed 46-14-0-0-0",46,14,0
801997,504215,2016-02-15,"3rd Reading:Passed 46-14-0-0-0",46,14,0
801997,505113,2016-02-23,"S03 - Revenue:Recommend Do Pass 5-0-0-0-0",5,0,0
801997,506948,2016-02-25,"3rd Reading:Passed 30-0-0-0-0",30,0,0
801998,492945,2016-02-08,"Failed Introduction 15-15-0-0-0",15,15,0
801999,493230,2016-02-09,"Introduced and Referred to H01 - Judiciary 57-1-2-0-0",57,1,0
801999,496547,2016-02-12,"H01 - Judiciary:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0
801999,504674,2016-02-23,"3rd Reading:Passed 58-2-0-0-0",58,2,0
801999,505365,2016-02-09,"Introduced and Referred to H01 - Judiciary 57-1-2-0-0",57,1,0
801999,505366,2016-02-12,"H01 - Judiciary:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0
801999,505367,2016-02-23,"3rd Reading:Passed 58-2-0-0-0",58,2,0
801999,508041,2016-02-26,"S01 - Judiciary:Recommend Do Pass 5-0-0-0-0",5,0,0
801999,511305,2016-03-02,"3rd Reading:Failed 15-15-0-0-0",15,15,0
802000,492516,2016-02-08,"Failed Introduction 33-25-2-0-0",33,25,0
802001,494879,2016-02-10,"Introduced and Referred to S01 - Judiciary 27-3-0-0-0",27,3,0
802001,500683,2016-02-17,"S01 - Judiciary:Recommend Do Pass 5-0-0-0-0",5,0,0
802001,503729,2016-02-22,"3rd Reading:Passed 21-9-0-0-0",21,9,0
802001,507418,2016-02-25,"H01 - Judiciary:Recommend Do Pass 9-0-0-0-0",9,0,0
802001,512005,2016-03-02,"3rd Reading:Passed 40-19-1-0-0",40,19,0
802033,492465,2016-02-08,"Introduced and Referred to S08 - Transportation 27-3-0-0-0",27,3,0
802033,493069,2016-02-09,"Transportation:Recommend Do Pass 5-0-0-0-0",5,0,0
802033,495428,2016-02-11,"S02 - Appropriations:Recommend Do Pass 5-0-0-0-0",5,0,0
802033,497035,2016-02-15,"3rd Reading:Passed 22-8-0-0-0",22,8,0
802033,503676,2016-02-22,"H02 - Appropriations:Recommend Do Pass 7-0-0-0-0",7,0,0
802033,507158,2016-02-25,"3rd Reading:Passed 57-2-1-0-0",57,2,0
802408,495791,2016-02-11,"Introduced and Referred to S08 - Transportation 21-9-0-0-0",21,9,0
802408,498797,2016-02-16,"S08 - Transportation:Recommend Do Pass 5-0-0-0-0",5,0,0
802408,499725,2016-02-17,"S02 - Appropriations:Recommend Amend and Do Pass 4-1-0-0-0",4,1,0
802408,504024,2016-02-22,"3rd Reading:Passed 30-0-0-0-0",30,0,0
802408,505686,2016-02-24,"H08 - Transportation:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0
802408,507087,2016-02-25,"H02 - Appropriations:Recommend Do Not Pass 6-1-0-0-0",6,1,0
802408,508227,2016-02-26,"COW:Failed 6-51-3-0-0",6,51,0
802422,493260,2016-02-09,"Failed Introduction 21-37-2-0-0",21,37,0
802422,540118,2016-02-09,"Failed Introduction 21-37-2-0-0",21,37,0
802587,493553,2016-02-09,"Introduced and Referred to H03 - Revenue 58-0-2-0-0",58,0,0
802587,494863,2016-02-10,"H03 - Revenue:Recommend Amend and Do Pass 9-0-0-0-0",9,0,0
802587,496921,2016-02-15,"3rd Reading:Passed 58-2-0-0-0",58,2,0
802587,504144,2016-02-15,"3rd Reading:Passed 58-2-0-0-0",58,2,0
802587,507528,2016-02-25,"S03 - Revenue:Recommend Do Pass 5-0-0-0-0",5,0,0
802587,510432,2016-03-01,"3rd Reading:Passed 28-2-0-0-0",28,2,0
802595,493341,2016-02-09,"Introduced and Referred to H08 - Transportation 41-18-1-0-0",41,18,0
802595,494779,2016-02-10,"H08 - Transportation:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0
802595,495251,2016-02-11,"H02 - Appropriations:Recommend Do Pass 4-3-0-0-0",4,3,0
802595,501310,2016-02-18,"3rd Reading:Passed 43-16-1-0-0",43,16,0
802595,504238,2016-02-18,"3rd Reading:Passed 43-16-1-0-0",43,16,0
802595,540126,2016-02-09,"Introduced and Referred to H08 - Transportation 41-18-1-",41,18,0
802595,540127,2016-02-10,"H08 - Transportation:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0
802595,540128,2016-02-11,"H02 - Appropriations:Recommend Do Pass 4-3-0-0-0",4,3,0
802595,540129,2016-02-18,"3rd Reading:Passed 43-16-1-0-0",43,16,0
802625,492688,2016-02-08,"Introduced and Referred to S04 - Education 27-3-0-0-0",27,3,0
802625,494765,2016-02-10,"S04 - Education:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0
802625,496175,2016-02-12,"3rd Reading:Failed 13-17-0-0-0",13,17,0
802625,496711,2016-02-15,"3rd Reading:Bill reconsideration motion passed by roll call 16-",16,14,0
802625,496712,2016-02-15,"3rd Reading:Passed 18-12-0-0-0",18,12,0
802625,504275,2016-02-12,"3rd Reading:Failed 13-17-0-0-0",13,17,0
802625,504276,2016-02-15,"3rd Reading:Bill reconsideration motion passed by roll call 16-",16,14,0
802625,504277,2016-02-15,"3rd Reading:Passed 18-12-0-0-0",18,12,0
802625,508019,2016-02-26,"H04 - Education:Recommend Amend and Do Pass 6-3-0-0-0",6,3,0
802625,512524,2016-03-02,"3rd Reading:Passed 36-22-2-0-0",36,22,0
