name	party	np_score
"ARNOLD, LLOYD"	R	0.769
"AUSTIN, TERRI JO"	D	-0.415
"BACON, RONALD"	R	0.73
"BAIRD, JAMES (JIM)"	R	0.952
"BARDON, JEB"	D	-0.664
"BARTLETT, JOHN L"	D	-0.864
"BATTLES, KREG"	D	-0.321
"BAUER, B PATRICK"	D	-0.726
"BEHNING, ROBERT W (BOB)"	R	0.995
"BEUMER, GREG"	R	0.942
"BORDERS, BRUCE ALAN"	R	0.68
"BOSMA, BRIAN C"	R	0.901
"BRAUN, STEVEN J"	R	0.899
"BROWN, CHARLIE"	D	-0.91
"BROWN, TIMOTHY N (TIM)"	R	1.172
"BURTON, CHARLES (WOODY)"	R	0.975
"REARDON, MARA CANDELARIA"	D	-0.695
"CARBAUGH, MARTIN"	R	0.721
"CHEATHAM, DAVID"	D	-0.258
"CHERRY, ROBERT W (BOB)"	R	0.954
"CLERE, EDWARD D (ED)"	R	0.931
"COX, CASEY"	R	0.824
"CRAWFORD, WILLIAM A"	D	-0.831
"CROUCH, SUZANNE M"	R	0.732
"CULVER, WES"	R	0.947
"DAVIS, BILL J"	R	1.135
"DAVISSON, STEVEN"	R	0.869
"DAY, JOHN J"	D	-0.596
"DELANEY, EDWARD O"	D	-0.463
"DEMBOWSKI, NANCY"	D	-0.374
"DERMODY, THOMAS"	R	0.746
"DEVON, DALE R"	R	1.02
"DOBIS, CHESTER F"	D	-0.319
"DODGE, RICHARD A (DICK)"	R	0.859
"DVORAK, RYAN MICHAEL"	D	-0.502
"EBERHART, SEAN R"	R	0.874
"ELLSPERMANN, SUE"	R	0.78
"ERRINGTON, SUE E"	D	-0.511
"ESPICH, JEFFREY KELLER"	R	1.016
"FOLEY, RALPH M"	R	0.957
"FORESTAL, DAN"	D	-0.356
"FRIEND, WILLIAM C"	R	0.933
"FRIZZELL, DAVID N"	R	0.97
"FRY, CRAIG RAYMOND"	D	-0.539
"FRYE, RANDALL (RANDY)"	R	0.859
"GIAQUINTA, PHILIP"	D	-0.381
"GOODIN, TERRY ALLEN"	D	-0.228
"GRUBB, FLOYD DALE"	D	-0.313
"GUTWEIN, DOUG L"	R	0.961
"HALE, CHRISTINA"	D	-0.255
"HAMM, RICHARD (DICK)"	R	0.85
"HARMAN, TIMOTHY P"	R	1.061
"HARRIS JR, EARL L"	D	-0.767
"HEATON, ROBERT (BOB)"	R	1
"HEUER, KATHLEEN"	R	0.766
"HINKLE, PHILLIP D (PHIL)"	R	0.861
"HUSTON, TODD"	R	1.019
"KARICKHOFF, MICHAEL"	R	0.828
"KERSEY, CLYDE"	D	-0.493
"KIRCHHOFER, CINDY"	R	0.929
"KLINKER, SHEILA J"	D	-0.271
"KNOLLMAN, TOM"	R	0.972
"KOCH, ERIC ALLAN"	R	0.944
"KUBACKI, REBECCA A"	R	0.838
"LAWSON, LINDA C"	D	-0.619
"LEHE, DONALD J (DON)"	R	0.924
"LEHMAN, MATTHEW S"	R	1
"LEONARD, DANIEL J (DAN)"	R	0.955
"LUCAS, JIM"	R	0.994
"LUTZ, L JACK"	R	0.876
"MACER, KARLEE D"	D	-0.399
"MAHAN, KEVIN A"	R	0.821
"MAYFIELD, PEGGY"	R	0.874
"MCCLAIN, RICHARD W (RICH)"	R	0.855
"MCMILLIN, JUDSON G (JUD)"	R	0.927
"MCNAMARA, WENDY (MAC)"	R	0.774
"MESSMER, MARK B"	R	0.842
"MOED, JUSTIN"	D	-0.271
"MORRIS, ROBERT (BOB)"	R	0.951
